time/fps,custom/min_dyn_distance,custom/mean_form_error,time/total_timesteps,time/iterations,time/time_elapsed,custom/mean_z_error,custom/collision,train/std,train/approx_kl,train/value_loss,train/clip_fraction,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/n_updates,train/loss
3225,1.929477035999298,5.439016447416185,4096,1,1,0.2299951061140746,0.0,,,,,,,,,,,
2447,7.14266836643219,26.519386773711094,8192,2,3,0.6868075281381607,0.0,7.659715175628662,0.007226553,102.95771189592779,0.0361328125,0.2,0.9885215163230896,-0.00969836613512598,0.0001,-68.29374322891235,41530,0.45635199546813965
2292,2.54180908203125,4.821835170760755,12288,3,5,0.04673470399575308,0.0,7.659913063049316,0.004068503,100.17018033564091,0.019091796875,0.2,0.9803385138511658,-0.003269280807580799,0.0001,-68.30956621170044,41540,2.599316358566284
2217,5.573898553848267,22.13166691056092,16384,4,7,0.5213866233825684,0.0,7.670989990234375,0.0067598596,64.60380775369704,0.0408203125,0.2,0.9893824458122253,-0.010178052772243974,0.0001,-68.32154195308685,41550,1.3262275457382202
2231,2.88975989818573,3.2598396837441728,20480,5,9,0.04806143436871935,0.0,7.675405979156494,0.005481873,96.32833989486099,0.030712890625,0.2,0.987190306186676,-0.006893938763823826,0.0001,-68.34432520866395,41560,3.7957663536071777
2250,6.190428018569946,14.246889322342243,24576,6,10,0.33203816862078384,0.0,7.674917697906494,0.0035827209,472.03494286090137,0.0112548828125,0.2,0.8964328765869141,-0.007120292955369223,0.0001,-68.34951508045197,41570,24.296428680419922
2239,1.569917917251587,2.4403305424260253,28672,7,12,0.0012866079705418088,0.0,7.679569244384766,0.004710068,51.88692823238671,0.0281494140625,0.2,0.9802036285400391,-0.007779862990719266,0.0001,-68.3550309896469,41580,1.3933839797973633
2223,3.4652215093374252,15.155392390669252,32768,8,14,0.3807181902229786,0.0,7.682369232177734,0.0068972902,29.46041472554207,0.0370849609375,0.2,0.992036759853363,-0.008373702826065709,0.0001,-68.36839430332184,41590,1.5455596446990967
2208,2.553763270378113,4.4522025397552065,36864,9,16,0.09529623539128806,0.0,7.686070442199707,0.006182639,66.74156138449908,0.0359130859375,0.2,0.978808581829071,-0.008442875008040574,0.0001,-68.37386894226074,41600,1.0041706562042236
2204,3.212663769721985,5.8268961265323735,40960,10,18,0.23790174574241973,0.0,7.6947736740112305,0.007501403,43.378736262768506,0.039111328125,0.2,0.989508867263794,-0.00785768785935943,0.0001,-68.38948578834534,41610,1.8881782293319702
2193,3.368575870990753,6.435831865894776,45056,11,20,0.23759253768366762,0.0,7.7101593017578125,0.007259719,21.01595720089972,0.0416015625,0.2,0.9875731468200684,-0.008938690672221129,0.0001,-68.42192854881287,41620,0.926630973815918
2207,3.52293062210083,4.651325474607801,49152,12,22,0.23797093777102418,0.0,7.714128017425537,0.0033840146,33.69587764889002,0.0141845703125,0.2,0.9848292469978333,-0.006842698985565221,0.0001,-68.45364291667939,41630,1.7923568487167358
2170,2.5050995647907257,2.905550151989291,53248,13,24,0.05353289542836137,0.0,7.7157111167907715,0.003957569,30.863159238547087,0.018701171875,0.2,0.9861223101615906,-0.006567585858283565,0.0001,-68.46139097213745,41640,1.864132046699524
2157,2.9781054854393005,7.407907429564561,57344,14,26,0.10439037103787996,0.0,7.7210588455200195,0.0056776693,57.212710408121346,0.02802734375,0.2,0.9722192883491516,-0.008710696689377073,0.0001,-68.46958227157593,41650,1.0616645812988281
2162,2.127723529934883,6.081256803907202,61440,15,28,0.14519020542502403,0.0,7.722930908203125,0.0060544307,53.98352300450206,0.035888671875,0.2,0.9702870845794678,-0.008475758380518528,0.0001,-68.48235578536988,41660,1.877610445022583
2131,1.7677145302295685,5.565684140405634,65536,16,30,0.3314035951916594,0.0,7.729223728179932,0.0033294235,31.26905437037349,0.0123291015625,0.2,0.9861831068992615,-0.006357432795630303,0.0001,-68.49209876060486,41670,1.2901259660720825
2128,3.024552285671234,9.833377182431228,69632,17,32,0.2402133792929817,0.0,7.7259111404418945,0.0049580354,30.713626507669687,0.021630859375,0.2,0.991885781288147,-0.0081694751897885,0.0001,-68.49411013126374,41680,1.9515372514724731
2123,2.5425994098186493,9.777621069187111,73728,18,34,0.22693018466816284,0.0,7.732048988342285,0.003614938,41.527248825132844,0.0273193359375,0.2,0.984528660774231,-0.006166665375349112,0.0001,-68.49013922214507,41690,3.5575785636901855
2127,3.085563540458679,9.272234812745644,77824,19,36,0.19705298694316298,0.0,7.742678642272949,0.007033718,59.58388798683882,0.0422607421875,0.2,0.9869407415390015,-0.009799101257522124,0.0001,-68.50858616828918,41700,11.117424011230469
2126,3.672688812017441,10.677658267836794,81920,20,38,0.2154741987469606,0.0,7.748661041259766,0.0073919706,20.30744650885463,0.0515869140625,0.2,0.9864253997802734,-0.009286055598386156,0.0001,-68.53967568874359,41710,1.2995951175689697
2120,5.414515107870102,9.115166575644249,86016,21,40,0.23819343154900707,0.0,7.754464626312256,0.0049432106,23.677765624225138,0.0361572265625,0.2,0.9868054986000061,-0.007699552489066263,0.0001,-68.55464751720429,41720,2.6814451217651367
2118,4.729076653718948,10.851262137333668,90112,22,42,0.25907630287110806,0.0,7.757163047790527,0.007709165,29.67076603397727,0.0543701171875,0.2,0.9874626994132996,-0.009501737137179589,0.0001,-68.56731035709382,41730,1.3643198013305664
2111,3.984407603740692,10.300347588919328,94208,23,44,0.2589037180878222,0.0,7.777737617492676,0.0074248975,8.612379632890224,0.0476806640625,0.2,0.9935924410820007,-0.00914057932823198,0.0001,-68.58472001552582,41740,0.3991807997226715
