custom/mean_form_error,custom/min_dyn_distance,time/total_timesteps,custom/mean_z_error,custom/collision,time/fps,time/time_elapsed,time/iterations,train/std,train/clip_fraction,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/clip_range,train/loss,train/approx_kl,train/entropy_loss,train/explained_variance,train/n_updates
0.6397084323599411,1.1427174508571625,2048,0.00027133524417877197,0.0,3215,0,1,,,,,,,,,,,
1.514916714051249,1.245574176311493,4096,0.00026532411357038654,0.0,2855,1,2,0.9985138773918152,0.12744140625,-0.014243007893674076,0.00025,114.79649090766907,0.2,31.862241744995117,0.009828545,-28.364260149002074,0.008439481258392334,10
2.1575332345242604,1.2614748179912567,6144,0.00022537112090503797,0.0,2788,2,3,0.9997626543045044,0.059765625,-0.013898392625560519,0.00025,969.7836128234864,0.2,426.0013122558594,0.008179246,-28.359496998786927,-0.002243518829345703,20
3.1052419447554307,1.5483337938785553,8192,0.00021479427596204914,0.0,2584,3,4,1.0005549192428589,0.091455078125,-0.013984074391191825,0.00025,1947.802978515625,0.2,918.2252197265625,0.010213131,-28.380802822113036,0.0014601349830627441,30
0.6467141363083271,1.2794229686260223,10240,0.0001708835352474125,0.0,2518,4,5,1.0007288455963135,0.094580078125,-0.016555214388063177,0.00025,1960.5178085327148,0.2,909.0534057617188,0.010353802,-28.39244270324707,0.0003662705421447754,40
1.2595323851777978,1.1722545623779297,12288,0.000284233690763358,0.0,2525,4,6,1.002453088760376,0.075146484375,-0.015282056963769719,0.00025,189.49103527069093,0.2,87.18407440185547,0.008401284,-28.41294047832489,0.0008405447006225586,50
1.8054427362898449,1.1570241153240204,14336,0.0003004878817591816,0.0,2490,5,7,1.0032252073287964,0.102587890625,-0.01788308856775984,0.00025,754.2368511199951,0.2,342.13226318359375,0.009538104,-28.435317862033845,0.00011301040649414062,60
2.8881842610606046,1.5151852369308472,16384,0.0002778828129521571,0.0,2448,6,8,1.0023068189620972,0.1119140625,-0.013933600333984941,0.00025,1374.867096710205,0.2,638.8197021484375,0.009688523,-28.433770537376404,4.738569259643555e-05,70
0.7453793054467879,1.1386405229568481,18432,0.0002803742863761727,0.0,2446,7,9,1.0023267269134521,0.1158203125,-0.019077683302748484,0.00025,1502.2642868041992,0.2,755.2286376953125,0.010763142,-28.423426151275635,0.0002561211585998535,80
1.1804429570168062,1.1603067815303802,20480,0.0002821952075464651,0.0,2472,8,10,1.003724455833435,0.140234375,-0.02441877620003652,0.00025,175.4301142692566,0.2,74.34922790527344,0.01346303,-28.441898453235627,-0.0005249977111816406,90
2.0636379959209696,1.1966133415699005,22528,0.0003222525047021918,0.0,2431,9,11,1.0044445991516113,0.15224609375,-0.021164402714930475,0.00025,673.5381958007813,0.2,308.7160339355469,0.011587229,-28.458824515342712,-0.00565946102142334,100
2.8059366740215586,1.161297082901001,24576,0.00038501322705997154,0.0,2415,10,12,1.0066503286361694,0.12529296875,-0.017029437122982927,0.00025,1464.9722175598145,0.2,682.4114990234375,0.011236048,-28.486958372592927,-0.000949859619140625,110
0.7734785879544301,1.1654965281486511,26624,0.00021501481751329266,0.0,2435,10,13,1.0063774585723877,0.1318359375,-0.018298389075789602,0.00025,1335.5078285217285,0.2,612.49658203125,0.012272038,-28.50737597942352,-0.00014340877532958984,120
1.3052846483839915,1.1160483360290527,28672,0.00041197835525963455,0.0,2453,11,14,1.0067962408065796,0.12919921875,-0.02019109560060315,0.00025,185.3893864631653,0.2,86.46553039550781,0.011948522,-28.508046281337737,5.662441253662109e-06,130
2.5619364294757645,1.83429554104805,30720,0.0004607290102285333,0.0,2444,12,15,1.0084093809127808,0.147607421875,-0.02145668407320045,0.00025,798.0914806365967,0.2,363.24395751953125,0.011866378,-28.526530861854553,5.543231964111328e-06,140
3.5836826169186926,2.3309965431690216,32768,0.00047621727571822703,0.0,2433,13,16,1.0077083110809326,0.153173828125,-0.020299956141388974,0.00025,1598.8764099121095,0.2,748.9241943359375,0.012540113,-28.534229016304018,1.722574234008789e-05,150
0.867291385261488,1.075171947479248,34816,0.0004517197667155415,0.0,2445,14,17,1.0073081254959106,0.186767578125,-0.0261298464552965,0.00025,1093.355791091919,0.2,430.5318908691406,0.016823264,-28.522939014434815,-1.6689300537109375e-06,160
1.9467518848908232,1.5388449728488922,36864,0.0005366623372538015,0.0,2433,15,18,1.0064054727554321,0.15556640625,-0.023347259181900882,0.00025,244.8471619606018,0.2,97.6657943725586,0.014483722,-28.50883071422577,1.2636184692382812e-05,170
2.82068051946405,1.5357643961906433,38912,0.0005335062742233276,0.0,2444,15,19,1.007908582687378,0.13251953125,-0.020137108641210943,0.00025,1062.6074935913086,0.2,498.6038513183594,0.010870425,-28.5153240442276,2.3365020751953125e-05,180
0.4601563926306129,1.4250928461551666,40960,0.0003038674549316056,0.0,2430,16,20,1.0080740451812744,0.15537109375,-0.020513108849991114,0.00025,1797.5527534484863,0.2,883.75146484375,0.012734437,-28.53221617937088,0.0009058117866516113,190
0.9285086787764436,1.2829478979110718,43008,0.00031439363374374807,0.0,2419,17,21,1.0084528923034668,0.1603515625,-0.0236707259376999,0.00025,1022.1383358001709,0.2,480.0806579589844,0.014331901,-28.53649768829346,-1.5139579772949219e-05,200
2.0947358228280417,1.2938261032104492,45056,0.000453209868283011,0.0,2421,18,22,1.0076987743377686,0.13388671875,-0.021550030406797305,0.00025,313.80096740722655,0.2,141.7185516357422,0.0118016135,-28.534195590019227,1.52587890625e-05,210
3.22549877368287,1.4445155560970306,47104,0.00047582685510860756,0.0,2430,19,23,1.007202386856079,0.149658203125,-0.022243422683095558,0.00025,1081.341711807251,0.2,496.2864074707031,0.012295422,-28.519277882575988,1.7404556274414062e-05,220
0.46624597719237615,1.12465438246727,49152,0.0002609908624435775,0.0,2364,20,24,1.0072815418243408,0.147802734375,-0.01745022743707523,0.00025,1603.6695762634276,0.2,766.0415649414062,0.012995126,-28.51817524433136,4.172325134277344e-06,230
1.218162691630989,1.0367967188358307,51200,0.00045565366599475965,0.0,2308,22,25,1.006443738937378,0.170947265625,-0.024341303564142436,0.00025,822.2875186920166,0.2,337.2997131347656,0.015418766,-28.508295154571535,1.71661376953125e-05,240
2.1010202252683823,1.4483072757720947,53248,0.0004637002930394374,0.0,2190,24,26,1.0076643228530884,0.15322265625,-0.022534042262122966,0.00025,344.47631149291993,0.2,159.15049743652344,0.013122552,-28.516652011871336,1.3828277587890625e-05,250
3.960229538783616,1.9161033928394318,55296,0.0005857497453689575,0.0,2106,26,27,1.0062991380691528,0.120556640625,-0.016081312953610906,0.00025,1248.6743141174315,0.2,564.0538330078125,0.010584235,-28.51197530031204,1.043081283569336e-05,260
0.4520496766676574,1.2940038442611694,57344,0.0003398507833480835,0.0,2072,27,28,1.0075147151947021,0.11923828125,-0.014214016449113843,0.00025,1958.455256652832,0.2,950.6051025390625,0.009618099,-28.509247171878815,6.556510925292969e-07,270
1.2361721022761387,1.239094853401184,59392,0.000427186481829267,0.0,2066,28,29,1.0126415491104126,0.1701171875,-0.024673165296553633,0.00025,643.4235692977906,0.2,256.4752502441406,0.015872408,-28.576363933086395,9.59634780883789e-06,280
2.062114440557661,1.5647667944431305,61440,0.0004242241338943131,0.0,2083,29,30,1.0140674114227295,0.123193359375,-0.017349644168280064,0.00025,364.348538017273,0.2,158.25534057617188,0.011321612,-28.638727641105653,8.225440979003906e-06,290
4.045829246686086,1.7868316769599915,63488,0.0005352675943868235,0.0,2075,30,31,1.015136957168579,0.097802734375,-0.013633326036506332,0.00025,1261.178685760498,0.2,593.5911865234375,0.009158749,-28.65876817703247,3.516674041748047e-06,300
0.48232167082763905,1.3412618935108185,65536,0.0003984540671808645,0.0,2049,31,32,1.0165311098098755,0.137255859375,-0.01664806343615055,0.00025,1834.8203620910645,0.2,842.545166015625,0.011271777,-28.680510091781617,1.1324882507324219e-06,310
1.5206845811570573,1.481702297925949,67584,0.0004642099083866924,0.0,2047,33,33,1.0186376571655273,0.20986328125,-0.03125764800934121,0.00025,432.5340417861938,0.2,207.9717559814453,0.021070572,-28.72139002084732,7.331371307373047e-06,320
3.3534345272009762,2.113480865955353,69632,0.0006233483654796146,0.0,2056,33,34,1.0160253047943115,0.129296875,-0.020433344625052995,0.00025,594.3734731674194,0.2,267.1133117675781,0.011435913,-28.70832358598709,4.76837158203125e-06,330
5.198037602432889,2.972251683473587,71680,0.0005225986315053888,0.0,2060,34,35,1.0177491903305054,0.121044921875,-0.015356843860354274,0.00025,1770.3452796936035,0.2,842.8426513671875,0.0114115765,-28.698752081394197,2.384185791015625e-07,340
0.8243385330808374,1.13673897087574,73728,0.00044743418402504176,0.0,2060,35,36,1.0175988674163818,0.155712890625,-0.015293166582705454,0.00025,1968.128205871582,0.2,903.2948608398438,0.012940403,-28.71867564916611,8.165836334228516e-06,350
1.6814022189805002,1.253605604171753,75776,0.0003997087442257907,0.0,2073,36,37,1.0212596654891968,0.17744140625,-0.030922925434424542,0.00025,273.55685606002805,0.2,96.91759490966797,0.02845774,-28.763889455795287,4.827976226806641e-06,360
3.3228023563866387,1.619716227054596,77824,0.0004984855622751638,0.0,2087,37,38,1.01973557472229,0.108837890625,-0.01897817973513156,0.00025,869.7343822479248,0.2,412.9638366699219,0.011048372,-28.773316645622252,1.6093254089355469e-06,370
