custom/mean_form_error,time/total_timesteps,custom/mean_z_error,time/fps,custom/min_dyn_distance,custom/collision,time/time_elapsed,time/iterations,train/entropy_loss,train/approx_kl,train/value_loss,train/explained_variance,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/loss,train/learning_rate,train/n_updates,train/std
5.314015835706704,4096,0.2376328498357907,3138,2.6781561076641083,0.0,1,1,,,,,,,,,,,
35.63775321795435,8192,0.7120374888181686,2705,9.162875652313232,0.0,3,2,-68.29003944396973,0.009870407,4.370951823331415,0.9972925186157227,0.07119140625,0.2,-0.01737637385376729,0.020956754684448242,0.0001,41530,7.658605098724365
5.813582485147753,12288,0.1878526210784912,2643,2.1079487204551697,0.0,4,3,-68.29796862602234,0.008204684,7.156237012147903,0.9951040744781494,0.0757080078125,0.2,-0.005745519239280838,0.8196072578430176,0.0001,41540,7.661126136779785
22.4851019356798,16384,0.7191549837589264,2470,5.519253998994827,0.0,6,4,-68.29050452709198,0.009895404,3.7466457335278394,0.9980419278144836,0.0745361328125,0.2,-0.016510217094037216,-0.023198455572128296,0.0001,41550,7.650714874267578
6.955203122036803,20480,0.19697494358115364,2481,3.4742540419101715,0.0,8,5,-68.27467350959778,0.008607632,5.554043128341436,0.997183084487915,0.057177734375,0.2,-0.011048778189433506,0.20001506805419922,0.0001,41560,7.651705265045166
21.219806175896633,24576,0.5127920776722021,2379,5.5925372838974,0.0,10,6,-68.28723011016845,0.008834529,4.1549129812046885,0.9973417520523071,0.052880859375,0.2,-0.01208432456041919,0.11252924799919128,0.0001,41570,7.655618190765381
9.640383933843607,28672,0.3335260692983866,2415,2.491659238934517,0.0,11,7,-68.30095777511596,0.0034069086,411.9239579934627,0.9632498621940613,0.0205810546875,0.2,-0.0020280916556657757,4.592776298522949,0.0001,41580,7.65802001953125
13.813409791465206,32768,0.5204353675217135,2356,7.486302375793457,0.0,13,8,-68.33025722503662,0.010198611,4.033308817073703,0.9969779849052429,0.081884765625,0.2,-0.016001515053358163,0.04890742897987366,0.0001,41590,7.676156520843506
4.916067599328888,36864,0.19069642573595047,2345,3.359941691160202,0.0,15,9,-68.36042416095734,0.0024554012,359.6212877497077,0.9719162583351135,0.0201416015625,0.2,-0.0027892325648281257,554.1260375976562,0.0001,41600,7.677340030670166
3.947224106700176,40960,0.003389817531569861,2324,2.2466391921043396,0.0,17,10,-68.36492428779601,0.004164741,254.2199945151806,0.9468358755111694,0.018359375,0.2,-0.002836487808963284,2.523406744003296,0.0001,41610,7.6800432205200195
4.273853205582027,45056,0.10816641617566347,2312,2.4445319771766663,0.0,19,11,-68.3768001317978,0.010298114,2.1382495449855923,0.9989511966705322,0.075146484375,0.2,-0.012619652558350935,0.03956899046897888,0.0001,41620,7.691246032714844
5.730117091035924,49152,0.12514513768837787,2308,2.16804501414299,0.0,21,12,-68.38374834060669,0.009174161,8.27877115700394,0.9936702847480774,0.0610595703125,0.2,-0.012311622050765436,0.20261108875274658,0.0001,41630,7.689395904541016
4.973707465589077,53248,0.14259076714552066,2275,2.33671110868454,0.0,23,13,-68.38027205467225,0.0095373355,2.189035562891513,0.9992124438285828,0.0828125,0.2,-0.014272066154808272,-0.10938951373100281,0.0001,41640,7.687668800354004
5.357909521247374,57344,0.19024141876434442,2262,3.5437276661396027,0.0,25,14,-68.38279860019684,0.009224618,3.7053516468033196,0.9970011115074158,0.0819580078125,0.2,-0.012294476408715126,0.06808015704154968,0.0001,41650,7.6963911056518555
5.4594858585245465,61440,0.16809266209747875,2264,1.9734026789665222,0.0,27,15,-68.39773859977723,0.008197069,3.979670576378703,0.9974631667137146,0.0555419921875,0.2,-0.010494195700448471,0.1934138834476471,0.0001,41660,7.7000861167907715
7.424866562544087,65536,0.10786479711532593,2258,2.696028709411621,0.0,29,16,-68.42118079662323,0.0068649654,5.446185520850122,0.9974055886268616,0.0359130859375,0.2,-0.008989147309330292,0.41379520297050476,0.0001,41670,7.716982364654541
8.438759756670072,69632,0.21593682916136459,2261,4.923593044281006,0.0,30,17,-68.45572719573974,0.006827867,7.500507481396198,0.9967495203018188,0.0406494140625,0.2,-0.007648909100680612,0.4296744763851166,0.0001,41680,7.724679470062256
5.620345270480071,73728,0.24093746539438143,2262,2.0549219101667404,0.0,32,18,-68.4679869890213,0.0024142505,429.15028552412986,0.954877495765686,0.0080078125,0.2,-0.0028064631496818038,38.42152786254883,0.0001,41690,7.727207183837891
8.532301966640265,77824,0.1436949342605658,2255,3.8054923713207245,0.0,34,19,-68.45644567012786,0.009977771,3.7992671001702547,0.9980306029319763,0.0757080078125,0.2,-0.011182689280394698,0.3067372739315033,0.0001,41700,7.7188720703125
11.7650244814121,81920,0.3799284666310996,2253,1.816606044769287,0.0,36,20,-68.45598981380462,0.009153947,7.469832896068692,0.9951809048652649,0.061181640625,0.2,-0.014612479442439508,0.1021801233291626,0.0001,41710,7.727283477783203
4.953399381374925,86016,0.06520305573940277,2249,2.4770787060260773,0.0,38,21,-68.47480609416962,0.0027244305,12.553914952278138,0.9940189123153687,0.011767578125,0.2,-0.0037253315036650746,1.3157497644424438,0.0001,41720,7.7299485206604
15.848950227144178,90112,0.4984859168471303,2250,4.160935193300247,0.0,40,22,-68.47869307994843,0.002715915,305.4422140032053,0.9643418788909912,0.014208984375,0.2,-0.002563988471229095,5.050211429595947,0.0001,41730,7.729328155517578
4.590903548452113,94208,0.09628456237260252,2244,2.9890522062778473,0.0,41,23,-68.47643427848816,0.006766973,15.107672479748725,0.988785982131958,0.046142578125,0.2,-0.008802603049844038,0.79151451587677,0.0001,41740,7.728327751159668
9.016697762358806,98304,0.24817411473486573,2252,4.966512858867645,0.0,43,24,-68.48019738197327,0.00644977,11.489726483076812,0.9938703775405884,0.0416259765625,0.2,-0.005186944795423187,1.1235437393188477,0.0001,41750,7.735375881195068
6.04979069746126,102400,0.2858788251760416,2234,2.6178689002990723,0.0,45,25,-68.50516240596771,0.008225324,4.689726316742599,0.9959505200386047,0.0533447265625,0.2,-0.012116711138514803,0.20963019132614136,0.0001,41760,7.751171112060547
15.712408427943302,106496,0.2884054154274054,2236,3.334755003452301,0.0,47,26,-68.53223049640656,0.006677432,7.394408828765154,0.997439444065094,0.03408203125,0.2,-0.009172843451233348,0.7060747146606445,0.0001,41770,7.759495735168457
5.1766196951072345,110592,0.21958640811499208,2232,2.4023359566926956,0.0,49,27,-68.55386481285095,0.005888051,16.796876024827363,0.9884218573570251,0.038671875,0.2,-0.008474077310529538,1.3651244640350342,0.0001,41780,7.764222145080566
23.297115131766397,114688,0.4807640463113785,2223,2.011904716491699,0.0,51,28,-68.58419592380524,0.006644715,6.927566780522466,0.9963774085044861,0.0437744140625,0.2,-0.012534839543513953,0.5490632057189941,0.0001,41790,7.782326698303223
