time/fps,custom/collision,time/iterations,custom/min_dyn_distance,time/total_timesteps,time/time_elapsed,custom/mean_z_error,custom/mean_form_error,train/loss,train/clip_fraction,train/n_updates,train/learning_rate,train/approx_kl,train/clip_range,train/std,train/entropy_loss,train/explained_variance,train/value_loss,train/policy_gradient_loss
2843,0.0,1,1.1757925152778625,2048,0,0.0002295076847076416,0.6931588574485603,,,,,,,,,,,
2633,0.0,2,1.2106410562992096,4096,1,0.0002679884491953999,1.6140080913047257,46.71439743041992,0.096875,10,0.00025,0.008936554,0.2,1.0031888484954834,-28.415404903888703,-0.010860443115234375,137.12583608627318,-0.015599625947652384
2674,0.0,3,1.4811426401138306,6144,2,0.0002907574234995991,2.3462837352011046,519.8786010742188,0.08681640625,20,0.00025,0.0102151595,0.2,1.004011631011963,-28.450759017467497,-0.003115415573120117,1101.505046081543,-0.017268723458983004
2465,0.0,4,1.6754466593265533,8192,3,0.0002875178979593329,3.5106306358846258,1026.649169921875,0.07548828125,30,0.00025,0.010108205,0.2,1.0040864944458008,-28.460052585601808,0.0001696944236755371,2149.0185928344727,-0.014426739190821537
2483,0.0,5,1.3451176583766937,10240,4,0.0002616792880871799,0.6827291883740221,1060.70947265625,0.091748046875,40,0.00025,0.0112337135,0.2,1.0030605792999268,-28.450835490226744,0.0006191730499267578,2185.1433975219725,-0.01586905371514149
2498,0.0,6,1.3512584269046783,12288,4,0.0003445983020355925,1.6000713815463026,91.8616943359375,0.0978515625,50,0.00025,0.010366684,0.2,1.0056946277618408,-28.46549919843674,0.0006799101829528809,215.95842971801758,-0.017060831772687378
1168,0.0,7,1.3185976445674896,14336,12,0.00029534399072872475,2.461687050077177,468.6899108886719,0.122119140625,60,0.00025,0.010651315,0.2,1.0065397024154663,-28.500217819213866,4.982948303222656e-05,1013.4155170440674,-0.02016699350788258
1246,0.0,8,1.3985052704811096,16384,13,0.0003762096166610718,4.394111925768639,886.7789916992188,0.1037109375,70,0.00025,0.009811843,0.2,1.0066275596618652,-28.509627413749694,0.0027034878730773926,1885.6157569885254,-0.015295425112708472
1324,0.0,9,1.3618514239788055,18432,13,0.00036745666875503957,0.9569529657119134,839.327880859375,0.120751953125,80,0.00025,0.012145943,0.2,1.0079233646392822,-28.52252529859543,4.70280647277832e-05,1728.1382057189942,-0.019790224567987024
1393,0.0,10,1.4031710624694824,20480,14,0.00031932592537486926,1.6857286423134785,102.55059814453125,0.119189453125,90,0.00025,0.009338753,0.2,1.0103461742401123,-28.562117600440978,0.0001163482666015625,235.18278770446778,-0.018557161306671333
1459,0.0,11,1.5409773290157318,22528,15,0.0004315406004025135,3.18085900101996,559.1621704101562,0.127197265625,100,0.00025,0.010944154,0.2,1.0106090307235718,-28.588348829746245,-6.556510925292969e-06,1161.8010269165038,-0.020452437130734323
1490,0.0,12,2.0409169495105743,24576,16,0.0003060162052861415,4.565168785115924,883.4461059570312,0.166259765625,110,0.00025,0.016278513,0.2,1.0107709169387817,-28.59212681055069,5.537271499633789e-05,1858.8003044128418,-0.020831857004668563
1516,0.0,13,1.1332995295524597,26624,17,0.0003743767738342285,0.927380601992798,696.5999145507812,0.140576171875,120,0.00025,0.013230995,0.2,1.0120761394500732,-28.602588248252868,6.896257400512695e-05,1585.9387504577637,-0.018094786928850227
1545,0.0,14,1.4131365418434143,28672,18,0.00037183462700340897,1.815722898993231,89.38925170898438,0.1677734375,130,0.00025,0.0125618465,0.2,1.013909101486206,-28.638587152957918,0.0001266002655029297,236.67911901474,-0.023542916536098347
1573,0.0,15,2.4387660920619965,30720,19,0.0004334956465754658,3.8188222946939896,595.4838256835938,0.130712890625,140,0.00025,0.01021304,0.2,1.0146422386169434,-28.66000269651413,-1.049041748046875e-05,1219.3626152038573,-0.018053742998745292
1577,0.0,16,3.1840054094791412,32768,20,0.00041144490387523547,5.383813066424685,1045.927734375,0.1341796875,150,0.00025,0.011596061,0.2,1.0154826641082764,-28.675743305683135,0.0006546974182128906,2217.849099731445,-0.016418502462329343
1587,0.0,17,1.2768791615962982,34816,21,0.0004310011863708496,0.8578603986689004,656.3433837890625,0.12880859375,160,0.00025,0.0119064255,0.2,1.0179851055145264,-28.708980643749236,-8.463859558105469e-05,1441.5919761657715,-0.018234594853129237
1611,0.0,18,1.1415206491947174,36864,22,0.00035944283445132896,1.9702932218640106,92.2265853881836,0.1498046875,170,0.00025,0.013678534,0.2,1.020629644393921,-28.760890078544616,4.76837158203125e-05,231.2536127090454,-0.022641037192079237
1634,0.0,19,1.7997213006019592,38912,23,0.0004174739005975425,3.4466630569238577,419.53717041015625,0.149658203125,180,0.00025,0.013631346,0.2,1.0199477672576904,-28.778876388072966,0.0002658963203430176,952.4747425079346,-0.020633601286681368
1646,0.0,20,1.3103435039520264,40960,24,0.00024312734967679717,0.45433440146897675,775.6683349609375,0.16171875,190,0.00025,0.013777844,0.2,1.0204412937164307,-28.77390055656433,0.3852173686027527,1611.508497619629,-0.01699993651418481
1664,0.0,21,1.3030087649822235,43008,25,0.00023824572781450115,0.9084827440676663,517.9703369140625,0.183935546875,200,0.00025,0.01708693,0.2,1.021426796913147,-28.789412701129912,-0.0009211301803588867,1037.000379562378,-0.02638878954167012
1682,0.0,22,1.6179583370685577,45056,26,0.0002941429629572667,2.2428673593290633,116.08329772949219,0.161865234375,210,0.00025,0.014494624,0.2,1.0223037004470825,-28.808605098724364,1.4483928680419922e-05,273.986749458313,-0.026100768853211775
1681,0.0,23,1.5363823175430298,47104,28,0.00036835670471191406,3.5036533497909605,654.3447875976562,0.114599609375,220,0.00025,0.01080844,0.2,1.0231075286865234,-28.82568004131317,2.384185791015625e-07,1408.105386352539,-0.01968464125529863
1680,0.0,24,1.3784924745559692,49152,29,0.00023672580573474988,0.4294568917684196,901.1461791992188,0.18017578125,230,0.00025,0.015742812,0.2,1.0226356983184814,-28.824706542491914,6.556510925292969e-07,1929.60509185791,-0.023375294721336103
1695,0.0,25,1.2878857851028442,51200,30,0.0004102021412109025,1.293127876973482,439.49945068359375,0.1884765625,240,0.00025,0.016786473,0.2,1.0254936218261719,-28.849457371234895,8.881092071533203e-06,799.6323947906494,-0.025253247702494264
1712,0.0,26,1.5851342380046844,53248,31,0.0003884792313328944,2.6952314316774713,116.5026626586914,0.17041015625,250,0.00025,0.01525554,0.2,1.0248216390609741,-28.86762911081314,7.152557373046875e-06,260.73167715072634,-0.026428715471411124
1709,0.0,27,2.362451910972595,55296,32,0.09551865011599148,6.640871989487604,699.3148803710938,0.113427734375,260,0.00025,0.010750966,0.2,1.0259135961532593,-28.872949182987213,1.6689300537109375e-06,1411.0575164794923,-0.019723895881907084
1709,0.0,28,1.069702297449112,57344,33,0.0003461986780166626,0.42615823978641404,986.1119995117188,0.16044921875,270,0.00025,0.013490392,0.2,1.0261263847351074,-28.88708939552307,2.384185791015625e-07,2119.9861335754395,-0.021343882969813422
1719,0.0,29,1.4273715317249298,59392,34,0.0003208637281204574,1.6117255102879267,324.7342224121094,0.1630859375,280,0.00025,0.017092146,0.2,1.0302441120147705,-28.93333327770233,4.708766937255859e-06,706.1481155395508,-0.02173951703880448
1733,0.0,30,1.993536800146103,61440,35,0.048032783714006655,3.350962085699618,244.41358947753906,0.116162109375,290,0.00025,0.011583185,0.2,1.0309693813323975,-28.977447783946992,4.291534423828125e-06,526.2126150131226,-0.019830759352771565
1747,0.0,31,3.168390214443207,63488,36,0.0949149876832962,6.994505931840098,918.0941772460938,0.13359375,300,0.00025,0.01110566,0.2,1.0309021472930908,-28.98073414564133,2.980232238769531e-07,1896.5358627319335,-0.02216961634112522
1750,0.0,32,1.195829153060913,65536,37,0.000302919746900443,0.4134776457795021,1021.157958984375,0.135009765625,310,0.00025,0.013391297,0.2,1.0318492650985718,-28.990129387378694,8.702278137207031e-06,2179.351485443115,-0.016539135813945904
1752,0.0,33,1.2867036163806915,67584,38,0.000275915863312548,1.530333118683647,322.38568115234375,0.180908203125,320,0.00025,0.02108828,0.2,1.0327774286270142,-29.00783394575119,-6.842613220214844e-05,467.6799722671509,-0.02900860147783533
1757,0.0,34,2.352552980184555,69632,39,0.0003470748633844778,4.342228875436612,239.6665496826172,0.15634765625,330,0.00025,0.013589198,0.2,1.0338211059570312,-29.02179410457611,1.9073486328125e-06,514.6789846420288,-0.023219108383636923
1765,0.0,35,3.234846383333206,71680,40,0.0005453169287648052,6.9313360546458505,839.0543823242188,0.110693359375,340,0.00025,0.010478873,0.2,1.0342198610305786,-29.039111304283143,-1.1920928955078125e-07,1805.9409317016602,-0.01620063570153434
1768,0.0,36,1.254091590642929,73728,41,0.0002451986147207208,0.6057341001608243,892.3331298828125,0.170068359375,350,0.00025,0.015824715,0.2,1.0358598232269287,-29.05912878513336,0.0,1955.8226104736327,-0.016279630188364536
1776,0.0,37,1.353792279958725,75776,42,0.000384041661163792,1.4380164985365678,104.83917999267578,0.189013671875,360,0.00025,0.038201332,0.2,1.038138747215271,-29.108236646652223,6.496906280517578e-06,233.740873336792,-0.02798917023173999
1775,0.0,38,2.0263212621212006,77824,43,0.0006360232800943777,3.9172125615601825,226.42877197265625,0.130908203125,370,0.00025,0.010457827,0.2,1.0386449098587036,-29.1221897482872,1.537799835205078e-05,487.9686208724976,-0.019420988715137356
1784,0.0,39,3.0072509944438934,79872,44,0.0045243472850415856,6.281439747865206,802.74853515625,0.113134765625,380,0.00025,0.009367294,0.2,1.037476897239685,-29.11588318347931,2.4437904357910156e-06,1656.2793807983398,-0.0170568727015052
1783,0.0,40,1.232015609741211,81920,45,0.0003053575746889692,0.6659571421431685,853.7804565429688,0.130126953125,390,0.00025,0.010593068,0.2,1.038306474685669,-29.112407779693605,1.8537044525146484e-05,1799.9831436157226,-0.017064973681408448
1791,0.0,41,1.48415407538414,83968,46,0.00040203630487667397,2.0061434269012293,33.25049591064453,0.338134765625,400,0.00025,0.06806948,0.2,1.0404655933380127,-29.141597199440003,2.562999725341797e-06,72.90689063072205,-0.025689713744213805
1799,0.0,42,3.5019569396972656,86016,47,0.0004884094014414586,5.725042797333574,433.0111999511719,0.109716796875,410,0.00025,0.00987251,0.2,1.0404112339019775,-29.16170092821121,1.3113021850585938e-06,931.5965793609619,-0.013205382984597235
1796,0.0,43,5.140300810337067,88064,49,0.0009208470437442884,10.22990908338491,859.7328491210938,0.06171875,420,0.00025,0.0072899014,0.2,1.0401744842529297,-29.158038544654847,-1.1920928955078125e-07,1808.9020927429199,-0.008900835798704066
1799,0.0,44,1.4081940650939941,90112,50,0.00036632419141824357,0.7053278276097892,829.8824462890625,0.068994140625,430,0.00025,0.008568438,0.2,1.0403945446014404,-29.157093012332915,2.5033950805664062e-06,1772.5119567871093,-0.011680299614090473
1807,0.0,45,2.2382841408252716,92160,51,0.000552186364075169,3.2702432571141613,27.486068725585938,0.277294921875,440,0.00025,0.035376966,0.2,1.0463932752609253,-29.21320288181305,4.470348358154297e-06,56.57606751918793,-0.021216605586232617
1813,0.0,46,3.7704353034496307,94208,51,0.0009191006392939016,6.047311793390813,539.9909057617188,0.1607421875,450,0.00025,0.0076414933,0.2,1.0469324588775635,-29.282908380031586,-1.1920928955078125e-07,1152.6901836395264,-0.006067175342468545
1815,0.0,47,7.275205671787262,96256,53,0.059760611125966534,11.958769133325978,806.8322143554688,0.07763671875,460,0.00025,0.008771231,0.2,1.046860694885254,-29.283543348312378,1.1801719665527344e-05,1714.5703018188476,-0.012147551591624506
1816,0.0,48,1.6567423641681671,98304,54,0.0003158688596158754,0.6030375303890501,730.9295043945312,0.066064453125,470,0.00025,0.008895738,0.2,1.047481656074524,-29.28862226009369,0.0006799101829528809,1468.9421348571777,-0.012072788216755725
1821,0.0,49,2.1545371413230896,100352,55,0.0005376040935516357,2.502876415964144,19.13041877746582,0.218505859375,480,0.00025,0.024743658,0.2,1.047123908996582,-29.297219967842103,3.039836883544922e-06,42.81197550296783,-0.019498516619205476
1819,0.0,50,3.7317084074020386,102400,56,0.0005584716782323085,5.713943403200428,456.8362731933594,0.208935546875,490,0.00025,0.00815025,0.2,1.0469259023666382,-29.281824374198912,4.172325134277344e-07,966.9476875305176,0.005051608575740829
1825,0.0,51,3.640100598335266,104448,57,0.10908806286897743,8.161894270454635,806.5904541015625,0.054296875,500,0.00025,0.00721262,0.2,1.047163486480713,-29.284282433986665,4.756450653076172e-05,1674.6225173950195,-0.01323795534844976
1837,0.0,52,1.8930345475673676,106496,57,0.000543627145816572,1.259066489932498,680.0707397460938,0.0578125,510,0.00025,0.008443057,0.2,1.047471046447754,-29.289240539073944,0.00021094083786010742,1390.1368118286132,-0.013819259154843166
570,0.0,53,2.6386689245700836,108544,190,0.0009199976775562391,2.879479264625119,38.5214729309082,0.0943359375,520,0.00025,0.009605019,0.2,1.047373652458191,-29.29165161848068,1.4901161193847656e-06,88.9726616382599,-0.018935615627560763
578,0.0,54,4.95703649520874,110592,191,0.050100494190701284,6.07428446878024,563.3565673828125,0.049609375,530,0.00025,0.006500897,0.2,1.047360897064209,-29.290127062797545,-1.1920928955078125e-07,1270.5220741271974,-0.012480936344945803
586,0.0,55,5.769461631774902,112640,192,0.09975858927646186,9.054891195108134,775.3025512695312,0.045166015625,540,0.00025,0.0071542514,0.2,1.047264575958252,-29.289827716350555,5.960464477539063e-08,1662.4371353149413,-0.012776020020828583
595,0.0,56,1.3772279024124146,114688,192,0.0007875621231505647,1.377638169291794,511.3644714355469,0.10322265625,550,0.00025,0.011965471,0.2,1.0474107265472412,-29.290041351318358,8.940696716308594e-07,1192.5624435424804,-0.01881950570968911
602,0.0,57,2.11435267329216,116736,193,0.0009401172574143857,3.270253711723721,71.46023559570312,0.131201171875,560,0.00025,0.012275709,0.2,1.0469028949737549,-29.286169350147247,1.5497207641601562e-06,165.8481541633606,-0.020872095989761873
608,0.0,58,2.871640831232071,118784,195,0.0954816805315204,7.105373036916435,564.5843505859375,0.089453125,570,0.00025,0.008591881,0.2,1.0465161800384521,-29.279989182949066,0.0,1198.1755630493165,-0.015309511692612432
614,0.0,59,1.66785728931427,120832,196,0.0004040211424580775,0.45063820899448626,777.6928100585938,0.080908203125,580,0.00025,0.010706792,0.2,1.046721339225769,-29.277613878250122,0.0,1657.544947052002,-0.015604273171629757
621,0.0,60,1.7609806060791016,122880,197,0.000846606504637748,1.3305876974900812,555.4954833984375,0.099853515625,590,0.00025,0.010051737,0.2,1.046874761581421,-29.28065217733383,4.172325134277344e-07,1051.237255859375,-0.017018165707122536
628,0.0,61,2.7144243121147156,124928,198,0.0009008139168145135,4.051133446141009,88.94095611572266,0.111962890625,600,0.00025,0.011304147,0.2,1.0488677024841309,-29.301391339302064,2.384185791015625e-06,200.86016616821288,-0.020192830107407644
636,0.0,62,3.235216796398163,126976,199,0.0009803682623896748,6.411766812477333,558.4017944335938,0.079345703125,610,0.00025,0.008636402,0.2,1.0486644506454468,-29.319168972969056,0.0,1200.3825103759766,-0.016117155039682984
642,0.0,63,1.1733717024326324,129024,200,0.0003554821087163873,0.423049478242092,696.3778076171875,0.0876953125,620,0.00025,0.009469382,0.2,1.0487781763076782,-29.31693043708801,5.960464477539063e-08,1496.1256401062012,-0.01667096990859136
649,0.0,64,1.243157148361206,131072,201,0.0008112311479635537,1.1356188534898484,362.7811279296875,0.154150390625,630,0.00025,0.0138637405,0.2,1.0507285594940186,-29.33480509519577,1.0728836059570312e-06,815.5754802703857,-0.02718616483907681
657,0.0,65,1.9093422591686249,133120,202,0.0007961988594615832,3.7469138166195246,67.26065063476562,0.133154296875,640,0.00025,0.011755361,0.2,1.0518548488616943,-29.367485058307647,7.152557373046875e-07,152.13260440826417,-0.018877223743766082
664,0.0,66,2.4612903594970703,135168,203,0.10554988461080939,7.007267878397724,450.4151611328125,0.09541015625,650,0.00025,0.01019411,0.2,1.0518157482147217,-29.375807523727417,0.0,967.3787498474121,-0.016763010548311287
669,0.0,67,1.2728187441825867,137216,204,0.0004133969559916295,0.4109966785923286,736.7702026367188,0.0693359375,660,0.00025,0.008798594,0.2,1.0518313646316528,-29.37515813112259,0.0005203485488891602,1526.9501441955567,-0.01846550886402838
676,0.0,68,1.5828335881233215,139264,205,0.0009125471115112305,1.8289097794093514,323.1520690917969,0.121728515625,670,0.00025,0.012551785,0.2,1.0517627000808716,-29.37456877231598,0.1837788224220276,632.7879570007324,-0.019474325410556048
683,0.0,69,2.0051749646663666,141312,206,0.008429724082816392,4.194792019039319,57.653804779052734,0.1828125,680,0.00025,0.014623451,0.2,1.0531502962112427,-29.388071537017822,2.384185791015625e-07,130.29899806976317,-0.02164196291414555
689,0.0,70,3.3430110812187195,143360,207,0.19080421477701748,9.300722114733205,425.3006591796875,0.113037109375,690,0.00025,0.010463564,0.2,1.0533980131149292,-29.402818465232848,0.0,876.4044082641601,-0.017956518271239473
696,0.0,71,1.2065632045269012,145408,208,0.000488907091494184,0.4183538452197232,684.0233764648438,0.127197265625,700,0.00025,0.011566354,0.2,1.0535728931427002,-29.40527755022049,0.0,1447.7302658081055,-0.018266408873023464
702,0.0,72,1.4606980979442596,147456,209,0.0009124219504883513,2.065372748996335,248.44552612304688,0.183154296875,710,0.00025,0.022242058,0.2,1.0560086965560913,-29.433738744258882,5.960464477539062e-07,472.74737281799315,-0.026118490856606513
708,0.0,73,2.5249243676662445,149504,211,0.06697455196990632,4.20877016651044,146.5059814453125,0.108349609375,720,0.00025,0.01030737,0.2,1.056084156036377,-29.45588675737381,8.940696716308594e-07,314.83758211135864,-0.01855122586421203
714,0.0,74,4.369308710098267,151552,212,0.14263167679018807,8.511572380148255,508.9267883300781,0.126904296875,730,0.00025,0.012691673,0.2,1.0555249452590942,-29.448873937129974,-0.0002690553665161133,1036.4344909667968,-0.02191583053790964
720,0.0,75,1.3544896841049194,153600,213,0.0006062239554012194,0.648343538583613,662.5142822265625,0.14248046875,740,0.00025,0.011883904,0.2,1.0542775392532349,-29.432697069644927,-0.0002205371856689453,1393.8778015136718,-0.019311437988653778
727,0.0,76,1.261323720216751,155648,214,0.0007934689638204873,1.8678166018645366,149.3376007080078,0.37919921875,750,0.00025,0.13118759,0.2,1.0550682544708252,-29.428977644443513,-3.5762786865234375e-06,326.15383977890014,-0.014033734303666279
733,0.0,77,2.2602653205394745,157696,214,0.001162424698122777,5.3043942513292865,95.04679870605469,0.0876953125,760,0.00025,0.008360461,0.2,1.0555100440979004,-29.43384258747101,1.1920928955078125e-07,242.61576242446898,-0.011181281188328285
739,0.0,78,3.997410237789154,159744,216,0.18982085361494683,8.80246527455131,453.9341125488281,0.046728515625,770,0.00025,0.006429047,0.2,1.0560156106948853,-29.445266783237457,5.960464477539063e-08,985.4788063049316,-0.011995881597977131
744,0.0,79,1.3007678985595703,161792,217,0.0008217483846237883,0.6791597987460921,667.1199340820312,0.060009765625,780,0.00025,0.007531136,0.2,1.0561511516571045,-29.451248931884766,1.3113021850585938e-06,1413.2678955078125,-0.012469657661858946
750,0.0,80,1.2091459929943085,163840,218,0.0008942067652242258,2.0196228334133126,83.9349365234375,0.28759765625,790,0.00025,0.063004866,0.2,1.0595204830169678,-29.503376007080078,5.364418029785156e-07,196.1689552307129,-0.030758185443119146
756,0.0,81,1.9949330687522888,165888,219,0.14892683495418169,5.832465243324922,127.95447540283203,0.093408203125,800,0.00025,0.008146,0.2,1.0594960451126099,-29.51298851966858,6.556510925292969e-07,285.66513900756837,-0.010581136040855199
762,0.0,82,3.499125361442566,167936,220,0.3352629281580448,9.957315100052202,468.4525451660156,0.040771484375,810,0.00025,0.0073603145,0.2,1.0594991445541382,-29.513530015945435,-3.0994415283203125e-06,1022.2693912506104,-0.012819291430059821
767,0.0,83,1.5826192200183868,169984,221,0.0005804270549560897,0.7886684516167568,711.9453735351562,0.104150390625,820,0.00025,0.009414794,0.2,1.0596240758895874,-29.514676678180695,-2.384185791015625e-06,1534.4302993774413,-0.011878757309750654
773,0.0,84,2.318803519010544,172032,222,0.08968802841263823,3.7255457264891296,36.195709228515625,0.111572265625,830,0.00025,0.012901162,0.2,1.063442349433899,-29.546456480026244,3.3974647521972656e-06,83.2211695432663,-0.02029554243781604
778,0.0,85,3.5169788897037506,174080,223,0.11495048701181076,8.63997859173647,320.7429504394531,0.0951171875,840,0.00025,0.010150846,0.2,1.0638344287872314,-29.59368041753769,8.940696716308594e-07,646.8953926086426,-0.01705679466831498
784,0.0,86,6.630218863487244,176128,224,0.23966581607237458,18.97911068696045,576.3715209960938,0.01201171875,850,0.00025,0.0032278453,0.2,1.0638933181762695,-29.595403158664702,0.9844281077384949,1150.287381362915,-0.00626737225393299
789,0.0,87,1.2616784572601318,178176,225,0.0006084948763600551,0.7424089438121672,536.0479736328125,0.028662109375,860,0.00025,0.004318265,0.2,1.0639482736587524,-29.596788036823273,0.9819000959396362,1135.4094593048096,-0.0058527031796984375
795,0.0,88,1.5836396515369415,180224,226,0.04039689674391411,3.2660439138825743,24.313695907592773,0.335009765625,870,0.00025,0.033142507,0.2,1.0628761053085327,-29.581213521957398,4.291534423828125e-06,52.23294575214386,-0.013488367863465101
800,0.0,89,1.9752117991447449,182272,227,0.05644021256011911,6.2321060933974,208.77548217773438,0.165771484375,880,0.00025,0.007127394,0.2,1.063435435295105,-29.5831738114357,-8.225440979003906e-06,484.8507791519165,-0.005938430092646741
805,0.0,90,6.534810200333595,184320,228,0.4265020415186882,16.966597161233985,491.7217102050781,0.0525390625,890,0.00025,0.007163333,0.2,1.0635416507720947,-29.587310576438902,-1.0728836059570312e-06,1100.536226272583,-0.01577839961682912
810,0.0,91,1.6937081515789032,186368,229,0.0006231546285562217,0.872197403966872,588.2232055664062,0.04775390625,900,0.00025,0.0067046545,0.2,1.0635594129562378,-29.588315784931183,0.4039962887763977,1289.445694732666,-0.008587518270360306
816,0.0,92,2.5341957211494446,188416,230,0.0007039219053694978,4.415992872038935,36.75456619262695,0.320263671875,910,0.00025,0.026912373,0.2,1.0676746368408203,-29.640063917636873,3.635883331298828e-06,81.72431030273438,-0.015203086339170113
821,0.0,93,5.320560932159424,190464,231,0.05515388316416647,10.405918445324934,343.0636291503906,0.140478515625,920,0.00025,0.006950599,0.2,1.0673975944519043,-29.661194133758546,0.0,762.7887042999267,-0.0033174046693602577
826,0.0,94,9.429294764995575,192512,233,0.2406995862693293,16.934643104705547,506.4808654785156,0.021728515625,930,0.00025,0.0045993323,0.2,1.0675194263458252,-29.661402428150176,0.0,1112.3805438995362,-0.008509627231978812
831,0.0,95,1.8969350755214691,194560,234,0.000747057783883065,1.6779622003270545,465.4079895019531,0.080322265625,940,0.00025,0.009802779,0.2,1.0677522420883179,-29.664206171035765,4.291534423828125e-06,1023.1042671203613,-0.010671462723985314
