time/fps,custom/collision,time/total_timesteps,custom/min_dyn_distance,time/time_elapsed,custom/mean_form_error,time/iterations,custom/mean_z_error,train/std,train/learning_rate,train/n_updates,train/loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/clip_range,train/entropy_loss
2446,0.0,2048,1.1484927833080292,0,0.4685277221151446,1,0.0012594133440870792,,,,,,,,,,,
2383,0.0,4096,2.374071031808853,1,3.486214270489724,2,0.019038778526009992,1.5136442184448242,0.00025,7340,1.4874839782714844,0.019587016,0.9963378310203552,-0.013746867608278989,0.2150390625,6.141206586360932,0.2,-36.56159636974335
2303,0.0,6144,4.488115727901459,2,6.876771437363084,3,0.14399725646944717,1.5142110586166382,0.00025,7350,0.6569645404815674,0.01837958,0.9804711937904358,-0.031017480691662058,0.207666015625,4.969667953997851,0.2,-36.5816554069519
2129,0.0,8192,5.910761177539825,3,14.776677493013732,4,0.47697923332452774,1.5147063732147217,0.00025,7360,4.277881145477295,0.010262335,0.987844705581665,-0.01272281193814706,0.0822265625,69.60742820501328,0.2,-36.59327516555786
2209,0.0,10240,1.2837972939014435,4,0.46097517456846593,5,0.0013741850852966309,1.515152096748352,0.00025,7370,12.016791343688965,0.00553304,0.9695642590522766,-0.007051578670507297,0.02021484375,303.8585001349449,0.2,-36.600079202651976
2216,0.0,12288,1.6031941175460815,5,2.3935190801306496,6,0.06865821332030464,1.5232564210891724,0.00025,7380,0.21327313780784607,0.017893367,0.9965208768844604,-0.01879931311123073,0.21328125,4.844745052233338,0.2,-36.65756416320801
2233,0.0,14336,2.21719691157341,6,4.362048304986862,7,0.2625789743033238,1.5238851308822632,0.00025,7390,0.4633593261241913,0.01451336,0.9017072916030884,-0.020105329452781005,0.140625,110.44001704603434,0.2,-36.71981482505798
2195,0.0,16384,3.6743927896022797,7,10.362439443215447,8,0.48230699449777603,1.5244653224945068,0.00025,7400,4.816626071929932,0.011555659,0.9411424398422241,-0.02007376452384051,0.0927734375,66.1166552245617,0.2,-36.72788586616516
2240,0.0,18432,2.1433931589126587,8,4.938788823559945,9,0.12808255254640244,1.5274345874786377,0.00025,7410,3.143825054168701,0.017751958,0.9799394607543945,-0.02190599950699834,0.14248046875,44.38986617177725,0.2,-36.748142170906064
2242,0.0,20480,2.0228708386421204,9,3.6924495146733562,10,0.07021624334447552,1.5280040502548218,0.00025,7420,2.773813486099243,0.008768941,0.9709708094596863,-0.009919016940693836,0.05966796875,67.70811413228512,0.2,-36.77550477981568
2265,0.0,22528,5.413903385400772,9,8.856176724733338,11,0.09723391011357307,1.5278687477111816,0.00025,7430,3.13543438911438,0.015713308,0.9790571331977844,-0.00971185341477394,0.06787109375,80.65223464667797,0.2,-36.7780592918396
2230,0.0,24576,6.380264520645142,11,12.964259275794028,12,0.23829694464802742,1.5277340412139893,0.00025,7440,11.055864334106445,0.008892661,0.9838769435882568,-0.013548310528858565,0.055908203125,86.3304615020752,0.2,-36.77647171020508
2233,0.0,26624,1.5242936611175537,11,4.445601990949953,13,0.0974460348370485,1.528082251548767,0.00025,7450,7.9467363357543945,0.0091147665,0.9783555865287781,-0.009173107519745826,0.0634765625,117.86071502566338,0.2,-36.776232028007506
2173,0.0,28672,2.003246635198593,13,4.428359456001825,14,0.07061790821899194,1.5324175357818604,0.00025,7460,0.558233380317688,0.03235192,0.9960862398147583,-0.02048218598065432,0.234375,8.356562808528542,0.2,-36.807390093803406
2159,0.0,30720,4.815901398658752,14,12.164130751614953,15,0.1881532102706842,1.5332183837890625,0.00025,7470,1.1070008277893066,0.020534292,0.9903555512428284,-0.020961260391050018,0.16181640625,30.050686571002007,0.2,-36.84265050888062
2152,0.0,32768,4.6993288397789,15,14.859455962257098,16,0.15126907191006467,1.533644437789917,0.00025,7480,13.663651466369629,0.008959675,0.9633839130401611,-0.01122720230196137,0.06787109375,118.78884962797164,0.2,-36.84832134246826
