custom/mean_z_error,time/fps,custom/mean_form_error,custom/min_dyn_distance,custom/collision,time/iterations,time/time_elapsed,time/total_timesteps,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/loss,train/std,train/value_loss,train/approx_kl,train/entropy_loss,train/clip_fraction
0.09701733591646189,2994,4.031578004999359,3.352980464696884,0.0,1,1,4096,,,,,,,,,,,
0.46454360615462065,2454,14.86887174840443,4.092455506324768,0.0,2,3,8192,0.2,0.0003,-0.004117407998273847,41530,0.9691545963287354,1.1055272817611694,7.671087741851807,162.53264125809073,0.005910564,-68.30841193199157,0.034228515625
0.14768475070559361,2376,4.469278560665515,2.6130791902542114,0.0,3,5,12288,0.2,0.0003,-0.008053095266222953,41540,0.9945938587188721,0.848639726638794,7.676388740539551,8.390717145055532,0.012160855,-68.33722789287567,0.1038818359375
0.40424639359116554,2281,20.18350555746493,6.793951630592346,0.0,4,7,16384,0.2,0.0003,-0.018728040833957495,41550,0.9959538578987122,0.1373465359210968,7.703547477722168,5.21077856682241,0.01583131,-68.37537045478821,0.1424560546875
0.3233678728356608,2277,8.661062571549264,2.5187782049179077,0.0,5,8,20480,0.2,0.0003,-0.008278763240377884,41560,0.9622106552124023,40.33570098876953,7.711541175842285,214.58864053562283,0.013053555,-68.4193678855896,0.0866943359375
0.425088495016098,2278,17.54888777232773,3.3178625106811523,0.0,6,10,24576,0.2,0.0003,-0.01573227532062447,41570,0.9970470070838928,0.15694254636764526,7.727682590484619,4.416925129666924,0.013221788,-68.46109807491302,0.1191162109375
0.23857853934168816,2252,8.296210215785868,3.6812632381916046,0.0,7,12,28672,0.2,0.0003,-0.011089123768033459,41580,0.9947414398193359,1.9629623889923096,7.724621772766113,9.842474640533329,0.011785996,-68.47696359157563,0.094873046875
0.33363165706396103,2254,12.203199192501852,3.2185447216033936,0.0,8,14,32768,0.2,0.0003,-0.006864887109986739,41590,0.9897112846374512,1.4765067100524902,7.733644008636475,14.82072085365653,0.0049337503,-68.48173809051514,0.0250244140625
0.19198585749836639,2217,2.7576843725343254,2.976777523756027,0.0,9,16,36864,0.2,0.0003,-0.010621701570926234,41600,0.9947487711906433,0.6430178284645081,7.729527473449707,7.300293689593673,0.014089365,-68.48421673774719,0.1063232421875
0.09932324885448907,2222,6.113179548459881,3.0978816151618958,0.0,10,18,40960,0.2,0.0003,-0.013250452623469754,41610,0.9720863699913025,1.0013645887374878,7.751635551452637,134.4316357396543,0.013181548,-68.52283124923706,0.1136962890625
