checkpoint,mfe_mean_avg,mdd_min_avg,collisions_any_total
ppo_multi_1146880_steps.zip,0.27247482538223267,inf,8
ppo_multi_1310720_steps.zip,1.794487714767456,inf,0
ppo_multi_1474560_steps.zip,1.71353018283844,inf,0
ppo_multi_1638400_steps.zip,1.6406093835830688,inf,0
ppo_multi_163840_steps.zip,0.33177146315574646,inf,5
ppo_multi_1802240_steps.zip,1.6085292100906372,inf,0
ppo_multi_327680_steps.zip,0.4464547634124756,inf,4
ppo_multi_491520_steps.zip,0.24868431687355042,inf,7
ppo_multi_655360_steps.zip,0.2135440707206726,inf,9
ppo_multi_819200_steps.zip,0.1782808154821396,inf,12
ppo_multi_983040_steps.zip,0.23287348449230194,inf,8
best_model.zip,1.794487714767456,inf,0
