time/iterations,time/fps,custom/mean_z_error,custom/collision,custom/min_dyn_distance,custom/mean_form_error,time/total_timesteps,time/time_elapsed,train/std,train/learning_rate,train/loss,train/explained_variance,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/value_loss,train/clip_fraction
1,3214,0.0013672620116267353,0.0,1.131123274564743,0.6566254910319684,2048,0,,,,,,,,,,,
2,2776,0.2597996424883604,0.0,3.304368257522583,4.488919366838782,4096,1,3.3527464866638184,0.0001,0.5190643668174744,0.9971347451210022,0.2,-52.284781432151796,-0.015149800101062283,0.013079978,19550,5.622255798429251,0.098681640625
3,2626,0.5056910291314125,0.0,4.440412521362305,12.494001123879073,6144,2,3.3553519248962402,0.0001,1.2227120399475098,0.9072347283363342,0.2,-52.30516126155853,-0.012163166355458088,0.008720096,19560,27.86040603891015,0.0474609375
4,2395,0.5172429502126761,0.0,9.599910646677017,27.101245343986925,8192,3,3.355996608734131,0.0001,6.651578426361084,0.9845600128173828,0.2,-52.31355147361755,-0.010205536393914371,0.0038578564,19570,45.83699903488159,0.023291015625
5,2399,0.00185703337774612,0.0,1.1847776174545288,1.037775182489104,10240,4,3.3560194969177246,0.0001,100.65159606933594,0.717421293258667,0.2,-52.31534125804901,-0.003009010839741677,0.005636534,19580,787.4544296979905,0.034814453125
6,2375,0.33169558792724274,0.0,2.1615706086158752,7.121815047118283,12288,5,3.3586997985839844,0.0001,0.44692301750183105,0.9975392818450928,0.2,-52.318436408042906,-0.020315086636401247,0.010869334,19590,8.138088878989219,0.09560546875
7,2356,0.45322151482105255,0.0,2.561059355735779,14.869244337163122,14336,6,3.360560894012451,0.0001,226.59571838378906,0.893450140953064,0.2,-52.33249835968017,-0.008541264000814407,0.0050521693,19600,894.5911050438881,0.027587890625
8,2317,0.4387317314685788,0.0,3.8159070014953613,13.135495648287911,16384,7,3.3605055809020996,0.0001,1.439420223236084,0.9833931922912598,0.2,-52.3423169374466,-0.008994804546819068,0.008958671,19610,31.73092075660825,0.05498046875
9,2347,0.23773342373897322,0.0,3.1771076321601868,8.636310980009632,18432,7,3.360291004180908,0.0001,10.005202293395996,0.9817696809768677,0.2,-52.34099886417389,-0.011523634984041565,0.008457109,19620,87.23644410967827,0.042138671875
10,2339,0.28129700422869064,0.0,3.057949334383011,5.56906239395827,20480,8,3.360913038253784,0.0001,0.6749058961868286,0.9917209148406982,0.2,-52.34173891544342,-0.020162926299963146,0.011090264,19630,21.849018220975996,0.08681640625
11,2280,0.18905883207480656,0.0,2.900968998670578,10.502078810664607,22528,9,3.3605523109436035,0.0001,1.7972530126571655,0.9788221120834351,0.2,-52.34026999473572,-0.012511352280853316,0.006853517,19640,59.877336798608304,0.028515625
12,2277,0.3353554099739995,0.0,4.390747159719467,18.12988700052755,24576,10,3.360731601715088,0.0001,3.4593305587768555,0.9793087840080261,0.2,-52.341922354698184,-0.005543964635580778,0.0029464066,19650,72.74381600618362,0.017822265625
13,2304,0.2442279539827723,0.0,2.038559377193451,5.6530129149025345,26624,11,3.3628134727478027,0.0001,7.658815383911133,0.9790207743644714,0.2,-52.34590659141541,-0.008314554792013951,0.012791864,19660,48.325946998596194,0.095654296875
14,2278,0.054621224116999656,0.0,2.4639654457569122,2.4308933776386974,28672,12,3.3649699687957764,0.0001,2.439777135848999,0.9907493591308594,0.2,-52.35521492958069,-0.009170854836702347,0.005648145,19670,25.159673950076105,0.0275390625
15,2283,0.24693577774451114,0.0,3.5080781280994415,9.065055455046586,30720,13,3.366661548614502,0.0001,4.042943477630615,0.9805991649627686,0.2,-52.3664265871048,-0.009289322802214884,0.00618881,19680,155.86536577045916,0.02705078125
16,2272,0.3788144364953041,0.0,4.824629366397858,16.43959823596959,32768,14,3.3662612438201904,0.0001,3.5137205123901367,0.9843533635139465,0.2,-52.37292096614838,-0.007271553523605689,0.003805811,19690,86.23555585741997,0.013720703125
17,2253,0.30367066262988374,0.0,1.6911957263946533,7.538769219999503,34816,15,3.3654842376708984,0.0001,3.715249538421631,0.9826192259788513,0.2,-52.36883454322815,-0.004769040810060687,0.002552324,19700,72.37282742261887,0.012744140625
18,2238,0.04912301676813513,0.0,1.5783845335245132,3.296560674558998,36864,16,3.3665637969970703,0.0001,3.3618006706237793,0.978386402130127,0.2,-52.367814326286314,-0.006145679886685684,0.0033459761,19710,46.36873095333576,0.01572265625
19,2259,0.07430062704952434,0.0,3.289020210504532,7.727295889530726,38912,17,3.367232084274292,0.0001,173.8144073486328,0.9455239772796631,0.2,-52.37377927303314,-0.007071631157305092,0.004092832,19720,449.274271813035,0.012890625
20,2243,0.19272130355238914,0.0,2.6944764256477356,8.22290299321785,40960,18,3.370152235031128,0.0001,1.4870223999023438,0.9887763261795044,0.2,-52.38258168697357,-0.019861927874444518,0.011252678,19730,7.961612412333489,0.12685546875
21,2236,0.3752703249338083,0.0,3.937257558107376,14.046456688311117,43008,19,3.370187282562256,0.0001,1.4713594913482666,0.9960784316062927,0.2,-52.39125628471375,-0.014491238922346383,0.008903433,19740,14.605208283662796,0.056787109375
22,2215,0.09636990129365586,0.0,1.7886484265327454,2.261736590689507,45056,20,3.371819257736206,0.0001,2.226167678833008,0.9846682548522949,0.2,-52.39560544490814,-0.00881268011580687,0.0073043294,19750,36.34857480227947,0.049072265625
23,2231,0.2020578771480359,0.0,2.394375592470169,5.706783866627919,47104,21,3.3740017414093018,0.0001,4.403597831726074,0.9960280060768127,0.2,-52.40846564769745,-0.01491974270902574,0.0073407814,19760,18.108865067362785,0.04443359375
24,2234,0.2845831409213133,0.0,1.9670700430870056,7.246967233650395,49152,21,3.3743042945861816,0.0001,0.9600200653076172,0.9212205410003662,0.2,-52.41787915229797,-0.017003472064970993,0.012704434,19770,18.781288024783134,0.0990234375
25,2229,0.3306435584963765,0.0,2.6771161556243896,10.916150638063304,51200,22,3.3772549629211426,0.0001,0.19925087690353394,0.9939419031143188,0.2,-52.42649314403534,-0.02153591855058039,0.013449298,19780,18.297148951143026,0.09609375
26,2219,0.0956487491785083,0.0,2.0756130516529083,2.455941785879983,53248,23,3.3797714710235596,0.0001,0.5003820061683655,0.9963728785514832,0.2,-52.444299006462096,-0.015028723940486089,0.008598196,19790,10.948580039292574,0.0826171875
27,2226,0.1440299242385663,0.0,3.026072859764099,8.776361649931097,55296,24,3.3802096843719482,0.0001,7.098126411437988,0.9963774681091309,0.2,-52.45494339466095,-0.004848796050646342,0.001796623,19800,29.93383985161781,0.007080078125
28,2213,0.18944376482977532,0.0,2.5925614535808563,3.5729348813354758,57344,25,3.3800010681152344,0.0001,0.6970089673995972,0.9783235788345337,0.2,-52.455199122428894,-0.006347848133009393,0.003341273,19810,28.384634101390837,0.02294921875
29,2215,0.19013845920562744,0.0,2.1876190304756165,6.335094293760617,59392,26,3.3804879188537598,0.0001,59.38579559326172,0.9476137161254883,0.2,-52.45555918216705,-0.008394005514855963,0.0033277338,19820,278.84932569563387,0.014599609375
30,2216,0.10167082698899321,0.0,1.5876497030258179,2.622282040005267,61440,27,3.3805644512176514,0.0001,5.6063232421875,0.9802292585372925,0.2,-52.458442616462705,-0.007263651237008162,0.00422668,19830,43.01737783849239,0.02001953125
31,2226,0.24118015391286463,0.0,2.4884464740753174,7.230767941317867,63488,28,3.3804996013641357,0.0001,0.730660080909729,0.9837288856506348,0.2,-52.460080409049986,-0.016599247168051078,0.008993011,19840,27.13536041080952,0.05146484375
32,2219,0.2382719531597104,0.0,3.330895334482193,6.24258289876947,65536,29,3.381885528564453,0.0001,2.0306665897369385,0.9777501225471497,0.2,-52.46383955478668,-0.017787014023633675,0.010224243,19850,41.580535338819026,0.064208984375
33,2207,0.19831574874115176,0.0,3.1836140155792236,6.6404296196287,67584,30,3.383810520172119,0.0001,2.0140042304992676,0.9760299324989319,0.2,-52.47325623035431,-0.012743964366381987,0.0096478285,19860,54.750967259705064,0.06142578125
34,2217,0.2866650283103809,0.0,2.7614129781723022,6.793413677224227,69632,31,3.385636806488037,0.0001,2.1804468631744385,0.984237551689148,0.2,-52.48284134864807,-0.009654691827017814,0.007455455,19870,31.39703725874424,0.05048828125
35,2226,0.30176966375438496,0.0,3.387423187494278,13.671865996619026,71680,32,3.3891921043395996,0.0001,6.614189147949219,0.9829822778701782,0.2,-52.49834749698639,-0.010049259665538556,0.006823074,19880,38.54288035780191,0.033544921875
36,2217,0.24932112693204544,0.0,4.0424191653728485,5.580956853321084,73728,33,3.389192581176758,0.0001,1.7553761005401611,0.9636267423629761,0.2,-52.50960733890533,-0.004672896645206493,0.0027832869,19890,36.55900099724531,0.01533203125
