time/iterations,time/time_elapsed,custom/min_dyn_distance,custom/collision,custom/mean_z_error,time/total_timesteps,custom/mean_form_error,time/fps,train/learning_rate,train/loss,train/approx_kl,train/entropy_loss,train/explained_variance,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/clip_range,train/std,train/value_loss
1,2,8.466311931610107,0.0,0.6297213137149811,8192,29.814690412700696,3242,,,,,,,,,,,
2,6,5.9908042550086975,0.0,0.33565613254904747,16384,17.17341323083343,2551,0.0001,6.449061393737793,0.0043482133,-68.2863642334938,0.9599399566650391,0.01346435546875,41530,-0.007956553209260165,0.2,7.654195308685303,164.55141908973457
3,10,5.255728483200073,0.0,0.6144374012947083,24576,17.75883591611165,2380,0.0001,1.2983965873718262,0.0068250317,-68.29425144195557,0.749981164932251,0.03353271484375,41540,-0.008932941309467424,0.2,7.663562774658203,169.56858586929738
4,15,3.3167132437229156,0.0,0.5231190249323845,32768,21.849710827233242,2182,0.0001,4.893856525421143,0.00601536,-68.32050844430924,0.8426511883735657,0.0271240234375,41550,-0.009309191013380768,0.2,7.6791558265686035,199.92134687118232
5,19,1.5319338738918304,0.0,0.1903426885837689,40960,6.602367245402889,2079,0.0001,3.191122531890869,0.005803687,-68.35773491859436,0.9552385210990906,0.02431640625,41560,-0.0096658942537033,0.2,7.691888332366943,119.20336402654648
6,23,2.0560138821601868,0.0,0.18785664736060426,49152,3.701272023844686,2067,0.0001,3.6202621459960938,0.00773468,-68.39215506315232,0.9423577785491943,0.04222412109375,41570,-0.01348837127443403,0.2,7.703501224517822,70.38014162816107
7,28,2.5003177523612976,0.0,0.20392105431528762,57344,5.746976422255293,2029,0.0001,25.251874923706055,0.0066527324,-68.4087233543396,0.9388982057571411,0.0364990234375,41580,-0.011832320654139038,0.2,7.705700874328613,154.4787490300834
8,32,2.2202472388744354,0.0,0.18920506388531066,65536,9.163219926149235,2026,0.0001,3.3095803260803223,0.005873224,-68.44170758724212,0.9363800287246704,0.02469482421875,41590,-0.012635651731034158,0.2,7.733547210693359,89.10722347944974
9,36,1.8932594060897827,0.0,0.28272833974915557,73728,15.120149276891341,2024,0.0001,6.145778656005859,0.0068626394,-68.48215059041976,0.9651612043380737,0.0325927734375,41600,-0.012123971559776691,0.2,7.738761901855469,58.3979347281158
10,41,4.414673566818237,0.0,0.36618290506885387,81920,13.363210855053419,1981,0.0001,2.0807299613952637,0.0060315817,-68.50727016925812,0.8625698685646057,0.02935791015625,41610,-0.010938118828926235,0.2,7.753286838531494,142.90659963712096
