stage,step,mean_form_error_m,mean_z_error_m,min_dyn_distance_m,collision_flag,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,roll_rad,pitch_rad,yaw_rad,wx_rps,wy_rps,wz_rps,x_des_m,y_des_m,z_des_m
stage2_move_slow_static,22,0.006562335882335901,0.0,inf,0.0,-3.0412171e-05,-2.8198252e-05,1.0,-0.0010300131,-0.0006927438,4.2674746e-11,0.0007209778,-0.002398014,-0.0006854534,0.041982025,0.02966759,0.0042300606,0.0055,0.002933307,1.0
stage2_move_slow_static,23,0.006851614452898502,0.0,inf,0.0,-3.51115e-05,-3.1206575e-05,1.0,-0.0011278389,-0.00072199793,9.537979e-10,0.0004377365,-0.0023627281,-0.00078988075,-0.0679589,0.008529582,-0.02521102,0.00575,0.0030666366,1.0
stage2_move_slow_static,24,0.007141237612813711,0.0,inf,0.0,-4.0212308e-05,-3.42885e-05,1.0,-0.0012241938,-0.0007396615,-1.5800361e-09,0.00061249733,-0.0018692017,-0.0007724762,0.04206163,0.1184214,0.004263731,0.006,0.003199966,1.0
stage2_move_slow_static,25,0.00743115833029151,0.0,inf,0.0,-4.5630473e-05,-3.747386e-05,1.0,-0.0013003596,-0.0007644865,-2.5066735e-10,0.00032925606,-0.0018339157,-0.0008766651,-0.06796716,0.008510038,-0.025171358,0.00625,0.0033332948,1.0
stage2_move_slow_static,26,0.00772132957354188,0.0,inf,0.0,-5.1359897e-05,-4.071437e-05,1.0,-0.0013750622,-0.0007777227,-1.6414888e-10,0.0005042553,-0.0013403893,-0.000859499,0.042078517,0.11839544,0.004233339,0.0065,0.0034666234,1.0
stage2_move_slow_static,27,0.008011754602193832,0.0,inf,0.0,-5.73165e-05,-4.4039887e-05,1.0,-0.0014295846,-0.0007981237,-4.123169e-10,0.00022101402,-0.0013053417,-0.0009636879,-0.06797541,0.0084905075,-0.025131706,0.00675,0.0035999515,1.0
stage2_move_slow_static,28,0.008302335627377033,0.0,inf,0.0,-6.349421e-05,-4.740213e-05,1.0,-0.001482651,-0.0008069378,9.471789e-10,0.00039577484,-0.0008120537,-0.00094628334,0.04209537,0.11836949,0.0042029507,0.007,0.0037332792,1.0
stage2_move_slow_static,29,0.008593053556978703,0.0,inf,0.0,-6.980899e-05,-5.083096e-05,1.0,-0.0015155463,-0.0008229201,-1.38004e-10,0.00011253357,-0.00077700615,-0.0010507107,-0.067983635,0.00847099,-0.025092062,0.00725,0.0038666064,1.0
stage2_move_slow_static,30,0.008883851580321789,0.0,inf,0.0,-7.625479e-05,-5.4278116e-05,1.0,-0.0015469932,-0.00082731724,-3.3986206e-10,0.0002875328,-0.0002837181,-0.0010335445,0.042112198,0.11834355,0.0041725663,0.0075,0.003999933,1.0
stage2_move_slow_static,31,0.009174755774438381,0.0,inf,0.0,-8.274762e-05,-5.7773475e-05,1.0,-0.0015582779,-0.0008388861,-7.135021e-10,4.2915344e-06,-0.00024867058,-0.0011377335,-0.067991845,0.008451487,-0.025052425,0.00775,0.00413326,1.0
stage2_move_slow_static,32,0.009465634822845459,0.0,inf,0.0,-8.928146e-05,-6.126877e-05,1.0,-0.0015681214,-0.00083887146,1.5588707e-09,0.00017929077,0.00024437904,-0.0011205673,0.042128995,0.11831761,0.0041421866,0.008,0.0042665857,1.0
stage2_move_slow_static,33,0.009756505489349365,0.0,inf,0.0,-9.577234e-05,-6.479391e-05,1.0,-0.0015578119,-0.000846032,-2.8791458e-10,-0.00010418892,0.00027918816,-0.0012247562,-0.06800003,0.008431996,-0.025012797,0.00825,0.004399911,1.0
stage2_move_slow_static,34,0.01004730723798275,0.0,inf,0.0,-0.0001022143,-6.8300615e-05,1.0,-0.0015460686,-0.00084161083,7.7762236e-10,7.081032e-05,0.0007722378,-0.0012075901,0.042145763,0.11829168,0.004111811,0.0085,0.0045332364,1.0
stage2_move_slow_static,35,0.010338004678487778,0.0,inf,0.0,-0.00010852338,-7.181882e-05,1.0,-0.0015141813,-0.0008443682,-5.3362836e-10,-0.00021266937,0.0008070469,-0.001311779,-0.06800821,0.00841252,-0.024973175,0.00875,0.004666561,1.0
stage2_move_slow_static,36,0.01062854379415512,0.0,inf,0.0,-0.00011469366,-7.530026e-05,1.0,-0.0014808675,-0.0008355457,6.742675e-10,-3.7670135e-05,0.0011456013,-0.0012946129,0.042113893,0.08120689,0.0040893178,0.009,0.0047998847,1.0
stage2_move_slow_static,37,0.01091894879937172,0.0,inf,0.0,-0.00012066754,-7.877483e-05,1.0,-0.0014337302,-0.0008338969,-4.174985e-10,-0.0003209114,0.0010259151,-0.0013988018,-0.06805961,-0.028656559,-0.024942648,0.00925,0.004933208,1.0
stage2_move_slow_static,38,0.011209151707589626,0.0,inf,0.0,-0.00012646538,-8.219425e-05,1.0,-0.0013914827,-0.00082066166,9.784927e-10,-0.00014591217,0.0013644695,-0.0013816357,0.042123664,0.08119856,0.0040759956,0.0095,0.0050665312,1.0
stage2_move_slow_static,39,0.01149914413690567,0.0,inf,0.0,-0.00013202961,-8.558843e-05,1.0,-0.0013354148,-0.0008146026,-3.0794315e-11,-0.00042939186,0.001244545,-0.0014858246,-0.06806574,-0.028658442,-0.024919974,0.00975,0.0051998533,1.0
stage2_move_slow_static,40,0.011788884177803993,0.0,inf,0.0,-0.0001373806,-8.890909e-05,1.0,-0.0012842385,-0.0007969578,1.1374691e-09,-0.00025439262,0.0015830994,-0.0014686584,0.04213343,0.081190236,0.0040626735,0.01,0.0053331754,1.0
stage2_move_slow_static,41,0.012078379280865192,0.0,inf,0.0,-0.00014246079,-9.2186136e-05,1.0,-0.0012192454,-0.0007864916,4.3782092e-10,-0.0005378723,0.0014631748,-0.0015728474,-0.068071865,-0.028660322,-0.024897305,0.01025,0.0054664966,1.0
stage2_move_slow_static,42,0.012367554940283298,0.0,inf,0.0,-0.00014729057,-9.537131e-05,1.0,-0.0011591453,-0.0007644406,-1.181281e-09,-0.00036263466,0.0018017292,-0.0015556812,0.04214318,0.08118191,0.004049351,0.0105,0.0055998173,1.0
stage2_move_slow_static,43,0.012656429782509804,0.0,inf,0.0,-0.00015181236,-9.8494515e-05,1.0,-0.0010852318,-0.00074957055,-1.7914413e-10,-0.00064611435,0.0016818047,-0.0016598701,-0.06807798,-0.0286622,-0.024874639,0.01075,0.005733137,1.0
stage2_move_slow_static,44,0.012944946996867657,0.0,inf,0.0,-0.00015604659,-0.0001015075,1.0,-0.0010162131,-0.0007231165,-4.692956e-10,-0.0004711151,0.002020359,-0.001642704,0.042152926,0.0811736,0.0040360284,0.011,0.0058664563,1.0
stage2_move_slow_static,45,0.013233073055744171,0.0,inf,0.0,-0.00015993569,-0.000104440194,1.0,-0.0009333843,-0.0007038458,-1.0623185e-12,-0.0007545948,0.0019004345,-0.0017468929,-0.0680841,-0.028664073,-0.024851978,0.01125,0.005999775,1.0
stage2_move_slow_static,46,0.013520786538720131,0.0,inf,0.0,-0.00016350007,-0.00010724433,1.0,-0.0008554521,-0.0006729919,-1.8354425e-10,-0.00057935715,0.0022389889,-0.0017297268,0.042162664,0.08116528,0.004022706,0.0115,0.006133093,1.0
stage2_move_slow_static,47,0.013808095827698708,0.0,inf,0.0,-0.0001666822,-0.00010994984,1.0,-0.00076371303,-0.00064932386,4.15644e-10,-0.00086307526,0.0021190643,-0.0018336773,-0.06809021,-0.028665945,-0.024829319,0.01175,0.0062664105,1.0
stage2_move_slow_static,48,0.014094933867454529,0.0,inf,0.0,-0.00016950251,-0.00011250848,1.0,-0.0006768723,-0.00061407336,-2.03175e-11,-0.0006878376,0.0024576187,-0.0018167496,0.04217239,0.08115696,0.004009383,0.012,0.006399727,1.0
stage2_move_slow_static,49,0.01438128761947155,0.0,inf,0.0,-0.00017190346,-0.00011495019,1.0,-0.00057622814,-0.00058601116,9.0727204e-10,-0.0009713173,0.0023374557,-0.0019207001,-0.06809631,-0.028667813,-0.024806665,0.01225,0.006533043,1.0
stage2_move_slow_static,50,0.014667147770524025,0.0,inf,0.0,-0.00017390549,-0.00011722672,1.0,-0.00048048398,-0.00054636726,1.10681936e-10,-0.00079631805,0.0026760101,-0.0019035339,0.04218211,0.08114865,0.0039960598,0.0125,0.006666358,1.0
stage2_move_slow_static,51,0.014952465891838074,0.0,inf,0.0,-0.00017545106,-0.00011936804,1.0,-0.00037093967,-0.00051391404,-1.0102592e-09,-0.0010797977,0.0025560856,-0.0020077229,-0.068102404,-0.028669678,-0.024784014,0.01275,0.0067996723,1.0
stage2_move_slow_static,52,0.015237243846058846,0.0,inf,0.0,-0.00017656063,-0.000121325866,1.0,-0.00026629708,-0.00046987997,1.5606867e-09,-0.0009045601,0.0028944016,-0.0019905567,0.042191822,0.08114033,0.0039827367,0.013,0.006932986,1.0
stage2_move_slow_static,53,0.015521476045250893,0.0,inf,0.0,-0.00017717671,-0.0001231302,1.0,-0.00014785767,-0.000433039,-1.1972007e-09,-0.0011882782,0.002774477,-0.0020945072,-0.0681085,-0.028671542,-0.024761368,0.01325,0.007066299,1.0
stage2_move_slow_static,54,0.015805158764123917,0.0,inf,0.0,-0.00017731971,-0.00012473277,1.0,-3.432171e-05,-0.00038461798,-3.5493378e-10,-0.0010130405,0.003112793,-0.0020775795,0.042201526,0.08113202,0.003969413,0.0135,0.007199611,1.0
stage2_move_slow_static,55,0.016088243573904037,0.0,inf,0.0,-0.00017693218,-0.00012616358,1.0,9.300775e-05,-0.00034339246,4.5714973e-10,-0.0012965202,0.00299263,-0.0021812916,-0.068114586,-0.028673401,-0.024738723,0.01375,0.0073329224,1.0
stage2_move_slow_static,56,0.016370704397559166,0.0,inf,0.0,-0.00017603455,-0.00012737435,1.0,0.00021543207,-0.00029058763,-8.2230106e-10,-0.001121521,0.0033311844,-0.0021643639,0.04221122,0.08112371,0.0039560897,0.014,0.007466233,1.0
stage2_move_slow_static,57,0.016652576625347137,0.0,inf,0.0,-0.00017456936,-0.00012839511,1.0,0.00035164657,-0.00024498074,1.3381771e-09,-0.0014050007,0.0032110214,-0.0022683144,-0.068120666,-0.028675258,-0.024716085,0.01425,0.007599543,1.0
stage2_move_slow_static,58,0.016933772712945938,0.0,inf,0.0,-0.00017255705,-0.00012917758,1.0,0.00048295417,-0.00018779533,-8.5560053e-10,-0.0012300014,0.0035493374,-0.0022511482,0.042220905,0.081115395,0.0039427658,0.0145,0.0077328514,1.0
