time/time_elapsed,time/fps,custom/mean_form_error,custom/collision,custom/min_dyn_distance,custom/mean_z_error,time/total_timesteps,time/iterations,train/clip_fraction,train/n_updates,train/std,train/value_loss,train/loss,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/learning_rate,train/approx_kl,train/clip_range
0,2971,0.4665042009635904,0.0,1.3303611427545547,0.00020645409676944837,2048,1,,,,,,,,,,,
1,2733,0.683176935388372,0.0,1.3361177146434784,0.00023676603996136691,4096,2,0.186767578125,10,1.0018802881240845,0.8070258052786812,0.08215703070163727,-0.04494286768021993,-28.405395197868348,0.14952677488327026,0.00025,0.018707916,0.2
2,2539,0.9437041641754738,0.0,1.326532706618309,0.00027639567633741535,6144,3,0.2162109375,20,1.0008376836776733,0.04249207949033007,-0.21316209435462952,-0.05218061494233552,-28.405604434013366,0.5991066098213196,0.00025,0.01868889,0.2
3,2384,1.5800251344430283,0.0,1.2469169646501541,0.00030293613417597953,8192,4,0.20888671875,30,1.0021040439605713,0.03311938457773067,-0.20430617034435272,-0.05011811004951596,-28.41099945306778,0.7747043371200562,0.00025,0.018823812,0.2
4,2432,1.9823923890493276,0.0,1.341834843158722,0.00028871893664472736,10240,5,0.23642578125,40,1.002600908279419,0.0239995561161777,-0.2160501927137375,-0.051128519405028786,-28.427002453804015,0.7896437048912048,0.00025,0.019435212,0.2
5,2363,2.461090139206726,0.0,1.39089997112751,0.0002972990259877406,12288,6,0.231787109375,50,1.0060474872589111,0.01952490247495007,-0.2247912436723709,-0.05004351973766461,-28.471789443492888,0.8597898483276367,0.00025,0.019098016,0.2
6,2264,2.983519608325525,0.0,1.4628430157899857,0.000418674948377884,14336,7,0.24443359375,60,1.006849765777588,0.018303390363871585,-0.21885669231414795,-0.0549862724437844,-28.510866808891297,0.8097336292266846,0.00025,0.02107859,0.2
8,2027,4.2372038660055855,0.0,1.670034036040306,0.00039853155612945557,16384,8,0.267919921875,70,1.0044723749160767,0.01572116827155696,-0.21785563230514526,-0.05835696713766083,-28.485842919349672,0.8076451420783997,0.00025,0.021376183,0.2
9,2041,0.4760729886212018,0.0,1.3038725852966309,0.0003730326898221392,18432,9,0.24375,80,1.003319263458252,0.017291633735294454,-0.24114511907100677,-0.05913524659699761,-28.455536806583403,0.9858633279800415,0.00025,0.021167044,0.2
9,2119,0.7666996976278415,0.0,1.2994963079690933,0.0003530770536599448,20480,10,0.24609375,90,1.0018534660339355,0.014650402264669538,-0.20911426842212677,-0.05684596809733193,-28.421291291713715,0.7081515192985535,0.00025,0.018826924,0.2
10,2174,1.5320548424838096,0.0,1.402475506067276,0.0004075527140230406,22528,11,0.2087890625,100,1.001953125,0.013612835278036074,-0.21721021831035614,-0.05598206912691239,-28.416611754894255,0.7636171579360962,0.00025,0.017514352,0.2
11,2158,1.9550123911778223,0.0,1.5053612440824509,0.0003982871712651104,24576,12,0.232275390625,110,1.0031874179840088,0.013761837816855405,-0.23782002925872803,-0.05856456040055491,-28.432499265670778,0.8001183867454529,0.00025,0.019613825,0.2
