custom/collision,custom/mean_z_error,time/total_timesteps,time/fps,time/time_elapsed,custom/mean_form_error,custom/min_dyn_distance,time/iterations,train/value_loss,train/clip_fraction,train/loss,train/explained_variance,train/clip_range,train/learning_rate,train/std,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/n_updates
0.0,0.6287714168429375,8192,3113,2,21.555258482587234,6.626713991165161,1,,,,,,,,,,,
0.0,0.7089018821716309,16384,2449,6,32.835590447434576,9.560597121715546,2,2.6858072735369207,0.151171875,0.055883556604385376,0.998109757900238,0.2,0.0003,7.646838188171387,0.015758626,-0.013273419157849275,-68.2745707154274,41530
0.0,0.5239002063754015,24576,2258,10,16.04406376555285,4.637133836746216,3,3.5729229979217054,0.1356201171875,0.24663761258125305,0.9978549480438232,0.2,0.0003,7.643299102783203,0.015741972,-0.01197979497119377,-68.26719162464141,41540
0.0,0.4252263277885504,32768,2271,14,20.294987551900867,7.323358505964279,4,169.60168042331935,0.0809326171875,5.026118755340576,0.963387131690979,0.2,0.0003,7.650723934173584,0.011331768,-0.007269244518101914,-68.29168965816498,41550
0.0,0.0012350737961241975,40960,2191,18,1.0469821270161868,1.6641314327716827,5,3.7323773693293334,0.1849853515625,0.850814938545227,0.9977967143058777,0.2,0.0003,7.662195682525635,0.022120725,-0.012521136620489415,-68.3240069270134,41560
0.0,0.02483328021480702,49152,2152,22,0.796182200671254,1.343987226486206,6,2.6941678892821073,0.19451904296875,0.09264832735061646,0.9984146952629089,0.2,0.0003,7.688089847564697,0.02023184,-0.016184667029665433,-68.37945516109467,41570
0.0,0.0012186587118776515,57344,2129,26,0.7520753421519949,1.393110454082489,7,3.7030257686972616,0.16202392578125,0.39628109335899353,0.9972712397575378,0.2,0.0003,7.692513465881348,0.017556757,-0.012532995599758578,-68.40561990737915,41580
0.0,0.0013662368146469817,65536,2094,31,0.829039058154721,1.587120532989502,8,6.65339264832437,0.10679931640625,3.113170862197876,0.9973851442337036,0.2,0.0003,7.691420078277588,0.012419287,-0.008180850854114397,-68.40469145774841,41590
0.0,0.09508010148419999,73728,2040,36,5.983576734358599,3.562930017709732,9,4.540967245120555,0.21588134765625,8.65090560913086,0.9975861310958862,0.2,0.0003,7.7146759033203125,0.021355793,-0.011342492952098836,-68.42834677696229,41600
0.0,0.18871459961519577,81920,2033,40,5.787737984914805,3.9171824753284454,10,98.08155280109494,0.10142822265625,2.1315064430236816,0.976303219795227,0.2,0.0003,7.711716651916504,0.012462867,-0.006657946166887996,-68.42783776521682,41610
0.0,0.19019479452981614,90112,2021,44,5.35947231552089,1.836816668510437,11,11.11011287048459,0.07271728515625,2.061605215072632,0.9948263168334961,0.2,0.0003,7.706194877624512,0.009757971,-0.007498565856076311,-68.40238655805588,41620
0.0,0.2422680541931186,98304,2024,48,5.758695292380743,2.1899518370628357,12,9.489104718342423,0.08492431640625,0.8821831941604614,0.9922146201133728,0.2,0.0003,7.742061614990234,0.0122571625,-0.01055944854997506,-68.43297737836838,41630
0.0,0.1855468899011612,106496,2029,52,3.368906238437621,1.626486748456955,13,61.35089380834252,0.13929443359375,1.8293933868408203,0.9783315658569336,0.2,0.0003,7.766212463378906,0.015888575,-0.008734548934808118,-68.51869647502899,41640
0.0,0.0012355774706520606,114688,2033,56,3.6774783227645016,2.192266047000885,14,12.031056094914675,0.103515625,2.5191118717193604,0.9937494397163391,0.2,0.0003,7.815659999847412,0.0118457945,-0.011679654482213664,-68.60393528938293,41650
0.0,0.04854362157493597,122880,2035,60,3.484297100617409,1.2766184210777283,15,4.760659317485988,0.20615234375,0.31896963715553284,0.9956212639808655,0.2,0.0003,7.829171657562256,0.022853576,-0.01046857260298566,-68.70727462768555,41660
0.0,0.04848912208035472,131072,2040,64,2.855954546703698,1.4072104096412659,16,5.169301775470376,0.139306640625,0.3125206232070923,0.9971500635147095,0.2,0.0003,7.842811584472656,0.015535467,-0.012407548200280871,-68.73265832662582,41670
0.0,0.148238527806825,139264,2051,67,6.064441471884539,3.0835856795310974,17,4.260979907959699,0.19024658203125,0.642829418182373,0.9971364140510559,0.2,0.0003,7.854180335998535,0.018791072,-0.015168307834392181,-68.75132739543915,41680
0.0,0.1544788584142225,147456,2057,71,5.18330779593636,2.458506464958191,18,5.440818002261222,0.141748046875,0.5364645719528198,0.9963593482971191,0.2,0.0003,7.892415523529053,0.014995552,-0.012141526993218577,-68.81163381338119,41690
0.0,0.14592636973247863,155648,2062,75,6.662979606029266,1.745547205209732,19,160.5790657315403,0.11533203125,73.15382385253906,0.975060224533081,0.2,0.0003,7.899916648864746,0.012646737,-0.009662084324008901,-68.85957560539245,41700
