episode,total_reward,mean_form_error,max_form_error,form_var,mean_z_error,min_dyn_distance,collision,threat,r_terms,ic_chase_mode
50,-5.95746625955107,0.04912836477160454,0.051879581063985825,1.0903678230533842e-05,0.0006234765169210732,0.10380976647138596,1.0,1.0,"{'r_form': -0.03159829058917239, 'r_form_var': -4.579544856824213e-06, 'r_height': -0.0002493906067684293, 'r_smooth': -0.0010665754973888397, 'r_evade': -2.0885707005858425, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.2492757797241211, 'collision': -8.0}",nearest
51,-24.01333587473006,0.04756711423397064,0.05103606358170509,6.958124231459806e-06,2.9706954592256807e-05,0.10772041976451874,1.0,1.0,"{'r_form': -0.030963263681624085, 'r_form_var': -2.922412177213118e-06, 'r_height': -1.1882781836902723e-05, 'r_smooth': -0.0009020484983921052, 'r_evade': -2.076838740706444, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.3102888584136963, 'collision': -8.0}",nearest
52,-3.0746363700159685,0.06819126009941101,0.0704142302274704,3.875252332363743e-06,0.0003472447278909385,0.10144635289907455,1.0,1.0,"{'r_form': -0.04431858781259507, 'r_form_var': -1.6276059795927722e-06, 'r_height': -0.00013889789115637541, 'r_smooth': -0.0013315507769584656, 'r_evade': -2.0956609413027767, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.2858011245727539, 'collision': -8.0}",most_error
53,-5.6568624967021375,0.053848616778850555,0.05917134881019592,2.2032636479707435e-05,0.00042560099973343313,0.10137441009283066,1.0,1.0,"{'r_form': -0.03620374719146639, 'r_form_var': -9.253707321477122e-06, 'r_height': -0.00017024039989337327, 'r_smooth': -0.001754160225391388, 'r_evade': -2.0958767697215084, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.22603290081024172, 'collision': -8.0}",round_robin
54,-5.030537792131817,0.0396900400519371,0.042480263859033585,6.4992395891749766e-06,0.0001720666914479807,0.10679493099451065,1.0,1.0,"{'r_form': -0.025449835739564153, 'r_form_var': -2.72968062745349e-06, 'r_height': -6.882667657919228e-05, 'r_smooth': -0.0011580792814493179, 'r_evade': -2.0796152070164684, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.22807483673095705, 'collision': -8.0}",most_error
55,-21.46063496230466,0.06070549041032791,0.06728673726320267,3.623082739068195e-05,0.000676274299621582,0.10615251958370209,1.0,1.0,"{'r_form': -0.04158802959369495, 'r_form_var': -1.5216947504086417e-05, 'r_height': -0.00027050971984863285, 'r_smooth': -0.0010419317334890365, 'r_evade': -2.0626790650188926, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.2719320774078369, 'collision': -8.0}",most_error
56,-13.948536406809811,0.04925591126084328,0.06056968495249748,4.35905167250894e-05,0.00010766983177745715,0.105107881128788,1.0,1.0,"{'r_form': -0.03651224579894915, 'r_form_var': -1.8308017024537546e-05, 'r_height': -4.306793271098286e-05, 'r_smooth': -0.0010576746612787247, 'r_evade': -2.0369668766856197, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.2873063087463379, 'collision': -8.0}",most_error
57,-6.155777385910402,0.057974498718976974,0.06453417241573334,2.9290124075487256e-05,0.0006299495580606163,0.10856148600578308,1.0,1.0,"{'r_form': -0.03969898587092757, 'r_form_var': -1.2301852111704647e-05, 'r_height': -0.0002519798232242465, 'r_smooth': -0.0012056585401296616, 'r_evade': -2.074315541982651, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.21979825496673586, 'collision': -8.0}",nearest
58,-20.191695177063252,0.04570123925805092,0.04950157552957535,7.1158306127472315e-06,0.0003607153776101768,0.10692018270492554,1.0,1.0,"{'r_form': -0.029921387596987186, 'r_form_var': -2.9886488573538367e-06, 'r_height': -0.00014428615104407073, 'r_smooth': -0.0009336958825588227, 'r_evade': -2.0788639614242133, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.24439542293548586, 'collision': -8.0}",round_robin
59,-26.074728185778007,0.05002656579017639,0.056923676282167435,1.833224087022245e-05,0.00040180684300139546,0.10946469008922577,1.0,1.0,"{'r_form': -0.03452429831493646, 'r_form_var': -7.699541165493428e-06, 'r_height': -0.0001607227372005582, 'r_smooth': -0.0009260956197977066, 'r_evade': -2.0670512910932306, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.27495779991149905, 'collision': -8.0}",most_error
