step,reward,mean_form_error_m,mean_z_error_m,min_dyn_distance_m,collision_flag,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,roll_rad,pitch_rad,yaw_rad,wx_rps,wy_rps,wz_rps,x_des_m,y_des_m,z_des_m,ic_pos_jitter_d0_x_m,ic_pos_jitter_d0_y_m,ic_pos_jitter_d0_z_m,ic_yaw_jitter_d0_rad,ic_vel_jitter_d0_x_mps,ic_vel_jitter_d0_y_mps,ic_vel_jitter_d0_z_mps,ic_pos_jitter_d1_x_m,ic_pos_jitter_d1_y_m,ic_pos_jitter_d1_z_m,ic_yaw_jitter_d1_rad,ic_vel_jitter_d1_x_mps,ic_vel_jitter_d1_y_mps,ic_vel_jitter_d1_z_mps,ic_pos_jitter_d2_x_m,ic_pos_jitter_d2_y_m,ic_pos_jitter_d2_z_m,ic_yaw_jitter_d2_rad,ic_vel_jitter_d2_x_mps,ic_vel_jitter_d2_y_mps,ic_vel_jitter_d2_z_mps,ic_pos_jitter_d3_x_m,ic_pos_jitter_d3_y_m,ic_pos_jitter_d3_z_m,ic_yaw_jitter_d3_rad,ic_vel_jitter_d3_x_mps,ic_vel_jitter_d3_y_mps,ic_vel_jitter_d3_z_mps,ic_pos_jitter_d4_x_m,ic_pos_jitter_d4_y_m,ic_pos_jitter_d4_z_m,ic_yaw_jitter_d4_rad,ic_vel_jitter_d4_x_mps,ic_vel_jitter_d4_y_mps,ic_vel_jitter_d4_z_mps,ic_obstacle_jitter_x_m,ic_obstacle_jitter_y_m,ic_obstacle_jitter_z_m,ic_dynamic_jitter_x_m,ic_dynamic_jitter_y_m,ic_dynamic_jitter_z_m,ic_disable_dynamic_flag,ic_chase_mode
,,,,,,,,,,,,,,,,,,,,,-0.04307681253131246,-0.06879965830068357,0.188646768790512,-0.2284210443118588,-0.08679406388828476,-0.19639565733867748,0.1371341293646819,0.24086175716067243,0.12567248285557842,0.1166564384184588,-0.23832885581925822,0.18207243975696208,0.014200011536684987,-0.05209950537089739,0.24394788808676443,-0.26559253552282946,0.1243447261699232,0.17247923817791988,-0.08782811564193538,-0.023571839186277727,-0.17576373607643228,-0.1440572717696165,-0.10545050727455921,-0.057552110296967024,-0.11647677697469433,-0.04816911545246372,0.1458082286173436,-0.1916174515537608,-0.2710164704230799,-0.22257145492172456,0.11895225590203412,-0.2960861651358928,-0.04022913652872834,0.0075064791277891785,0.15676968470251434,-0.31214554290042873,-0.28102066513748547,0.02202450989616428,-0.2973955381695295,0.020749979494344095,-0.03644165853433545,0.0,nearest
0.0,-0.002462747751340841,0.0006123736384324729,0.00044089555740356445,1.064195990562439,0.0,0.0,0.0,0.9995595,0.0,0.0,-9.836752e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,-0.0024656089413706466,0.0009577381424605846,0.0004413127899169922,1.0641593933105469,0.0,0.0,0.0,0.9995591,0.0,0.0,-9.727129e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000375,0.0002,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,-0.0024674531428448077,0.0013492947909981012,0.0004417300224304199,1.0641047954559326,0.0,0.0,0.0,0.9995587,0.0,0.0,-9.62409e-05,-0.00012803078,0.00023984909,0.0,-0.030714178,0.057589088,0.0,0.00075,0.00039999993,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,-0.002470028615051752,0.0017564818263053894,0.00044208765029907227,1.0640323162078857,0.0,4.086828e-08,2.1796415e-08,0.99955827,9.808387e-06,5.2311398e-06,-9.519657e-05,0.00020241737,2.1457672e-05,0.0,0.07927969,-0.052410748,-1.2316217e-05,0.001125,0.0005999998,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,-0.0024726453332235,0.002170428168028593,0.0004425048828125,1.0639420747756958,0.0,8.5402874e-08,9.123617e-09,0.9995579,1.0688302e-05,-3.0414715e-06,-9.415333e-05,7.43866e-05,0.00026154518,1.1920929e-06,-0.03072544,0.05758821,0.00028527447,0.0015,0.00079999946,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,-0.002475286164673799,0.0025879875756800175,0.00044286251068115234,1.063834309577942,0.0,1.7447049e-07,-1.620672e-08,0.9995575,2.1376229e-05,-6.079281e-06,-9.3295144e-05,0.00040459633,4.3153763e-05,-2.4080276e-05,0.07926684,-0.05241106,-0.0060845534,0.001875,0.000999999,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,-0.0024779425360301507,0.0030075800605118275,0.0004432201385498047,1.0637091398239136,0.0,2.7086736e-07,-1.1044471e-07,0.99955714,2.3135248e-05,-2.2617118e-05,-9.2210736e-05,0.00027656555,0.00028300285,7.224083e-05,-0.030735558,0.05757703,0.023127267,0.00225,0.0011999982,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,-0.002480610898869054,0.0034285406582057476,0.0004436373710632324,1.0635666847229004,0.0,4.15457e-07,-2.5176143e-07,0.9995568,3.470152e-05,-3.3916014e-05,-9.1361355e-05,0.0006067753,6.4611435e-05,4.673004e-05,0.07925311,-0.052409466,-0.0061006187,0.002625,0.0013999972,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,-0.0024832880068412127,0.003850384848192334,0.00044399499893188477,1.0634074211120605,0.0,5.710352e-07,-4.9638993e-07,0.99955636,3.7338756e-05,-5.871084e-05,-9.046139e-05,0.0004787445,0.00030446053,0.00014328957,-0.030756464,0.057564907,0.023135802,0.003,0.0015999958,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
