step,reward,mean_form_error_m,mean_z_error_m,min_dyn_distance_m,collision_flag,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,roll_rad,pitch_rad,yaw_rad,wx_rps,wy_rps,wz_rps,x_des_m,y_des_m,z_des_m,ic_pos_jitter_d0_x_m,ic_pos_jitter_d0_y_m,ic_pos_jitter_d0_z_m,ic_yaw_jitter_d0_rad,ic_vel_jitter_d0_x_mps,ic_vel_jitter_d0_y_mps,ic_vel_jitter_d0_z_mps,ic_pos_jitter_d1_x_m,ic_pos_jitter_d1_y_m,ic_pos_jitter_d1_z_m,ic_yaw_jitter_d1_rad,ic_vel_jitter_d1_x_mps,ic_vel_jitter_d1_y_mps,ic_vel_jitter_d1_z_mps,ic_pos_jitter_d2_x_m,ic_pos_jitter_d2_y_m,ic_pos_jitter_d2_z_m,ic_yaw_jitter_d2_rad,ic_vel_jitter_d2_x_mps,ic_vel_jitter_d2_y_mps,ic_vel_jitter_d2_z_mps,ic_pos_jitter_d3_x_m,ic_pos_jitter_d3_y_m,ic_pos_jitter_d3_z_m,ic_yaw_jitter_d3_rad,ic_vel_jitter_d3_x_mps,ic_vel_jitter_d3_y_mps,ic_vel_jitter_d3_z_mps,ic_pos_jitter_d4_x_m,ic_pos_jitter_d4_y_m,ic_pos_jitter_d4_z_m,ic_yaw_jitter_d4_rad,ic_vel_jitter_d4_x_mps,ic_vel_jitter_d4_y_mps,ic_vel_jitter_d4_z_mps,ic_obstacle_jitter_x_m,ic_obstacle_jitter_y_m,ic_obstacle_jitter_z_m,ic_dynamic_jitter_x_m,ic_dynamic_jitter_y_m,ic_dynamic_jitter_z_m,ic_disable_dynamic_flag,ic_chase_mode
,,,,,,,,,,,,,,,,,,,,,-0.1489036083549724,0.11449362202000601,0.27204875139126133,-0.21715739189775346,0.08697327879781219,-0.17973663701108744,0.0026067661266352127,0.1474343155236671,0.24772526461176886,0.25376855233577783,-0.11769834562242071,0.1525211003463146,0.09004568384421663,0.10080769191444638,0.14318977582682546,0.08292213999560544,-0.2782459336384196,-0.10115214697287217,0.1308165194948473,0.02757394123783624,0.12472571654232484,0.049751304630509696,0.09419357053230915,0.15334220348486927,-0.1695337729559296,0.08169431917421943,-0.16403793471268102,-0.1659109324294298,-0.07439203382845566,-0.007744899738425459,0.05487997772725994,0.33715325055517276,0.12830649704236602,0.05015730143801661,0.010732539096294957,0.3527043305465998,0.1443100953714046,-0.06956891742266802,0.17432260516341647,0.13192022696039118,0.1499526334468797,0.0,most_error
0.0,-0.0021563339451424646,0.00042506851605139673,8.404254913330078e-06,1.1611543893814087,0.0,0.0,0.0,0.9999916,0.0,0.0,-1.947054e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,-0.0021596391323744344,0.0008500446565449238,8.404254913330078e-06,1.161120891571045,0.0,0.0,0.0,0.9999916,0.0,0.0,-1.7630875e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.000375,0.0002,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,-0.0021616691894422065,0.0012749673333019018,8.404254913330078e-06,1.161070704460144,0.0,0.0,0.0,0.9999916,0.0,0.0,-1.8062783e-06,-0.00012803078,0.00023984909,0.0,-0.030714178,0.057589088,0.0,0.00075,0.00039999993,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,-0.0021643425532949104,0.0016999579966068268,8.404254913330078e-06,1.1610037088394165,0.0,4.0867263e-08,2.1795874e-08,0.9999916,9.808144e-06,5.2310097e-06,-1.7976497e-06,0.00020241737,2.1457672e-05,0.0,0.07927969,-0.052410748,-1.2316217e-05,0.001125,0.0005999998,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,-0.002167019689375093,0.002124856924638152,8.404254913330078e-06,1.1609200239181519,0.0,8.540075e-08,9.123398e-09,0.9999916,1.0688036e-05,-3.041394e-06,-1.7990104e-06,7.43866e-05,0.00026154518,1.1920929e-06,-0.03072544,0.05758821,0.00028527447,0.0015,0.00079999946,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,-0.0021697009422093293,0.0025498277973383665,8.404254913330078e-06,1.1608197689056396,0.0,1.7446635e-07,-1.6206355e-08,0.9999916,2.1375743e-05,-6.0791413e-06,-1.7993553e-06,0.00040459633,4.3153763e-05,-2.4080276e-05,0.07926684,-0.05241106,-0.0060845534,0.001875,0.000999999,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,-0.0021723863154886206,0.0029747546650469303,8.404254913330078e-06,1.1607028245925903,0.0,2.70861e-07,-1.1044197e-07,0.9999916,2.3134717e-05,-2.2616547e-05,-1.8011475e-06,0.00027656555,0.00028300285,7.224083e-05,-0.030735558,0.05757703,0.023127267,0.00225,0.0011999982,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,-0.002175076512960369,0.0033997283317148685,8.463859558105469e-06,1.160569429397583,0.0,4.154475e-07,-2.5175535e-07,0.9999916,3.4700755e-05,-3.3915214e-05,-1.8005434e-06,0.0006067753,6.4611435e-05,4.673004e-05,0.07925311,-0.052409466,-0.0061006187,0.002625,0.0013999972,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,-0.002177770367064932,0.0038247094489634037,8.463859558105469e-06,1.1604195833206177,0.0,5.710222e-07,-4.963783e-07,0.99999154,3.7337937e-05,-5.8709502e-05,-1.8050944e-06,0.0004787445,0.00030446053,0.00014328957,-0.030756464,0.057564907,0.023135802,0.003,0.0015999958,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
