step,reward,mean_form_error_m,mean_z_error_m,min_dyn_distance_m,collision_flag,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,roll_rad,pitch_rad,yaw_rad,wx_rps,wy_rps,wz_rps,x_des_m,y_des_m,z_des_m,ic_pos_jitter_d0_x_m,ic_pos_jitter_d0_y_m,ic_pos_jitter_d0_z_m,ic_yaw_jitter_d0_rad,ic_vel_jitter_d0_x_mps,ic_vel_jitter_d0_y_mps,ic_vel_jitter_d0_z_mps,ic_pos_jitter_d1_x_m,ic_pos_jitter_d1_y_m,ic_pos_jitter_d1_z_m,ic_yaw_jitter_d1_rad,ic_vel_jitter_d1_x_mps,ic_vel_jitter_d1_y_mps,ic_vel_jitter_d1_z_mps,ic_pos_jitter_d2_x_m,ic_pos_jitter_d2_y_m,ic_pos_jitter_d2_z_m,ic_yaw_jitter_d2_rad,ic_vel_jitter_d2_x_mps,ic_vel_jitter_d2_y_mps,ic_vel_jitter_d2_z_mps,ic_pos_jitter_d3_x_m,ic_pos_jitter_d3_y_m,ic_pos_jitter_d3_z_m,ic_yaw_jitter_d3_rad,ic_vel_jitter_d3_x_mps,ic_vel_jitter_d3_y_mps,ic_vel_jitter_d3_z_mps,ic_pos_jitter_d4_x_m,ic_pos_jitter_d4_y_m,ic_pos_jitter_d4_z_m,ic_yaw_jitter_d4_rad,ic_vel_jitter_d4_x_mps,ic_vel_jitter_d4_y_mps,ic_vel_jitter_d4_z_mps,ic_obstacle_jitter_x_m,ic_obstacle_jitter_y_m,ic_obstacle_jitter_z_m,ic_dynamic_jitter_x_m,ic_dynamic_jitter_y_m,ic_dynamic_jitter_z_m,ic_disable_dynamic_flag,ic_chase_mode
,,,,,,,,,,,,,,,,,,,,,0.2639505532707577,-0.27498483450143746,-0.08957417153680672,0.3491801836336378,-0.1361687279043346,-0.0586034291951508,-0.09351243179695722,0.17030236446829855,-0.013729947319931601,-0.08904027417551155,0.10176787767954942,-0.08716595656440118,-0.118496060182677,0.0383335308883041,-0.13271765346218864,0.2276456266499684,0.0035091592004140026,-0.009494512207598671,-0.005805030623505736,-0.054882925816782946,0.12996430150154697,-0.21226043724757354,-0.06925600370333557,-0.07774577230778099,-0.3078463906778864,0.13833846716251208,-0.1805132517286776,0.08529746416589046,0.25262475466896345,-0.07323553783480438,0.18292249544276612,-0.26269864398749376,-0.04660748466735476,0.12133980828910435,-0.10695787072620222,0.3431570153968232,-0.21804730964228894,-0.17577024334126723,0.13341070398013088,0.18748598666353788,0.0051924135079088884,0.0,round_robin
0.0,-0.0021295899466774594,0.0005208526854403317,0.00030112266540527344,1.1670172214508057,0.0,0.0,0.0,1.0003008,0.0,0.0,6.71728e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,-0.002132649693295252,0.000901844643522054,0.000301361083984375,1.1669846773147583,0.0,0.0,0.0,1.0003011,0.0,0.0,6.655539e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000375,0.0002,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,-0.0021345864610971734,0.0013101272052153945,0.00030159950256347656,1.166935682296753,0.0,0.0,0.0,1.0003014,0.0,0.0,6.559655e-05,-0.00012803078,0.00023984909,0.0,-0.030714178,0.057589088,0.0,0.00075,0.00039999993,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,-0.002137213201979604,0.001726547023281455,0.0003019571304321289,1.1668708324432373,0.0,4.086676e-08,2.1795604e-08,1.0003016,9.808022e-06,5.2309447e-06,6.50843e-05,0.00020241737,2.1457672e-05,0.0,0.07927969,-0.052410748,-1.2316217e-05,0.001125,0.0005999998,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,-0.002139861122015191,0.002146222162991762,0.00030219554901123047,1.1667900085449219,0.0,8.5399684e-08,9.123363e-09,1.000302,1.06879015e-05,-3.0413375e-06,6.4469365e-05,7.43866e-05,0.00026154518,1.1920929e-06,-0.03072544,0.05758821,0.00028527447,0.0015,0.00079999946,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,-0.0021425230405194276,0.002567687537521124,0.00030243396759033203,1.1666933298110962,0.0,1.744637e-07,-1.6205863e-08,1.0003022,2.1375361e-05,-6.0790144e-06,6.350928e-05,0.00040459633,4.3153763e-05,-2.4080276e-05,0.07926684,-0.05241106,-0.0060845534,0.001875,0.000999999,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,-0.0021451945037517365,0.0029901014640927315,0.0003026723861694336,1.1665809154510498,0.0,2.7085667e-07,-1.10440105e-07,1.0003024,2.3134315e-05,-2.261622e-05,6.299695e-05,0.00027656555,0.00028300285,7.224083e-05,-0.030735558,0.05757703,0.023127267,0.00225,0.0011999982,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,-0.002147874137272448,0.003413185477256775,0.00030291080474853516,1.1664528846740723,0.0,4.1544075e-07,-2.5175143e-07,1.0003027,3.470018e-05,-3.391472e-05,6.238156e-05,0.0006067753,6.4611435e-05,4.673004e-05,0.07925311,-0.052409466,-0.0061006187,0.002625,0.0013999972,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,-0.0021505599566518873,0.003836695570498705,0.0003031492233276367,1.1663093566894531,0.0,5.7101295e-07,-4.9637083e-07,1.0003029,3.7337322e-05,-5.8708658e-05,6.178577e-05,0.0004787445,0.00030446053,0.00014328957,-0.030756464,0.057564907,0.023135802,0.003,0.0015999958,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
