episode,total_reward,mean_form_error,mean_z_error,min_dyn_distance,collision
0,-9.413680316654988,0.3546401310948039,4.792213439941406e-05,1.2364816665649414,1.0
1,269.70419504845466,0.1640708205384755,0.00044499634532257915,1.0693285465240479,0.0
2,313.81200351960797,0.15719108159558587,0.000611293304245919,1.0263924598693848,0.0
3,327.8840219713392,0.15789321392853542,0.0004684925079345703,1.103402853012085,0.0
4,264.3479632953221,0.16103383034217789,0.0005059718969278038,1.0340313911437988,0.0
5,248.09613137777697,0.16300655638281752,0.00010511875007068738,1.1030243635177612,0.0
6,269.82477933294956,0.15682829692082248,0.0004899144405499101,1.017646074295044,0.0
7,276.71079770961427,0.16468751182204272,0.0006464004400186241,1.045297384262085,0.0
8,260.5344643245365,0.16363500373040663,6.30378708592616e-05,1.032195806503296,0.0
9,244.65839512010635,0.16444359238445722,5.507469177246094e-05,1.0105788707733154,0.0
10,255.76723723004113,0.16042207983601503,5.4574011301156133e-05,1.1646294593811035,0.0
11,333.970438612788,0.15902963896921474,0.0002514600637368858,1.4877283573150635,0.0
12,267.77826823279,0.15661993357459322,0.00028104783268645406,1.0622665882110596,0.0
13,264.546830828395,0.1566052000938924,0.0004283309099264443,1.1461496353149414,0.0
14,244.3160463944849,0.1607843763526931,8.285045623779297e-05,1.0516510009765625,0.0
15,289.0612733537745,0.1578053319536799,0.0006723523256368935,1.1025882959365845,0.0
16,323.83050550325953,0.1615366014202586,0.0006890296936035156,1.0414371490478516,0.0
17,267.62458200746323,0.15792436559281775,0.0005776643520221114,1.15317964553833,0.0
18,334.9580759929534,0.15748479466166893,9.274483090848662e-06,1.1426417827606201,0.0
19,267.8456515319728,0.16436330658391224,0.00021991730318404734,1.1289690732955933,0.0
