step,reward,mean_form_error_m,mean_z_error_m,min_dyn_distance_m,collision_flag,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,roll_rad,pitch_rad,yaw_rad,wx_rps,wy_rps,wz_rps,x_des_m,y_des_m,z_des_m,ic_pos_jitter_d0_x_m,ic_pos_jitter_d0_y_m,ic_pos_jitter_d0_z_m,ic_yaw_jitter_d0_rad,ic_vel_jitter_d0_x_mps,ic_vel_jitter_d0_y_mps,ic_vel_jitter_d0_z_mps,ic_pos_jitter_d1_x_m,ic_pos_jitter_d1_y_m,ic_pos_jitter_d1_z_m,ic_yaw_jitter_d1_rad,ic_vel_jitter_d1_x_mps,ic_vel_jitter_d1_y_mps,ic_vel_jitter_d1_z_mps,ic_pos_jitter_d2_x_m,ic_pos_jitter_d2_y_m,ic_pos_jitter_d2_z_m,ic_yaw_jitter_d2_rad,ic_vel_jitter_d2_x_mps,ic_vel_jitter_d2_y_mps,ic_vel_jitter_d2_z_mps,ic_pos_jitter_d3_x_m,ic_pos_jitter_d3_y_m,ic_pos_jitter_d3_z_m,ic_yaw_jitter_d3_rad,ic_vel_jitter_d3_x_mps,ic_vel_jitter_d3_y_mps,ic_vel_jitter_d3_z_mps,ic_pos_jitter_d4_x_m,ic_pos_jitter_d4_y_m,ic_pos_jitter_d4_z_m,ic_yaw_jitter_d4_rad,ic_vel_jitter_d4_x_mps,ic_vel_jitter_d4_y_mps,ic_vel_jitter_d4_z_mps,ic_obstacle_jitter_x_m,ic_obstacle_jitter_y_m,ic_obstacle_jitter_z_m,ic_dynamic_jitter_x_m,ic_dynamic_jitter_y_m,ic_dynamic_jitter_z_m,ic_disable_dynamic_flag,ic_chase_mode
,,,,,,,,,,,,,,,,,,,,,-0.26782132315484697,0.04502928857070465,0.2038911358767323,0.2639308701498463,0.13054305470126137,0.03587655747038804,0.02501158055466779,-0.07888959870539222,-0.2965574153141708,-0.1931404246824272,0.16089145947728833,-0.0546799584012779,-0.07592866059112997,0.018482712296278014,0.26899757175166245,-0.2512695078390331,-0.15609760892250532,-0.3010651961952432,-0.06290207870191913,-0.13734154835683313,-0.04945439920896716,-0.12246644999633713,-0.20925753017950274,-0.09258607287973322,0.1858269407234967,-0.027901390559733702,0.015106235916298172,-0.12065665387738855,-0.12333705314616458,-0.1486366966941929,-0.25448608454732075,-0.014833813365515092,0.1411536405806582,0.03124629797098674,-0.09561680825340951,0.28299033562956255,0.2969159280841145,-0.26096790294565714,0.23481357349334775,0.2880411854747259,-0.16331757699644245,0.0,random
0.0,-0.003211385607521168,0.0004325582704041153,8.058547973632812e-05,0.7635607123374939,0.0,0.0,0.0,0.9999195,0.0,0.0,-1.7869397e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,-0.003215378318008364,0.0008538202382624149,8.064508438110352e-05,0.7635371088981628,0.0,0.0,0.0,0.9999194,0.0,0.0,-1.776305e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000375,0.0002,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,-0.003218610011232468,0.0012774951756000519,8.07642936706543e-05,0.7634968161582947,0.0,0.0,0.0,0.99991935,0.0,0.0,-1.7604052e-05,-0.00012803078,0.00023984909,0.0,-0.030714178,0.057589088,0.0,0.00075,0.00039999993,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,-0.003222984163964295,0.0017018575454130769,8.082389831542969e-05,0.7634400129318237,0.0,4.08674e-08,2.1795945e-08,0.99991924,9.8081755e-06,5.2310265e-06,-1.7458928e-05,0.00020241737,2.1457672e-05,0.0,0.07927969,-0.052410748,-1.2316217e-05,0.001125,0.0005999998,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,-0.00322786564351559,0.0021263794042170048,8.088350296020508e-05,0.7633664608001709,0.0,8.540105e-08,9.1232595e-09,0.9999192,1.0688075e-05,-3.0414442e-06,-1.7124405e-05,7.43866e-05,0.00026154518,1.1920929e-06,-0.03072544,0.05758821,0.00028527447,0.0015,0.00079999946,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,-0.003233252806811563,0.0025510983541607857,8.094310760498047e-05,0.763276219367981,0.0,1.7446692e-07,-1.6206736e-08,0.9999191,2.1375809e-05,-6.079199e-06,-1.7019644e-05,0.00040459633,4.3153763e-05,-2.4080276e-05,0.07926684,-0.05241106,-0.0060845534,0.001875,0.000999999,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,-0.0032391487774428252,0.002975845243781805,8.100271224975586e-05,0.7631691694259644,0.0,2.7086188e-07,-1.1044285e-07,0.99991906,2.313479e-05,-2.2616667e-05,-1.6862145e-05,0.00027656555,0.00028300285,7.224083e-05,-0.030735558,0.05757703,0.023127267,0.00225,0.0011999982,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,-0.0032455538894038015,0.003400683868676424,8.106231689453125e-05,0.7630453109741211,0.0,4.1544882e-07,-2.5175692e-07,0.999919,3.4700868e-05,-3.3915374e-05,-1.6714976e-05,0.0006067753,6.4611435e-05,4.673004e-05,0.07925311,-0.052409466,-0.0061006187,0.002625,0.0013999972,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,-0.003252467838136547,0.003825561609119177,8.118152618408203e-05,0.7629046440124512,0.0,5.710241e-07,-4.963809e-07,0.99991894,3.7338057e-05,-5.8709753e-05,-1.656997e-05,0.0004787445,0.00030446053,0.00014328957,-0.030756464,0.057564907,0.023135802,0.003,0.0015999958,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
