step,reward,mean_form_error,mean_z_error,min_dyn_distance,collision
0,-0.05278899544442702,0.34550264814403076,0.0019446611404418945,0.7633636593818665,0.0
1,-0.06086851358682096,0.345690968435657,0.001952528953552246,0.7633681297302246,0.0
2,-0.06611681456004874,0.34592396989708785,0.0019603967666625977,0.7633712291717529,0.0
3,-0.0716838329054529,0.3461765777464255,0.0019682645797729492,0.7633728384971619,0.0
4,-0.07695471744166324,0.34644031853251844,0.0019761323928833008,0.7633731365203857,0.0
5,-0.08041383154797578,0.3467117845079155,0.0019840002059936523,0.763372004032135,0.0
6,-0.08491693588735999,0.34698938084335296,0.001991868019104004,0.7633695006370544,0.0
7,-0.08574436600959481,0.34727227040041797,0.0019997358322143555,0.763365626335144,0.0
8,-0.08921484502991059,0.3475599748535575,0.002007603645324707,0.7633603811264038,0.0
9,-0.0912772010128849,0.3478522014455977,0.0020154714584350586,0.763353705406189,0.0
10,-0.09281528501466887,0.34814875851968463,0.0020232200622558594,0.7633455991744995,0.0
11,-0.0926894197698935,0.34844952695203446,0.002031087875366211,0.7633361220359802,0.0
12,-0.08877089684707029,0.34875441482968894,0.0020389556884765625,0.7633253335952759,0.0
13,-0.09435140347174423,0.349063359397194,0.002046823501586914,0.7633130550384521,0.0
14,-0.08794120608962995,0.3493763140149838,0.0020546913146972656,0.7632995247840881,0.0
15,-0.09073311605264853,0.3496932434327721,0.002062559127807617,0.7632846236228943,0.0
16,-0.08926444822940942,0.350014119119482,0.002070307731628418,0.7632681727409363,0.0
17,-0.08989887553062587,0.35033892493621394,0.0020781755447387695,0.763250470161438,0.0
18,-0.09058600032449529,0.350667641302519,0.002086043357849121,0.7632313370704651,0.0
19,-0.0888829216758918,0.35100025544429314,0.0020939111709594727,0.7632109522819519,0.0
20,-0.08760796076414405,0.3513367533261043,0.0021016597747802734,0.7631890177726746,0.0
21,-0.0901568965325902,0.3516771308944778,0.002109527587890625,0.7631658911705017,0.0
22,-0.08683552634269101,0.3520213776328437,0.0021173954010009766,0.7631412744522095,0.0
23,-0.08950157469023926,0.3523694864159372,0.002125263214111328,0.7631153464317322,0.0
24,-0.08727830924365765,0.3527214501595437,0.002133011817932129,0.7630879282951355,0.0
25,-0.08674146922675822,0.3530772662863408,0.0021408796310424805,0.7630592584609985,0.0
26,-0.08633542328854904,0.3534369296288083,0.002148747444152832,0.7630292177200317,0.0
27,-0.0879372775550009,0.35380043198882866,0.002156496047973633,0.7629976868629456,0.0
28,-0.08336869963580469,0.3541677736412858,0.0021643638610839844,0.7629649043083191,0.0
29,-0.08694226329125233,0.3545389481226215,0.002172112464904785,0.762930691242218,0.0
30,-0.08453558715157652,0.35491395287538563,0.0021799802780151367,0.7628952264785767,0.0
31,-0.08659405259519529,0.3552927836890956,0.0021878480911254883,0.7628583908081055,0.0
32,-0.08621861185767887,0.3556754359522744,0.002195596694946289,0.7628201246261597,0.0
33,-0.08777492217481969,0.35606190746543487,0.0022034645080566406,0.7627805471420288,0.0
34,-0.08556072802784366,0.3564521924603414,0.0022112131118774414,0.7627395391464233,0.0
35,-0.08491282875618385,0.3568462909453742,0.002219080924987793,0.7626972794532776,0.0
36,-0.08671216124094357,0.35724419462858786,0.0022268295288085938,0.7626534700393677,0.0
37,-0.08515120464023795,0.3576459035363544,0.0022346973419189453,0.7626085877418518,0.0
38,-0.08784702195072237,0.3580514110143783,0.002242445945739746,0.762562096118927,0.0
39,-0.08631374004988222,0.3584607166711799,0.0022503137588500977,0.7625144720077515,0.0
40,-0.08561101562799121,0.3588738120411009,0.0022580623626708984,0.7624652981758118,0.0
41,-0.0860834063165025,0.3592906966874221,0.00226593017578125,0.7624149322509766,0.0
42,-0.08673763904862704,0.35971136452845087,0.0022736787796020508,0.7623630166053772,0.0
43,-0.08721693624514795,0.360135812327406,0.0022815465927124023,0.7623100280761719,0.0
44,-0.08681367153342794,0.36056403360501493,0.002289295196533203,0.7622554898262024,0.0
45,-0.08614629139774432,0.36099602626963995,0.002297043800354004,0.7621996402740479,0.0
46,-0.08793440838366165,0.36143178494843536,0.0023049116134643555,0.762142539024353,0.0
47,-0.0872740263928011,0.3618713036355205,0.0023126602172851562,0.7620840072631836,0.0
48,-0.08906999249995654,0.36231457937067113,0.002320408821105957,0.7620241045951843,0.0
49,-0.08841551598732748,0.3627616060627419,0.0023282766342163086,0.7619629502296448,0.0
50,-0.08816921211642827,0.3632123771795354,0.0023360252380371094,0.7619003653526306,0.0
51,-0.08955889035208647,0.36366688900055566,0.00234377384185791,0.7618364691734314,0.0
52,-0.08763439727108116,0.3641251376367064,0.0023516416549682617,0.7617713212966919,0.0
53,-0.0893964118716905,0.3645871163876801,0.0023593902587890625,0.7617048025131226,0.0
54,-0.08880109603786766,0.3650528166771335,0.0023671388626098633,0.7616369128227234,0.0
