step,reward,mean_form_error_m,mean_z_error_m,min_dyn_distance_m,collision_flag,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,roll_rad,pitch_rad,yaw_rad,wx_rps,wy_rps,wz_rps,x_des_m,y_des_m,z_des_m,ic_pos_jitter_d0_x_m,ic_pos_jitter_d0_y_m,ic_pos_jitter_d0_z_m,ic_yaw_jitter_d0_rad,ic_vel_jitter_d0_x_mps,ic_vel_jitter_d0_y_mps,ic_vel_jitter_d0_z_mps,ic_pos_jitter_d1_x_m,ic_pos_jitter_d1_y_m,ic_pos_jitter_d1_z_m,ic_yaw_jitter_d1_rad,ic_vel_jitter_d1_x_mps,ic_vel_jitter_d1_y_mps,ic_vel_jitter_d1_z_mps,ic_pos_jitter_d2_x_m,ic_pos_jitter_d2_y_m,ic_pos_jitter_d2_z_m,ic_yaw_jitter_d2_rad,ic_vel_jitter_d2_x_mps,ic_vel_jitter_d2_y_mps,ic_vel_jitter_d2_z_mps,ic_pos_jitter_d3_x_m,ic_pos_jitter_d3_y_m,ic_pos_jitter_d3_z_m,ic_yaw_jitter_d3_rad,ic_vel_jitter_d3_x_mps,ic_vel_jitter_d3_y_mps,ic_vel_jitter_d3_z_mps,ic_pos_jitter_d4_x_m,ic_pos_jitter_d4_y_m,ic_pos_jitter_d4_z_m,ic_yaw_jitter_d4_rad,ic_vel_jitter_d4_x_mps,ic_vel_jitter_d4_y_mps,ic_vel_jitter_d4_z_mps,ic_obstacle_jitter_x_m,ic_obstacle_jitter_y_m,ic_obstacle_jitter_z_m,ic_dynamic_jitter_x_m,ic_dynamic_jitter_y_m,ic_dynamic_jitter_z_m,episode,max_steps,timestamp_unix
,,,,,,,,,,,,,,,,,,,,,-0.17860969894336948,0.1419693032543879,-0.2664664707194407,0.3363334059226005,-0.0021865225930112475,-0.030962480581701396,0.016153309483609657,0.06306748094651049,-0.06761981631943759,0.015076525143242925,-0.026811373156987173,0.11232269017989288,0.10587150321496008,0.1931779720079972,0.11578760919283171,-0.02968787720199989,-0.0073799221835064155,0.045965988143737646,0.16898807707302227,-0.10961294984701242,0.1980461221143514,-0.16747105874123022,0.0118772431828702,0.22472214609067015,0.3584493066337746,-0.18783529784936343,-0.008822976585195486,0.06559273164474522,0.14040696430253752,-0.285027194867245,0.07086576656049498,0.3543440599144717,-0.158373571648577,-0.02175573564756772,-0.050264698201264224,-0.31794661585080697,0.300205279238967,0.20972153726902976,0.2624642227767088,0.04937289973207354,0.23416967627486385,76.0,1000.0,1764625024.187165
0.0,-0.0026122337337111706,0.0004281736328266561,5.21540641784668e-05,1.3989366292953491,0.0,0.0,0.0,0.9999479,0.0,0.0,-1.1647057e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,-0.0026148513956162963,0.0008516052621416748,5.221366882324219e-05,1.3989064693450928,0.0,0.0,0.0,0.99994785,0.0,0.0,-1.150821e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000375,0.0002,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,-0.002616196265029795,0.0012760083191096783,5.221366882324219e-05,1.3988614082336426,0.0,0.0,0.0,0.9999478,0.0,0.0,-1.1356844e-05,-0.00012803078,0.00023984909,0.0,-0.030714178,0.057589088,0.0,0.00075,0.00039999993,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,-0.002618185297599803,0.0017007406568154693,5.227327346801758e-05,1.398801565170288,0.0,4.0867402e-08,2.1795946e-08,0.9999478,9.808176e-06,5.231027e-06,-1.1209928e-05,0.00020241737,2.1457672e-05,0.0,0.07927969,-0.052410748,-1.2316217e-05,0.001125,0.0005999998,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,-0.0026201776155674,0.0021254848688840866,5.233287811279297e-05,1.3987267017364502,0.0,8.540102e-08,9.123573e-09,0.9999477,1.0688068e-05,-3.0413696e-06,-1.1243755e-05,7.43866e-05,0.00026154518,1.1920929e-06,-0.03072544,0.05758821,0.00028527447,0.0015,0.00079999946,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,-0.002622172701897853,0.0025503523647785187,5.239248275756836e-05,1.3986366987228394,0.0,1.7446696e-07,-1.6206139e-08,0.99994767,2.1375825e-05,-6.079131e-06,-1.10525125e-05,0.00040459633,4.3153763e-05,-2.4080276e-05,0.07926684,-0.05241106,-0.0060845534,0.001875,0.000999999,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,-0.0026241710410777165,0.0029752051923424006,5.245208740234375e-05,1.3985321521759033,0.0,2.70862e-07,-1.1044194e-07,0.9999476,2.3134806e-05,-2.2616592e-05,-1.091532e-05,0.00027656555,0.00028300285,7.224083e-05,-0.030735558,0.05757703,0.023127267,0.00225,0.0011999982,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,-0.00262617264926721,0.0034001220483332872,5.245208740234375e-05,1.3984124660491943,0.0,4.15449e-07,-2.517557e-07,0.99994755,3.4700883e-05,-3.39153e-05,-1.0763381e-05,0.0006067753,6.4611435e-05,4.673004e-05,0.07925311,-0.052409466,-0.0061006187,0.002625,0.0013999972,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,-0.002628177138784577,0.0038250605575740337,5.251169204711914e-05,1.398277997970581,0.0,5.710243e-07,-4.9637936e-07,0.99994755,3.7338075e-05,-5.870968e-05,-1.0619497e-05,0.0004787445,0.00030446053,0.00014328957,-0.030756464,0.057564907,0.023135802,0.003,0.0015999958,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
