step,reward,mean_form_error_m,mean_z_error_m,min_dyn_distance_m,collision_flag,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,roll_rad,pitch_rad,yaw_rad,wx_rps,wy_rps,wz_rps,x_des_m,y_des_m,z_des_m,roll_cmd_unit,pitch_cmd_unit,yaw_rate_cmd_unit,thrust_cmd_unitless,thrust_actual_N
0,-0.0026848508390947537,0.00042577198473736644,2.586841583251953e-05,inf,0.0,0.0,0.0,1.0000259,0.0,0.0,5.7387147e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.0,-0.0,0.0,0.2654331544572595
1,-0.0026874730498947204,0.0008503966964781284,2.586841583251953e-05,inf,0.0,0.0,0.0,1.0000259,0.0,0.0,5.7184484e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.000375,0.0002,1.0,-0.0004,0.00075,-0.0,0.0,0.2654331544572595
2,-0.0026888202501143504,0.0012752044713124633,2.5987625122070312e-05,inf,0.0,0.0,0.0,1.0000259,0.0,0.0,5.723207e-06,-0.00012803078,0.00023984909,0.0,-0.030714178,0.057589088,0.0,0.00075,0.00039999993,1.0,-0.00079999986,0.0015,-0.0,0.0,0.2654331544572595
3,-0.002690809582787688,0.0017001358792185783,2.5987625122070312e-05,inf,0.0,4.0867256e-08,2.1795868e-08,1.000026,9.808141e-06,5.2310083e-06,5.720578e-06,0.00020241737,2.1457672e-05,0.0,0.07927969,-0.052410748,-1.2316217e-05,0.001125,0.0005999998,1.0,-0.001194725,0.00224011,1.1761120849542168e-06,0.0,0.2654331544572595
4,-0.002692801578085028,0.0021249994169920683,2.5987625122070312e-05,inf,0.0,8.54007e-08,9.123695e-09,1.000026,1.0688026e-05,-3.0413216e-06,5.35393e-06,7.43866e-05,0.00026154518,1.1920929e-06,-0.03072544,0.05758821,0.00028527447,0.0015,0.00079999946,1.0,-0.001603022,0.002989141,-2.7810887925499436e-05,0.0,0.2654331544572595
5,-0.0026947968044129544,0.0025499463081359863,2.5987625122070312e-05,inf,0.0,1.7446635e-07,-1.6205785e-08,1.000026,2.1375756e-05,-6.0790753e-06,5.4393463e-06,0.00040459633,4.3153763e-05,-2.4080276e-05,0.07926684,-0.05241106,-0.0060845534,0.001875,0.000999999,1.0,-0.0020061093,0.0037282752,0.0005925295270849625,0.0,0.2654331544572595
6,-0.00269679541810674,0.0029748566448688507,2.5987625122070312e-05,inf,0.0,2.7086105e-07,-1.1044109e-07,1.000026,2.313473e-05,-2.2616472e-05,5.4174193e-06,0.00027656555,0.00028300285,7.224083e-05,-0.030735558,0.05757703,0.023127267,0.00225,0.0011999982,1.0,-0.0024228338,0.0044763237,-0.0022429838752957153,0.0,0.2654331544572595
7,-0.0026987974708486953,0.0033998177386820316,2.6106834411621094e-05,inf,0.0,4.1544757e-07,-2.517542e-07,1.000026,3.4700766e-05,-3.3915145e-05,5.4227507e-06,0.0006067753,6.4611435e-05,4.673004e-05,0.07925311,-0.052409466,-0.0061006187,0.002625,0.0013999972,1.0,-0.002834413,0.0052144686,0.0005602542152140078,0.0,0.2654331544572595
8,-0.002700801865495123,0.0038247890770435333,2.6106834411621094e-05,inf,0.0,5.710224e-07,-4.963768e-07,1.0000261,3.7337948e-05,-5.8709433e-05,5.4170896e-06,0.0004787445,0.00030446053,0.00014328957,-0.030756464,0.057564907,0.023135802,0.003,0.0015999958,1.0,-0.0032596937,0.0059615197,-0.002277722012864464,0.0,0.2654331544572595
9,-0.002702809798925046,0.0042498051188886166,2.6106834411621094e-05,inf,0.0,7.784417e-07,-8.224578e-07,1.0000261,4.9780632e-05,-7.825944e-05,5.0515214e-06,0.0008087158,8.606911e-05,0.00011777878,0.079239376,-0.052407872,-0.006116672,0.003375,0.0017999939,1.0,-0.0036798923,0.006698663,0.000527863955172451,0.0,0.2654331544572595
