step,reward,mean_form_error_m,mean_z_error_m,min_dyn_distance_m,collision_flag,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,roll_rad,pitch_rad,yaw_rad,wx_rps,wy_rps,wz_rps,x_des_m,y_des_m,z_des_m,roll_cmd_unit,pitch_cmd_unit,yaw_rate_cmd_unit,thrust_cmd_unitless,thrust_actual_N
0,-0.0022850066974069126,0.00044822547351941466,0.0001424551010131836,inf,0.0,0.0,0.0,1.0001423,0.0,0.0,3.1779804e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.0,-0.0,0.0,0.26796906108945795
1,-0.0022875854671733638,0.0008618774591013789,0.00014257431030273438,inf,0.0,0.0,0.0,1.0001425,0.0,0.0,3.148072e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000375,0.0002,1.0,-0.0004,0.00075,-0.0,0.0,0.26796906108945795
2,-0.002288917012815615,0.0012829001061618328,0.00014269351959228516,inf,0.0,0.0,0.0,1.0001426,0.0,0.0,3.1183004e-05,-0.00012803078,0.00023984909,0.0,-0.030714178,0.057589088,0.0,0.00075,0.00039999993,1.0,-0.00079999986,0.0015,-0.0,0.0,0.26796906108945795
3,-0.0022908991878771994,0.0017059255624189973,0.00014281272888183594,inf,0.0,4.0866965e-08,2.1795712e-08,1.0001427,9.808071e-06,5.230971e-06,3.088346e-05,0.00020241737,2.1457672e-05,0.0,0.07927969,-0.052410748,-1.2316217e-05,0.001125,0.0005999998,1.0,-0.001194725,0.0022401102,1.1761120849542168e-06,0.0,0.26796906108945795
4,-0.0022928872690634763,0.002129650441929698,0.0001430511474609375,inf,0.0,8.540012e-08,9.123321e-09,1.0001428,1.0687958e-05,-3.0413742e-06,3.058652e-05,7.43866e-05,0.00026154518,1.1920929e-06,-0.03072544,0.05758821,0.00028527447,0.0015,0.00079999946,1.0,-0.001603022,0.0029891413,-2.7810887925499436e-05,0.0,0.26796906108945795
5,-0.0022948793026901517,0.00255383038893342,0.00014317035675048828,inf,0.0,1.7446507e-07,-1.6206261e-08,1.000143,2.1375588e-05,-6.0790994e-06,3.0287643e-05,0.00040459633,4.3153763e-05,-2.4080276e-05,0.07926684,-0.05241106,-0.0060845534,0.001875,0.000999999,1.0,-0.0020061096,0.0037282754,0.0005925295270849625,0.0,0.26796906108945795
6,-0.0022968756462242714,0.0029781919438391924,0.00014328956604003906,inf,0.0,2.7085898e-07,-1.1044059e-07,1.0001432,2.3134535e-05,-2.2616237e-05,2.9620078e-05,0.00027656555,0.00028300285,7.224083e-05,-0.030735558,0.05757703,0.023127267,0.00225,0.0011999982,1.0,-0.0024228336,0.0044763237,-0.0022429838752957153,0.0,0.26796906108945795
7,-0.002298876060122166,0.003402740927413106,0.00014340877532958984,inf,0.0,4.1544445e-07,-2.5175245e-07,1.0001433,3.470051e-05,-3.391485e-05,2.9409059e-05,0.0006067753,6.4611435e-05,4.673004e-05,0.07925311,-0.052409466,-0.0061006187,0.002625,0.0013999972,1.0,-0.0028344127,0.0052144686,0.0005602542152140078,0.0,0.26796906108945795
8,-0.0023008795117997584,0.0038273923564702272,0.00014352798461914062,inf,0.0,5.7101806e-07,-4.963731e-07,1.0001434,3.7337675e-05,-5.870895e-05,2.9086263e-05,0.0004787445,0.00030446053,0.00014328957,-0.030756464,0.057564907,0.023135802,0.003,0.0015999958,1.0,-0.0032596933,0.00596152,-0.002277722012864464,0.0,0.26796906108945795
9,-0.0023028870253259813,0.00425215158611536,0.0001436471939086914,inf,0.0,7.7843634e-07,-8.2245225e-07,1.0001435,4.978038e-05,-7.8259e-05,2.8795152e-05,0.0008087158,8.606911e-05,0.00011777878,0.079239376,-0.052407872,-0.006116672,0.003375,0.0017999939,1.0,-0.0036798918,0.006698663,0.000527863955172451,0.0,0.26796906108945795
10,-0.0023048976725436664,0.004676965065300465,0.0001437664031982422,inf,0.0,1.0004953e-06,-1.2862045e-06,1.0001436,5.329417e-05,-0.000111300535,2.8488623e-05,0.00068068504,0.0003259182,0.00021409988,-0.030777361,0.05755279,0.023144327,0.00375,0.0019999917,1.0,-0.0041138562,0.007444705,-0.002312345646936385,0.0,0.26796906108945795
11,-0.0023069117221686613,0.005101865157485008,0.00014388561248779297,inf,0.0,1.2780456e-06,-1.8657572e-06,1.0001438,6.6612054e-05,-0.00013909265,2.8194541e-05,0.0010106564,0.00010752678,0.0001885891,0.07922566,-0.052406278,-0.006132712,0.004125,0.0021999888,1.0,-0.0045428015,0.008180832,0.0004955861975957386,0.0,0.26796906108945795
