step,reward,mean_form_error_m,mean_z_error_m,min_dyn_distance_m,collision_flag,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,roll_rad,pitch_rad,yaw_rad,wx_rps,wy_rps,wz_rps,x_des_m,y_des_m,z_des_m,ic_pos_jitter_d0_x_m,ic_pos_jitter_d0_y_m,ic_pos_jitter_d0_z_m,ic_yaw_jitter_d0_rad,ic_vel_jitter_d0_x_mps,ic_vel_jitter_d0_y_mps,ic_vel_jitter_d0_z_mps,ic_pos_jitter_d1_x_m,ic_pos_jitter_d1_y_m,ic_pos_jitter_d1_z_m,ic_yaw_jitter_d1_rad,ic_vel_jitter_d1_x_mps,ic_vel_jitter_d1_y_mps,ic_vel_jitter_d1_z_mps,ic_pos_jitter_d2_x_m,ic_pos_jitter_d2_y_m,ic_pos_jitter_d2_z_m,ic_yaw_jitter_d2_rad,ic_vel_jitter_d2_x_mps,ic_vel_jitter_d2_y_mps,ic_vel_jitter_d2_z_mps,ic_pos_jitter_d3_x_m,ic_pos_jitter_d3_y_m,ic_pos_jitter_d3_z_m,ic_yaw_jitter_d3_rad,ic_vel_jitter_d3_x_mps,ic_vel_jitter_d3_y_mps,ic_vel_jitter_d3_z_mps,ic_pos_jitter_d4_x_m,ic_pos_jitter_d4_y_m,ic_pos_jitter_d4_z_m,ic_yaw_jitter_d4_rad,ic_vel_jitter_d4_x_mps,ic_vel_jitter_d4_y_mps,ic_vel_jitter_d4_z_mps,ic_obstacle_jitter_x_m,ic_obstacle_jitter_y_m,ic_obstacle_jitter_z_m,ic_dynamic_jitter_x_m,ic_dynamic_jitter_y_m,ic_dynamic_jitter_z_m,episode,max_steps,timestamp_unix
,,,,,,,,,,,,,,,,,,,,,0.1766169630464653,0.20108509353087584,0.2158691137696292,-0.16936487693463206,-0.19447754314950583,0.11158658875576627,-0.041730936086057074,-0.018763176993722652,-0.2720062939555029,0.15029517912740797,0.0843242698722963,0.091980673158374,0.03239462755692721,0.11719403309148219,-0.11506705502941131,-0.043931644842974626,0.18789581139639944,-0.18071932051919726,-0.03996903867120935,-0.1922752259129765,0.13538195669342806,-0.052906597902551616,-0.28279570878947724,-0.07315375854666578,-0.005108192966679748,-0.1957525472757835,0.03170527518232444,-0.19762909312234256,0.2532067960952526,-0.1311936733673467,0.28096306234727225,-0.19140284206469219,-0.03524902234853458,0.05337709738422414,-0.07269138456992735,0.12716485816645506,-0.08563535133298678,-0.2732532533153269,-0.32870261185406513,-0.3995862190391227,0.007128707497088993,79.0,1000.0,1764625039.2532368
0.0,-0.0021571573154985806,0.0004456795286387205,0.0001342296600341797,1.0716919898986816,0.0,0.0,0.0,1.0001341,0.0,0.0,2.9911198e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,-0.002160406385758882,0.0008605549810454249,0.00013434886932373047,1.0716488361358643,0.0,0.0,0.0,1.0001342,0.0,0.0,2.9613166e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000375,0.0002,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,-0.0021624167625925693,0.001282011391595006,0.00013446807861328125,1.0715839862823486,0.0,0.0,0.0,1.0001343,0.0,0.0,2.9315208e-05,-0.00012803078,0.00023984909,0.0,-0.030714178,0.057589088,0.0,0.00075,0.00039999993,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,-0.0021650808031054574,0.0017052566399797797,0.00013458728790283203,1.0714974403381348,0.0,4.0866965e-08,2.1795712e-08,1.0001345,9.808071e-06,5.230971e-06,2.9015717e-05,0.00020241737,2.1457672e-05,0.0,0.07927969,-0.052410748,-1.2316217e-05,0.001125,0.0005999998,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,-0.002167751962392186,0.002129106316715479,0.0001347064971923828,1.071389079093933,0.0,8.540012e-08,9.123321e-09,1.0001346,1.0687957e-05,-3.0413742e-06,2.8718769e-05,7.43866e-05,0.00026154518,1.1920929e-06,-0.03072544,0.05758821,0.00028527447,0.0015,0.00079999946,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,-0.0021704294358879913,0.002553375903517008,0.0001348257064819336,1.0712586641311646,0.0,1.7446507e-07,-1.6206261e-08,1.0001347,2.1375588e-05,-6.0790994e-06,2.8419889e-05,0.00040459633,4.3153763e-05,-2.4080276e-05,0.07926684,-0.05241106,-0.0060845534,0.001875,0.000999999,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,-0.0021731121732475006,0.002977801952511072,0.00013494491577148438,1.0711065530776978,0.0,2.7085903e-07,-1.10441206e-07,1.0001348,2.313455e-05,-2.2616387e-05,2.8120256e-05,0.00027656555,0.00028300285,7.224083e-05,-0.030735558,0.05757703,0.023127267,0.00225,0.0011999982,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,-0.0021758002881232647,0.0034023993648588657,0.00013506412506103516,1.070932388305664,0.0,4.1544448e-07,-2.517536e-07,1.000135,3.4700504e-05,-3.3914974e-05,2.7822856e-05,0.0006067753,6.4611435e-05,4.673004e-05,0.07925311,-0.052409466,-0.0061006187,0.002625,0.0013999972,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,-0.0021784926110523886,0.0038270887453109026,0.00013518333435058594,1.0707364082336426,0.0,5.7101806e-07,-4.963748e-07,1.0001351,3.7337668e-05,-5.8709087e-05,2.752034e-05,0.0004787445,0.00030446053,0.00014328957,-0.030756464,0.057564907,0.023135802,0.003,0.0015999958,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,-0.0021811899757052744,0.004251877777278423,0.00013530254364013672,1.0705182552337646,0.0,7.784363e-07,-8.224545e-07,1.0001352,4.978037e-05,-7.825914e-05,2.7224465e-05,0.0008087158,8.606911e-05,0.00011777878,0.079239376,-0.052407872,-0.006116672,0.003375,0.0017999939,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,-0.002183891621957628,0.004676715470850468,0.0001354217529296875,1.0702780485153198,0.0,1.0004953e-06,-1.2862073e-06,1.0001353,5.3294163e-05,-0.00011130067,2.6919057e-05,0.00068068504,0.0003259182,0.00021409988,-0.030777361,0.05755279,0.023144327,0.00375,0.0019999917,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,-0.0021865980786504226,0.00510163651779294,0.00013554096221923828,1.070015788078308,0.0,1.2780455e-06,-1.8657606e-06,1.0001354,6.661205e-05,-0.00013909278,2.6624712e-05,0.0010106564,0.00010752678,0.0001885891,0.07922566,-0.052406278,-0.006132712,0.004125,0.0021999888,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,-0.002189308396149501,0.005526615772396326,0.00013566017150878906,1.0697312355041504,0.0,1.5738825e-06,-2.617312e-06,1.0001355,7.100089e-05,-0.00018037234,2.6316415e-05,0.00088238716,0.00034737587,0.00028514862,-0.030798247,0.057540674,0.02315284,0.0045,0.0023999857,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,-0.0021920242108037225,0.005951675120741129,0.00013577938079833984,1.0694246292114258,0.0,1.9288507e-06,-3.5189669e-06,1.0001357,8.519238e-05,-0.00021639714,2.60236e-05,0.0012123585,0.00012874603,0.00025963783,0.07921194,-0.052404687,-0.0061487397,0.004875,0.0025999816,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,-0.0021947428814022723,0.006376797799021006,0.00013577938079833984,1.0690958499908447,0.0,2.3057453e-06,-4.6269056e-06,1.0001358,9.0454705e-05,-0.00026590534,2.5712412e-05,0.0010840893,0.00036859512,0.00035619736,-0.030819124,0.05752856,0.023161342,0.00525,0.002799977,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,-0.0021974677063113643,0.006802016403526068,0.00013589859008789062,1.0687448978424072,0.0,2.7454046e-06,-5.9192116e-06,1.0001358,0.00010551823,-0.00031015344,2.5421128e-05,0.0014138222,0.0001502037,0.00033044815,0.079198234,-0.052403096,-0.0061647547,0.005625,0.0029999719,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
