step,reward,mean_form_error_m,mean_z_error_m,min_dyn_distance_m,collision_flag,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,roll_rad,pitch_rad,yaw_rad,wx_rps,wy_rps,wz_rps,x_des_m,y_des_m,z_des_m,roll_cmd_unit,pitch_cmd_unit,yaw_rate_cmd_unit,thrust_cmd_unitless,thrust_actual_N
0,-0.0021909750456874893,0.0006032126257196069,0.00042808055877685547,inf,0.0,0.0,0.0,1.0004277,0.0,0.0,9.555007e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.0,-0.0,0.0,0.2741808440623235
1,-0.0021932945334550372,0.000951874244492501,0.0004284381866455078,inf,0.0,0.0,0.0,1.0004281,0.0,0.0,9.429327e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000375,0.0002,1.0,-0.0004,0.00075,-0.0,0.0,0.2741808440623235
2,-0.002194516111128895,0.001345154014416039,0.00042891502380371094,inf,0.0,0.0,0.0,1.0004284,0.0,0.0,9.348454e-05,-0.00012803078,0.00023984909,0.0,-0.030714178,0.057589088,0.0,0.00075,0.00039999993,1.0,-0.00079999986,0.0015,-0.0,0.0,0.2741808440623235
3,-0.0021964396290422433,0.0017533000791445374,0.0004292726516723633,inf,0.0,4.086636e-08,2.179539e-08,1.0004289,9.807926e-06,5.2308937e-06,9.2569106e-05,0.00020241737,2.1457672e-05,0.0,0.07927969,-0.052410748,-1.2316217e-05,0.001125,0.0005999998,1.0,-0.0011947252,0.0022401102,1.1761120849542168e-06,0.0,0.2741808440623235
4,-0.0021983910668453067,0.0021678400225937366,0.0004296302795410156,inf,0.0,8.539883e-08,9.123475e-09,1.0004293,1.0687792e-05,-3.0412598e-06,9.131298e-05,7.43866e-05,0.00026154518,1.1920929e-06,-0.03072544,0.05758821,0.00028527447,0.0015,0.00079999946,1.0,-0.0016030219,0.0029891413,-2.7810887925499436e-05,0.0,0.2741808440623235
5,-0.0022003590537020504,0.002585815265774727,0.00042998790740966797,inf,0.0,1.7446256e-07,-1.6205476e-08,1.0004296,2.1375294e-05,-6.078948e-06,9.050343e-05,0.00040459633,4.3153763e-05,-2.4080276e-05,0.07926684,-0.05241106,-0.0060845534,0.001875,0.000999999,1.0,-0.0020061093,0.0037282757,0.0005925295270849625,0.0,0.2741808440623235
6,-0.002202337544947568,0.0030057099647819996,0.0004303455352783203,inf,0.0,2.7085517e-07,-1.10438776e-07,1.00043,2.313423e-05,-2.2615992e-05,8.9587826e-05,0.00027656555,0.00028300285,7.224083e-05,-0.030735558,0.05757703,0.023127267,0.00225,0.0011999982,1.0,-0.0024228333,0.004476324,-0.0022429838752957153,0.0,0.2741808440623235
7,-0.0022043246696572174,0.0034268912859261036,0.00043070316314697266,inf,0.0,4.154386e-07,-2.5174884e-07,1.0004303,3.4700017e-05,-3.391442e-05,8.869919e-05,0.0006067753,6.4611435e-05,4.673004e-05,0.07925311,-0.052409466,-0.0061006187,0.002625,0.0013999972,1.0,-0.0028344123,0.005214469,0.0005602542152140078,0.0,0.2741808440623235
8,-0.0022063179025578394,0.0038489147555083036,0.000431060791015625,inf,0.0,5.7101e-07,-4.963662e-07,1.0004307,3.7337144e-05,-5.8708178e-05,8.779961e-05,0.0004787445,0.00030446053,0.00014328957,-0.030756464,0.057564907,0.023135802,0.003,0.0015999958,1.0,-0.0032596926,0.005961521,-0.002277722012864464,0.0,0.2741808440623235
9,-0.002208316843679859,0.0042715673334896564,0.00043141841888427734,inf,0.0,7.784253e-07,-8.22441e-07,1.0004311,4.9779672e-05,-7.8257945e-05,8.690806e-05,0.0008087158,8.606911e-05,0.00011777878,0.079239376,-0.052407872,-0.006116672,0.003375,0.0017999939,1.0,-0.0036798907,0.006698664,0.000527863955172451,0.0,0.2741808440623235
