time_s,leader_pos_x_m,leader_pos_y_m,leader_pos_z_m,leader_vel_x_mps,leader_vel_y_mps,leader_vel_z_mps,leader_roll_rad,leader_pitch_rad,leader_yaw_rad,leader_wx_radps,leader_wy_radps,leader_wz_radps,leader_des_x_m,leader_des_y_m,leader_des_z_m,leader_pos_err_x_m,leader_pos_err_y_m,leader_pos_err_z_m,leader_pos_err_norm_m,leader_roll_cmd_unitless,leader_pitch_cmd_unitless,leader_yaw_rate_cmd_unitless,thrust_cmd,Fz_pd_N,thrust_total_N,followers_mean_pos_err_m,followers_std_pos_err_m,reward,dist_leader_drone1_m,dist_target_leader_drone1_m,too_close_leader_drone1_flag,dist_leader_drone2_m,dist_target_leader_drone2_m,too_close_leader_drone2_flag,dist_leader_drone3_m,dist_target_leader_drone3_m,too_close_leader_drone3_flag,dist_leader_drone4_m,dist_target_leader_drone4_m,too_close_leader_drone4_flag,thrust_cmd_drone0_unitless,thrust_cmd_drone1_unitless,thrust_cmd_drone2_unitless,thrust_cmd_drone3_unitless,thrust_cmd_drone4_unitless
0.0,0.0,0.0,1.0,0.0,0.0,-1.4265976178151618e-09,0.0,-0.0,0.0,0.0,0.0,0.0,0.0012499999720603228,0.0006666663684882224,1.0,-0.0012499999720603228,-0.0006666663684882224,0.0,0.0014166665496304631,-0.0,0.0,-0.0,-1.6264608548866022e-09,-3.4464184839322343e-09,0.2648699879646301,0.4312722086906433,0.09490150213241577,-0.05159623135945165,0.30000001192092896,0.7071067811865476,0,0.6000000238418579,0.7071067811865476,0,0.8999999761581421,1.044030650891055,0,1.2000000476837158,1.044030650891055,0,-1.6264608548866022e-09,-1.6264608548866022e-09,-1.6264608548866022e-09,-1.6264608548866022e-09,-1.6264608548866022e-09
0.004166666666666667,0.0,0.0,1.0,0.0,0.0,-3.283610494619893e-09,-0.00042658564052544534,0.00045827936264686286,-9.77477014885153e-08,-0.10238054394721985,0.1099870502948761,0.0,0.0024999999441206455,0.0013333308743312955,1.0,-0.0024999999441206455,-0.0013333308743312955,0.0,0.0028333321679383516,-0.0013333327369764447,0.0024999999441206455,-0.0,5.386008972152467e-09,1.1412780942521294e-08,0.2648699879646301,0.4312487244606018,0.09503941982984543,-0.05974825248683659,0.3000001013278961,0.7071067811865476,0,0.5999999642372131,0.7071067811865476,0,0.9000000357627869,1.044030650891055,0,1.1999999284744263,1.044030650891055,0,5.386008972152467e-09,5.386008972152467e-09,5.386008972152467e-09,5.386008972152467e-09,5.386008972152467e-09
0.008333333333333333,7.805071078337278e-08,7.265285972835045e-08,1.0,1.8732169337454252e-05,1.7436686903238297e-05,-8.552516916893182e-09,-0.0003947896184399724,0.0004581695538945496,-9.41395512654708e-08,0.00763104110956192,-2.6357467504567467e-05,-2.630773906275863e-06,0.0037499999161809683,0.001999991713091731,1.0,-0.0037499219179153442,-0.001999919069930911,0.0,0.004249893128871918,-0.002666661748662591,0.004999999888241291,4.667109010370041e-08,1.2397017634668828e-08,2.6268883956959144e-08,0.2648700177669525,0.43122968077659607,0.09517666697502136,-0.06502839701047533,0.30000030994415283,0.7071067811865476,0,0.5999995470046997,0.7071067811865476,0,0.9000003337860107,1.044030650891055,0,1.1999995708465576,1.044030650891055,0,1.2397017634668828e-08,4.480738624579317e-08,4.480738624579317e-08,4.480738624579317e-08,4.480738624579317e-08
0.0125,2.3411716654209158e-07,2.1252819237815856e-07,1.0,3.745594949577935e-05,3.3570082450751215e-05,-8.68539018483716e-09,-0.0008212797110900283,0.000916339224204421,-1.2279322447739105e-07,-0.10235758125782013,0.10996072739362717,6.346884038066491e-05,0.004999999888241291,0.002666646847501397,1.0,-0.004999765660613775,-0.002666434273123741,0.0,0.005666350480169058,-0.003982401452958584,0.00748111167922616,2.961687357583287e-07,3.2289367624116494e-08,6.842013533514546e-08,0.2648700475692749,0.4312147796154022,0.09531328082084656,-0.07061157837818885,0.300000935792923,0.7071067811865476,0,0.5999985933303833,0.7071067811865476,0,0.9000009298324585,1.044030650891055,0,1.1999986171722412,1.044030650891055,0,3.2289367624116494e-08,2.9136577950339415e-07,2.9136577950339415e-07,2.9136577950339415e-07,2.9136577950339415e-07
0.016666666666666666,5.462151193569298e-07,4.922486027680861e-07,1.0,7.490350253647193e-05,6.713288894388825e-05,-3.2288653528667055e-08,-0.000789393438026309,0.0009161150082945824,-5.729222266381839e-06,0.007652707397937775,-5.383019015425816e-05,-0.0013525545364245772,0.0062500000931322575,0.00333329476416111,1.0,-0.0062494538724422455,-0.0033328025601804256,0.0,0.007082601543515921,-0.00529929855838418,0.009962075389921665,-6.002198460919317e-06,3.279101790099048e-08,6.948312147869729e-08,0.2648700475692749,0.4312036633491516,0.09544926881790161,-0.07589127516581722,0.30000221729278564,0.7071067811865476,0,0.5999969244003296,0.7071067811865476,0,0.9000020027160645,1.044030650891055,0,1.1999967098236084,1.044030650891055,0,3.279101790099048e-08,1.0826922789419768e-06,1.0826922789419768e-06,1.0826922789419768e-06,1.0826922789419768e-06
0.020833333333333332,1.0142747441932443e-06,9.063534776032611e-07,1.0,0.00011233430268475786,9.93851717794314e-05,-2.2635118668290488e-08,-0.0012156558223068714,0.001374290557578206,0.0001097110944101587,-0.10230863839387894,0.10995680838823318,0.027822833508253098,0.007499999832361937,0.003999933134764433,1.0,-0.00749898562207818,-0.003999026957899332,0.0,0.00849864725023508,-0.0065984721295535564,0.012424004264175892,0.0001318949507549405,1.2190331233341567e-07,2.5830922822933644e-07,0.2648702561855316,0.4311958849430084,0.09558460861444473,-0.07935503059748118,0.3000044524669647,0.7071067811865476,0,0.5999941825866699,0.7071067811865476,0,0.9000037908554077,1.044030650891055,0,1.1999934911727905,1.044030650891055,0,1.2190331233341567e-07,2.9223094770713942e-06,2.3390978185489075e-06,2.3390978185489075e-06,2.9223094770713942e-06
0.024999999999999998,1.7162727772301878e-06,1.5274392808350967e-06,1.0,0.00016847954248078167,0.00014906057913322002,-6.569569421799315e-08,-0.0011837235651910305,0.0013739102287217975,0.00010407828085590154,0.007663770578801632,-9.04617554624565e-05,-0.0013624064158648252,0.008750000037252903,0.004666560795158148,1.0,-0.008748283609747887,-0.004665033426135778,0.0,0.009914383292198181,-0.007898668758571148,0.01488563697785139,-0.0027092681266367435,8.545713825469647e-08,1.810809493463239e-07,0.26487016677856445,0.4311908483505249,0.09571930021047592,-0.0838598383718526,0.30000796914100647,0.7071067811865476,0,0.59999018907547,0.7071067811865476,0,0.9000063538551331,1.044030650891055,0,1.1999887228012085,1.044030650891055,0,8.545713825469647e-08,6.430270332202781e-06,4.926869223709218e-06,4.926869223709218e-06,6.430270332202781e-06
0.029166666666666664,2.652097919053631e-06,2.350023123653955e-06,1.0,0.00022459804313257337,0.00019742015865631402,-4.7371539579899036e-08,-0.0016098847845569253,0.0018319773953408003,0.00021931157971266657,-0.10229635238647461,0.10991957038640976,0.027819937095046043,0.009999999776482582,0.005333175417035818,1.0,-0.009997347369790077,-0.005330825224518776,0.0,0.011329812929034233,-0.009181005880236626,0.017328087240457535,8.040651300689206e-05,2.48029010663231e-07,5.255655537439452e-07,0.2648705542087555,0.4311879575252533,0.09585331380367279,-0.08468652769658622,0.30001312494277954,0.7071067811865476,0,0.5999849438667297,0.7071067811865476,0,0.9000099897384644,1.044030650891055,0,1.199981689453125,1.044030650891055,0,2.48029010663231e-07,1.1084582183684688e-05,8.418001925747376e-06,8.418001925747376e-06,1.1084582183684688e-05
0.03333333333333333,3.8996763578325044e-06,3.446687969699269e-06,1.0,0.00029941886896267533,0.00026319955941289663,-1.0639090675113039e-07,-0.001577906426973641,0.0018314409535378218,0.00021365249995142221,0.007674835156649351,-0.00012707666610367596,-0.001372234313748777,0.011250000447034836,0.0059997751377522945,1.0,-0.01124610099941492,-0.005996328312903643,0.0,0.01274483185261488,-0.010464230552315712,0.019770096987485886,-0.0027613218408077955,1.7884758563013747e-07,3.789723166391923e-07,0.26487040519714355,0.431186705827713,0.09598660469055176,-0.08815376477891577,0.30002012848854065,0.7071067811865476,0,0.5999780297279358,0.7071067811865476,0,0.9000146389007568,1.044030650891055,0,1.1999720335006714,1.044030650891055,0,1.7884758563013747e-07,1.919052010634914e-05,1.381245419906918e-05,1.4783962797082495e-05,1.919052010634914e-05
0.0375,5.458855412143748e-06,4.811928647541208e-06,1.0,0.00037420293665491045,0.0003276577917858958,-8.96886334089686e-08,-0.002003971952944994,0.0022893950808793306,0.0003261033562012017,-0.10228519141674042,0.10988137871026993,0.02719889208674431,0.012500000186264515,0.006666358094662428,1.0,-0.012494541704654694,-0.00666154595091939,0.0,0.014159440994262695,-0.011729457415640354,0.022192783653736115,2.902717824326828e-05,4.0167066117646755e-07,8.511272540090431e-07,0.26487088203430176,0.4311862885951996,0.09611903131008148,-0.09021027977553363,0.3000294268131256,0.7071067811865476,0,0.5999695062637329,0.7071067811865476,0,0.9000205993652344,1.044030650891055,0,1.1999598741531372,1.044030650891055,0,4.0167066117646755e-07,2.784487332974095e-05,2.0889201550744474e-05,1.9426224753260612e-05,2.5577866836101748e-05
