episode,steps,total_reward,mean_form_error,max_form_error,form_var,mean_z_error,min_dyn_distance,collision,threat,r_terms
13,581,-5.595914631393894,0.04671914130449295,0.0487968809902668,1.3962131561129354e-05,0.0004066348192282021,0.10951948910951614,1.0,1.0,"{'r_form': -0.029632725853007285, 'r_form_var': -5.864095255674328e-06, 'r_height': -0.00016265392769128085, 'r_smooth': -0.0011706408113241196, 'r_evade': -2.071441532671452, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.23598814010620117, 'collision': -8.0}"
14,258,-3.536514074638727,0.0853850468993187,0.08633074909448624,6.160889824968763e-07,0.000682270503602922,0.10116823762655258,1.0,1.0,"{'r_form': -0.05600100356154143, 'r_form_var': -2.58757372648688e-07, 'r_height': -0.0002729082014411688, 'r_smooth': -0.0011309592425823212, 'r_evade': -2.0964952871203426, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.26552393436431887, 'collision': -8.0}"
15,537,-6.1845526921412555,0.05490966886281967,0.057745326310396194,7.613778052473208e-06,0.00021319389634300023,0.10308271646499634,1.0,1.0,"{'r_form': -0.03551120266318321, 'r_form_var': -3.1977867820387473e-06, 'r_height': -8.52775585372001e-05, 'r_smooth': -0.0011696340888738633, 'r_evade': -2.0907518506050113, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.27253146171569825, 'collision': -8.0}"
16,433,-2.879878650387293,0.06907031685113907,0.07208623737096786,1.0249501428916119e-05,0.0005455732461996377,0.10496944189071655,1.0,1.0,"{'r_form': -0.045388299254700545, 'r_form_var': -4.304790600144769e-06, 'r_height': -0.00021822929847985508, 'r_smooth': -0.0013752169907093048, 'r_evade': -2.0850916743278507, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.2172938346862793, 'collision': -8.0}"
17,463,-3.223062445465277,0.06554989516735077,0.0673476830124855,2.6954962777381297e-06,0.0007300019497051835,0.10228029638528824,1.0,1.0,"{'r_form': -0.04222916040103882, 'r_form_var': -1.1321084366500144e-06, 'r_height': -0.0002920007798820734, 'r_smooth': -0.0012831786274909974, 'r_evade': -2.0931591108441356, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.277724027633667, 'collision': -8.0}"
18,1000,-11.914012258552038,0.051915548741817474,0.054979357868433,9.253927601093892e-06,0.00015242099470924586,0.19138884544372559,0.0,1.0,"{'r_form': -0.03362814265768975, 'r_form_var': -3.8866495924594346e-06, 'r_height': -6.096839788369835e-05, 'r_smooth': -0.001010584980249405, 'r_evade': -1.7788192868232728, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.2749053955078125, 'collision': 0.0}"
19,615,-5.914927058297581,0.04956132918596268,0.05082957446575165,3.6122394249105128e-06,7.560253288829699e-05,0.11349251121282578,1.0,1.0,"{'r_form': -0.031047496292740104, 'r_form_var': -1.5171405584624152e-06, 'r_height': -3.0241013155318798e-05, 'r_smooth': -0.001126260980963707, 'r_evade': -2.059522466361523, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.23140759468078614, 'collision': -8.0}"
20,364,-2.8310134614132663,0.07840465009212494,0.08014924079179764,7.691419341426808e-06,0.0004028320254292339,0.10754483193159103,1.0,1.0,"{'r_form': -0.051346305357292295, 'r_form_var': -3.230396123399259e-06, 'r_height': -0.00016113281017169357, 'r_smooth': -0.0015828272700309754, 'r_evade': -2.0773655042052273, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.21590943336486818, 'collision': -8.0}"
21,474,-2.9988993271030275,0.05910692736506462,0.06610111892223358,3.2613144867355004e-05,0.0001767277717590332,0.10421056300401688,1.0,1.0,"{'r_form': -0.040719181168824434, 'r_form_var': -1.36975208442891e-05, 'r_height': -7.069110870361328e-05, 'r_smooth': -0.0013906191289424896, 'r_evade': -2.0873683109879497, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.2312337875366211, 'collision': -8.0}"
22,404,-2.742053243599805,0.07266249507665634,0.07445158064365387,4.106233518541558e-06,0.0004361271858215332,0.10588479787111282,1.0,1.0,"{'r_form': -0.04724102766253055, 'r_form_var': -1.7246180777874541e-06, 'r_height': -0.0001744508743286133, 'r_smooth': -0.0017698177695274354, 'r_evade': -2.082345606386662, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.21628212928771973, 'collision': -8.0}"
23,542,-6.194666463943432,0.04607335850596428,0.049103058874607086,1.7661852325545624e-05,0.00025457143783569336,0.10844273865222931,1.0,1.0,"{'r_form': -0.029745149838272485, 'r_form_var': -7.417977976729161e-06, 'r_height': -0.00010182857513427735, 'r_smooth': -0.001493600755929947, 'r_evade': -2.0563526131212715, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.2753298282623291, 'collision': -8.0}"
24,421,-2.874897266361574,0.06770653277635574,0.06932788342237473,6.631180440308526e-06,0.0006878376007080078,0.09867201000452042,1.0,1.0,"{'r_form': -0.043643960617482665, 'r_form_var': -2.7850957849295807e-06, 'r_height': -0.0002751350402832031, 'r_smooth': -0.0017733299732208252, 'r_evade': -2.103983969986439, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.24186038970947266, 'collision': -8.0}"
25,1000,-14.531739857933768,0.05466874688863754,0.0707375556230545,0.00019252800848335028,0.0004378795565571636,0.425785630941391,0.0,1.0,"{'r_form': -0.04295329091371968, 'r_form_var': -8.08617635630071e-05, 'r_height': -0.00017515182262286546, 'r_smooth': -0.0009487538039684296, 'r_evade': -1.0755806952714921, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.25418801307678224, 'collision': 0.0}"
26,507,-6.332087440581183,0.051669199019670486,0.0525830052793026,9.23486368265003e-07,0.0004362821637187153,0.10506436973810196,1.0,1.0,"{'r_form': -0.0322506438428536, 'r_form_var': -3.878642746713012e-07, 'r_height': -0.00017451286548748613, 'r_smooth': -0.0016244174540042877, 'r_evade': -2.0848068907856945, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.27443675994873046, 'collision': -8.0}"
27,468,-2.815060310305699,0.06161687523126602,0.06318113952875137,4.915448243991705e-06,6.761551048839465e-05,0.10647043585777283,1.0,1.0,"{'r_form': -0.0393730702996254, 'r_form_var': -2.0644882624765156e-06, 'r_height': -2.704620419535786e-05, 'r_smooth': -0.001304771453142166, 'r_evade': -2.080588692426682, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.23506813049316408, 'collision': -8.0}"
28,1000,-14.048153679356064,0.055051058530807495,0.05717620626091957,3.6239027849660488e-06,0.00020933151245117188,0.24269437789916992,0.0,1.0,"{'r_form': -0.035204630545340475, 'r_form_var': -1.5220391696857402e-06, 'r_height': -8.373260498046876e-05, 'r_smooth': -0.001023140698671341, 'r_evade': -1.6288863882422449, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.25252861976623536, 'collision': 0.0}"
29,1000,-13.805960657110777,0.057162750512361526,0.06248509883880615,7.82848110247869e-06,0.0003633975866250694,0.3344310522079468,0.0,1.0,"{'r_form': -0.03843083393527195, 'r_form_var': -3.2879620630410496e-06, 'r_height': -0.00014535903465002776, 'r_smooth': -0.0009597695618867874, 'r_evade': -1.349736535549164, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.24318814277648926, 'collision': 0.0}"
30,337,-3.1344090593251046,0.08282849937677383,0.08440805971622467,1.8200684053226723e-06,0.0006004214519634843,0.10724326223134995,1.0,1.0,"{'r_form': -0.05447401301003992, 'r_form_var': -7.644287302355224e-07, 'r_height': -0.00024016858078539373, 'r_smooth': -0.0012619736790657043, 'r_evade': -2.0782702133059505, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.22987203598022463, 'collision': -8.0}"
31,1000,-14.057148395238276,0.061469387263059616,0.06440011411905289,7.151214958867058e-06,0.0006823063013143837,0.3201686143875122,0.0,1.0,"{'r_form': -0.04003898272989318, 'r_form_var': -3.003510282724164e-06, 'r_height': -0.0002729225205257535, 'r_smooth': -0.0009379035979509354, 'r_evade': -1.3938761666417123, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.22757792472839355, 'collision': 0.0}"
32,406,-3.021365435090449,0.0721878781914711,0.07298002392053604,1.3325964118848788e-06,0.0001893281878437847,0.10419730097055435,1.0,1.0,"{'r_form': -0.046341856000944974, 'r_form_var': -5.59690492991649e-07, 'r_height': -7.573127513751388e-05, 'r_smooth': -0.0015457087755203248, 'r_evade': -2.0874080970883373, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.2628011226654053, 'collision': -8.0}"
33,1000,-14.44425700088214,0.057565271854400635,0.06273294240236282,2.2502928914036602e-05,0.0006905078771524131,0.3817254304885864,0.0,1.0,"{'r_form': -0.03863352475687861, 'r_form_var': -9.451230143895372e-06, 'r_height': -0.00027620315086096525, 'r_smooth': -0.0010152667760848998, 'r_evade': -1.2171493224799634, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.2638994693756104, 'collision': 0.0}"
