step,reward,mean_form_error_m,mean_z_error_m,min_dyn_distance_m,collision_flag,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,roll_rad,pitch_rad,yaw_rad,wx_rps,wy_rps,wz_rps,x_des_m,y_des_m,z_des_m,roll_cmd_unit,pitch_cmd_unit,yaw_rate_cmd_unit,thrust_cmd_unitless,thrust_actual_N
0,-0.002170804288531258,0.0007408028468489647,0.0006067752838134766,inf,0.0,0.0,0.0,1.0006062,0.0,0.0,0.00013524077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.0,-0.0,0.0,0.27806600833568174
1,-0.002172944873124459,0.0010446341475471854,0.0006072521209716797,inf,0.0,0.0,0.0,1.0006068,0.0,0.0,0.00013374614,0.0,0.0,0.0,0.0,0.0,0.0,0.000375,0.0002,1.0,-0.0004,0.00075,-0.0,0.0,0.27806600833568174
2,-0.0021740649410780417,0.0014124272856861353,0.0006078481674194336,inf,0.0,0.0,0.0,1.0006073,0.0,0.0,0.0001322574,-0.00012803078,0.00023984909,0.0,-0.030714178,0.057589088,0.0,0.00075,0.00039999993,1.0,-0.00079999986,0.0015,-0.0,0.0,0.27806600833568174
3,-0.002175928630452791,0.0018055044347420335,0.0006083250045776367,inf,0.0,4.0866162e-08,2.1795284e-08,1.0006078,9.807879e-06,5.2308683e-06,0.00013113368,0.00020241737,2.1457672e-05,0.0,0.07927969,-0.052410748,-1.2316217e-05,0.001125,0.0005999998,1.0,-0.0011947252,0.0022401102,1.1761120849542168e-06,0.0,0.27806600833568174
4,-0.0021778420003310205,0.0022103693336248398,0.0006089210510253906,inf,0.0,8.53984e-08,9.123523e-09,1.0006083,1.0687738e-05,-3.0412225e-06,0.00012955852,7.43866e-05,0.00026154518,1.1920929e-06,-0.03072544,0.05758821,0.00028527447,0.0015,0.00079999946,1.0,-0.0016030219,0.0029891415,-2.7810887925499436e-05,0.0,0.27806600833568174
5,-0.0021797831997941108,0.0026216250844299793,0.0006093978881835938,inf,0.0,1.7446158e-07,-1.6205183e-08,1.0006089,2.1375163e-05,-6.07889e-06,0.00012845595,0.00040459633,4.3153763e-05,-2.4080276e-05,0.07926684,-0.05241106,-0.0060845534,0.001875,0.000999999,1.0,-0.0020061093,0.0037282757,0.0005925295270849625,0.0,0.27806600833568174
6,-0.002181742936079354,0.0030366405844688416,0.0006099939346313477,inf,0.0,2.7085355e-07,-1.1043713e-07,1.0006094,2.3134071e-05,-2.2615666e-05,0.00012687329,0.00027656555,0.00028300285,7.224083e-05,-0.030735558,0.05757703,0.023127267,0.00225,0.0011999982,1.0,-0.0024228331,0.004476324,-0.0022429838752957153,0.0,0.27806600833568174
7,-0.0021837152817975954,0.0034540921915322542,0.0006104707717895508,inf,0.0,4.1543606e-07,-2.517456e-07,1.00061,3.4699802e-05,-3.391404e-05,0.00012577332,0.0006067753,6.4611435e-05,4.673004e-05,0.07925311,-0.052409466,-0.0061006187,0.002625,0.0013999972,1.0,-0.0028344118,0.0052144695,0.0005602542152140078,0.0,0.27806600833568174
8,-0.0021856969533139824,0.003873188514262438,0.0006109476089477539,inf,0.0,5.710064e-07,-4.963597e-07,1.0006105,3.7336882e-05,-5.870738e-05,0.00012418751,0.0004787445,0.00030446053,0.00014328957,-0.030756464,0.057564907,0.023135802,0.003,0.0015999958,1.0,-0.0032596916,0.0059615215,-0.002277722012864464,0.0,0.27806600833568174
9,-0.0021876865447449747,0.004293483681976795,0.000611424446105957,inf,0.0,7.784204e-07,-8.2243076e-07,1.000611,4.9779348e-05,-7.825706e-05,0.00012308914,0.0008087158,8.606911e-05,0.00011777878,0.079239376,-0.052407872,-0.006116672,0.003375,0.0017999939,1.0,-0.0036798897,0.0066986643,0.000527863955172451,0.0,0.27806600833568174
10,-0.0021896832583635844,0.0047146473079919815,0.0006120204925537109,inf,0.0,1.0004748e-06,-1.2861719e-06,1.0006114,5.329306e-05,-0.000111297864,0.00012186834,0.00068068504,0.0003259182,0.00021409988,-0.030777361,0.05755279,0.023144327,0.00375,0.0019999917,1.0,-0.0041138534,0.007444706,-0.002312345646936385,0.0,0.27806600833568174
