step,reward,mean_form_error_m,mean_z_error_m,min_dyn_distance_m,collision_flag,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,roll_rad,pitch_rad,yaw_rad,wx_rps,wy_rps,wz_rps,x_des_m,y_des_m,z_des_m,roll_cmd_unit,pitch_cmd_unit,yaw_rate_cmd_unit,thrust_cmd_unitless,thrust_actual_N
0,-0.002212332389508953,0.000566051050554961,0.0003738999366760254,inf,0.0,0.0,0.0,0.9996264,0.0,0.0,-8.3307976e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.0,-0.0,0.0,0.25673717800254764
1,-0.0022147082668034328,0.0009287486900575459,0.00037425756454467773,inf,0.0,0.0,0.0,0.9996261,0.0,0.0,-8.2414066e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000375,0.0002,1.0,-0.0004,0.00075,-0.0,0.0,0.25673717800254764
2,-0.0022159568475175555,0.0013288368936628103,0.0003746151924133301,inf,0.0,0.0,0.0,0.99962574,0.0,0.0,-8.170411e-05,-0.00012803078,0.00023984909,0.0,-0.030714178,0.057589088,0.0,0.00075,0.00039999993,1.0,-0.00079999986,0.0015,-0.0,0.0,0.25673717800254764
3,-0.0022178953868418607,0.0017407890409231186,0.00037491321563720703,inf,0.0,4.0868176e-08,2.1796358e-08,0.9996254,9.808362e-06,5.231126e-06,-8.076851e-05,0.00020241737,2.1457672e-05,0.0,0.07927969,-0.052410748,-1.2316217e-05,0.001125,0.0005999998,1.0,-0.0011947249,0.0022401097,1.1761120849542168e-06,0.0,0.25673717800254764
4,-0.0022198566839537765,0.0021577246952801943,0.0003752708435058594,inf,0.0,8.540265e-08,9.123635e-09,0.9996251,1.06882735e-05,-3.0414535e-06,-7.988371e-05,7.43866e-05,0.00026154518,1.1920929e-06,-0.03072544,0.05758821,0.00028527447,0.0015,0.00079999946,1.0,-0.0016030221,0.0029891408,-2.7810887925499436e-05,0.0,0.25673717800254764
5,-0.0022218312061756487,0.002577324863523245,0.00037556886672973633,inf,0.0,1.7446999e-07,-1.6206583e-08,0.9996247,2.1376161e-05,-6.079252e-06,-7.917228e-05,0.00040459633,4.3153763e-05,-2.4080276e-05,0.07926684,-0.05241106,-0.0060845534,0.001875,0.000999999,1.0,-0.0020061096,0.0037282747,0.0005925295270849625,0.0,0.25673717800254764
6,-0.0022238150003490776,0.0029984023422002792,0.00037592649459838867,inf,0.0,2.7086656e-07,-1.10444205e-07,0.99962443,2.3135175e-05,-2.261703e-05,-7.82374e-05,0.00027656555,0.00028300285,7.224083e-05,-0.030735558,0.05757703,0.023127267,0.00225,0.0011999982,1.0,-0.0024228343,0.0044763233,-0.0022429838752957153,0.0,0.25673717800254764
7,-0.0022258057831427325,0.003420470980927348,0.0003762245178222656,inf,0.0,4.1545573e-07,-2.517604e-07,0.9996241,3.4701407e-05,-3.3915887e-05,-7.753687e-05,0.0006067753,6.4611435e-05,4.673004e-05,0.07925311,-0.052409466,-0.0061006187,0.002625,0.0013999972,1.0,-0.002834414,0.0052144676,0.0005602542152140078,0.0,0.25673717800254764
8,-0.0022278016828435284,0.003843188751488924,0.0003765225410461426,inf,0.0,5.710334e-07,-4.9638845e-07,0.9996238,3.7338647e-05,-5.8710735e-05,-7.660196e-05,0.0004787445,0.00030446053,0.00014328957,-0.030756464,0.057564907,0.023135802,0.003,0.0015999958,1.0,-0.0032596951,0.005961519,-0.002277722012864464,0.0,0.25673717800254764
9,-0.0022298034841649497,0.004266404081135988,0.0003768801689147949,inf,0.0,7.78457e-07,-8.2247703e-07,0.9996235,4.9781647e-05,-7.826125e-05,-7.59006e-05,0.0008087158,8.606911e-05,0.00011777878,0.079239376,-0.052407872,-0.006116672,0.003375,0.0017999939,1.0,-0.003679894,0.006698662,0.000527863955172451,0.0,0.25673717800254764
10,-0.0022318094187807227,0.004689945839345455,0.0003771781921386719,inf,0.0,1.0005217e-06,-1.2862421e-06,0.9996231,5.3295527e-05,-0.00011130362,-7.515238e-05,0.00068068504,0.0003259182,0.00021409988,-0.030777361,0.05755279,0.023144327,0.00375,0.0019999917,1.0,-0.0041138595,0.0074447035,-0.002312345646936385,0.0,0.25673717800254764
11,-0.0022338198949157233,0.005113786552101374,0.00037747621536254883,inf,0.0,1.2780791e-06,-1.8658111e-06,0.9996228,6.66138e-05,-0.00013909655,-7.422237e-05,0.0010106564,0.00010752678,0.0001885891,0.07922566,-0.052406278,-0.006132712,0.004125,0.0021999888,1.0,-0.004542806,0.00818083,0.0004955861975957386,0.0,0.25673717800254764
12,-0.0022358337589164883,0.0055378507822752,0.0003777742385864258,inf,0.0,1.573924e-06,-2.6173823e-06,0.9996225,7.100275e-05,-0.0001803771,-7.3530355e-05,0.00088238716,0.00034737587,0.00028514862,-0.030798247,0.057540674,0.02315284,0.0045,0.0023999857,1.0,-0.0049855835,0.008925849,-0.0023470817834731505,0.0,0.25673717800254764
13,-0.002237852476750051,0.005962125025689602,0.00037807226181030273,inf,0.0,1.9289014e-06,-3.5190608e-06,0.9996222,8.51946e-05,-0.0002164028,-7.277027e-05,0.0012123585,0.00012874603,0.00025963783,0.07921194,-0.052404687,-0.0061487397,0.004875,0.0025999816,1.0,-0.005423404,0.009660948,0.0004631934918484242,0.0,0.25673717800254764
14,-0.0022398738408002834,0.006386570632457733,0.0003783702850341797,inf,0.0,2.305806e-06,-4.6270284e-06,0.9996219,9.0457055e-05,-0.00026591224,-7.204089e-05,0.0010840893,0.00036859512,0.00035619736,-0.030819124,0.05752856,0.023161342,0.00525,0.002799977,1.0,-0.0058751204,0.01040493,-0.0023818170306623677,0.0,0.25673717800254764
15,-0.0022418999609082686,0.006811193190515041,0.00037866830825805664,inf,0.0,2.7454764e-06,-5.9193676e-06,0.9996216,0.00010552096,-0.00031016144,-7.128873e-05,0.0014138222,0.0001502037,0.00033044815,0.079198234,-0.052403096,-0.0061647547,0.005625,0.0029999719,1.0,-0.006321944,0.011138989,0.00043091334415017624,0.0,0.25673717800254764
16,-0.00224392908080481,0.007235945202410221,0.0003789663314819336,inf,0.0,3.210707e-06,-7.452244e-06,0.99962133,0.00011165534,-0.00036789034,-7.056002e-05,0.001285553,0.00038981438,0.00042700768,-0.030839989,0.057516444,0.023169836,0.006,0.003199966,1.0,-0.0067827264,0.011881923,-0.00241643755201787,0.0,0.25673717800254764
17,-0.002245962106696243,0.007660861127078533,0.00037926435470581055,inf,0.0,3.742331e-06,-9.203718e-06,0.99962103,0.00012758972,-0.00042035367,-6.980684e-05,0.0016152859,0.00017142296,0.00040125847,0.07918454,-0.052401505,-0.0061807567,0.006375,0.003399959,1.0,-0.0072386796,0.012614925,0.00039863197359904946,0.0,0.25673717800254764
18,-0.002247998841751542,0.008085903711616993,0.0003795623779296875,inf,0.0,4.3031414e-06,-1.1229938e-05,0.99962074,0.00013459446,-0.00048629267,-6.908089e-05,0.0014867783,0.00041103363,0.000497818,-0.030860843,0.05750433,0.023178317,0.00675,0.0035999515,1.0,-0.0077086557,0.013356799,-0.0024510567393520497,0.0,0.25673717800254764
19,-0.0022500386976244046,0.00851109717041254,0.00037980079650878906,inf,0.0,4.933965e-06,-1.350894e-05,0.99962044,0.00015139775,-0.00054696074,-6.8326204e-05,0.0018167496,0.00019264221,0.0004720688,0.079170845,-0.052399915,-0.0061967466,0.007125,0.0037999428,1.0,-0.008173864,0.014088734,0.0003663494913634875,0.0,0.25673717800254764
20,-0.002252082700472967,0.008936421945691109,0.000380098819732666,inf,0.0,5.597595e-06,-1.609686e-05,0.9996202,0.00015927127,-0.0006211005,-6.7603134e-05,0.0016880035,0.00043225288,0.0005686283,-0.030881688,0.05749222,0.023186788,0.0075,0.003999933,1.0,-0.008653161,0.014829533,-0.0024856752596755685,0.0,0.25673717800254764
21,-0.0022541300080119986,0.009361885488033295,0.00038039684295654297,inf,0.0,6.334853e-06,-1.8971707e-05,0.9996199,0.0001769418,-0.00068996364,-6.703089e-05,0.0020177364,0.00021362305,0.0005428791,0.07915716,-0.052398328,-0.006212724,0.007875,0.004199923,1.0,-0.009127753,0.015560389,0.0003340657862750468,0.0,0.25673717800254764
22,-0.00225618065357412,0.009787476621568203,0.00038063526153564453,inf,0.0,7.10853e-06,-2.2189603e-05,0.9996196,0.00018568253,-0.0007722948,-6.6267494e-05,0.0018892288,0.00045323372,0.00063943863,-0.030902522,0.057480104,0.023195248,0.00825,0.004399911,1.0,-0.009616496,0.016300099,-0.0025202924459777646,0.0,0.25673717800254764
