step,reward,mean_form_error_m,mean_z_error_m,min_dyn_distance_m,collision_flag,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,roll_rad,pitch_rad,yaw_rad,wx_rps,wy_rps,wz_rps,x_des_m,y_des_m,z_des_m,ic_pos_jitter_d0_x_m,ic_pos_jitter_d0_y_m,ic_pos_jitter_d0_z_m,ic_yaw_jitter_d0_rad,ic_vel_jitter_d0_x_mps,ic_vel_jitter_d0_y_mps,ic_vel_jitter_d0_z_mps,ic_pos_jitter_d1_x_m,ic_pos_jitter_d1_y_m,ic_pos_jitter_d1_z_m,ic_yaw_jitter_d1_rad,ic_vel_jitter_d1_x_mps,ic_vel_jitter_d1_y_mps,ic_vel_jitter_d1_z_mps,ic_pos_jitter_d2_x_m,ic_pos_jitter_d2_y_m,ic_pos_jitter_d2_z_m,ic_yaw_jitter_d2_rad,ic_vel_jitter_d2_x_mps,ic_vel_jitter_d2_y_mps,ic_vel_jitter_d2_z_mps,ic_pos_jitter_d3_x_m,ic_pos_jitter_d3_y_m,ic_pos_jitter_d3_z_m,ic_yaw_jitter_d3_rad,ic_vel_jitter_d3_x_mps,ic_vel_jitter_d3_y_mps,ic_vel_jitter_d3_z_mps,ic_pos_jitter_d4_x_m,ic_pos_jitter_d4_y_m,ic_pos_jitter_d4_z_m,ic_yaw_jitter_d4_rad,ic_vel_jitter_d4_x_mps,ic_vel_jitter_d4_y_mps,ic_vel_jitter_d4_z_mps,ic_obstacle_jitter_x_m,ic_obstacle_jitter_y_m,ic_obstacle_jitter_z_m,ic_dynamic_jitter_x_m,ic_dynamic_jitter_y_m,ic_dynamic_jitter_z_m,episode,max_steps,timestamp_unix
,,,,,,,,,,,,,,,,,,,,,0.03870826844701214,-0.24865363527413564,-0.002858494981669346,0.08098803333073568,-0.17422336615266235,-0.08206272127895704,-0.021685182647807888,0.15068881164551978,-0.22158664376751525,-0.15377802268377397,0.12236316214512344,-0.12516945360859225,0.061116620427978496,-0.19599198181307775,0.0388845434362729,-0.0933087524152095,-0.18199434552365712,0.2898304753478078,0.0566002723133337,0.10824076515610581,-0.12461776031594529,-0.06037364879691015,0.03295952825431736,0.12559035765873144,0.33498858054829483,0.1341985010090807,-0.15801389257078144,-0.0741609804119657,0.04274800019804731,0.22411826058255774,0.03174494001585876,0.19223428903557094,-0.1615608643969572,0.012055225090301935,-0.16818909149854866,0.23105803219704724,0.3356592561958126,0.05541706247109757,0.16785949313178228,-0.33343096007054185,-0.11052775553526484,19.0,1000.0,1764624859.6055043
0.0,-0.0022267150737751143,0.0004306691698729992,6.973743438720703e-05,1.4287480115890503,0.0,0.0,0.0,1.0000697,0.0,0.0,1.5733558e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,-0.0022293280708272053,0.0008528687758371234,6.985664367675781e-05,1.4287140369415283,0.0,0.0,0.0,1.0000697,0.0,0.0,1.5344183e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000375,0.0002,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,-0.0022306716478812418,0.0012768585002049804,6.99758529663086e-05,1.428662657737732,0.0,0.0,0.0,1.0000699,0.0,0.0,1.54356e-05,-0.00012803078,0.00023984909,0.0,-0.030714178,0.057589088,0.0,0.00075,0.00039999993,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,-0.002232659322767905,0.0017013767501339316,6.99758529663086e-05,1.4285945892333984,0.0,4.086687e-08,2.1795662e-08,1.00007,9.808048e-06,5.230959e-06,1.5044695e-05,0.00020241737,2.1457672e-05,0.0,0.07927969,-0.052410748,-1.2316217e-05,0.001125,0.0005999998,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,-0.0022346508265810375,0.002125996630638838,7.009506225585938e-05,1.4285095930099487,0.0,8.539993e-08,9.123204e-09,1.00007,1.0687935e-05,-3.0413898e-06,1.4769206e-05,7.43866e-05,0.00026154518,1.1920929e-06,-0.03072544,0.05758821,0.00028527447,0.0015,0.00079999946,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,-0.0022366452678176307,0.0025507775135338306,7.009506225585938e-05,1.4284073114395142,0.0,1.7446519e-07,-1.6206554e-08,1.0000701,2.1375661e-05,-6.079142e-06,1.483322e-05,0.00040459633,4.3153763e-05,-2.4080276e-05,0.07926684,-0.05241106,-0.0060845534,0.001875,0.000999999,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,-0.002238643576265895,0.0029755712021142244,7.021427154541016e-05,1.428288221359253,0.0,2.7085943e-07,-1.10441526e-07,1.0000701,2.3134618e-05,-2.2616394e-05,1.4448388e-05,0.00027656555,0.00028300285,7.224083e-05,-0.030735558,0.05757703,0.023127267,0.00225,0.0011999982,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,-0.0022406449684518525,0.003400442423298955,7.021427154541016e-05,1.428152322769165,0.0,4.1544558e-07,-2.517544e-07,1.0000702,3.4700683e-05,-3.3915087e-05,1.4538921e-05,0.0006067753,6.4611435e-05,4.673004e-05,0.07925311,-0.052409466,-0.0061006187,0.002625,0.0013999972,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,-0.002242649544558026,0.0038253467064350843,7.033348083496094e-05,1.4279996156692505,0.0,5.7101994e-07,-4.9637583e-07,1.0000702,3.733784e-05,-5.870914e-05,1.41453265e-05,0.0004787445,0.00030446053,0.00014328957,-0.030756464,0.057564907,0.023135802,0.003,0.0015999958,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
