step,reward,mean_form_error_m,mean_z_error_m,min_dyn_distance_m,collision_flag,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,roll_rad,pitch_rad,yaw_rad,wx_rps,wy_rps,wz_rps,x_des_m,y_des_m,z_des_m,ic_pos_jitter_d0_x_m,ic_pos_jitter_d0_y_m,ic_pos_jitter_d0_z_m,ic_yaw_jitter_d0_rad,ic_vel_jitter_d0_x_mps,ic_vel_jitter_d0_y_mps,ic_vel_jitter_d0_z_mps,ic_pos_jitter_d1_x_m,ic_pos_jitter_d1_y_m,ic_pos_jitter_d1_z_m,ic_yaw_jitter_d1_rad,ic_vel_jitter_d1_x_mps,ic_vel_jitter_d1_y_mps,ic_vel_jitter_d1_z_mps,ic_pos_jitter_d2_x_m,ic_pos_jitter_d2_y_m,ic_pos_jitter_d2_z_m,ic_yaw_jitter_d2_rad,ic_vel_jitter_d2_x_mps,ic_vel_jitter_d2_y_mps,ic_vel_jitter_d2_z_mps,ic_pos_jitter_d3_x_m,ic_pos_jitter_d3_y_m,ic_pos_jitter_d3_z_m,ic_yaw_jitter_d3_rad,ic_vel_jitter_d3_x_mps,ic_vel_jitter_d3_y_mps,ic_vel_jitter_d3_z_mps,ic_pos_jitter_d4_x_m,ic_pos_jitter_d4_y_m,ic_pos_jitter_d4_z_m,ic_yaw_jitter_d4_rad,ic_vel_jitter_d4_x_mps,ic_vel_jitter_d4_y_mps,ic_vel_jitter_d4_z_mps,ic_obstacle_jitter_x_m,ic_obstacle_jitter_y_m,ic_obstacle_jitter_z_m,ic_dynamic_jitter_x_m,ic_dynamic_jitter_y_m,ic_dynamic_jitter_z_m,episode,max_steps,timestamp_unix
,,,,,,,,,,,,,,,,,,,,,-0.054094508200184854,-0.14325022066641954,-0.03422814332171392,0.1192110273296334,-0.05722548759591378,-0.02511856326390033,0.04532208735123805,0.06475513471577599,0.27046626380827626,0.08054452883365221,-0.2562131105442388,-0.050174396065022275,-0.12329961854361336,0.12177258501594712,0.01087912634974808,0.23832550055321539,-0.017568410337584384,-0.3524126019353472,-0.06082425406145786,-0.08458909586418258,0.14385164963963687,-0.2589789803015668,0.11426164615565682,-0.09073050849001715,0.19596875730661523,0.014492421732221678,0.06947096549164533,-0.183081942757622,0.2899534351458453,-0.11996204177901262,-0.07494674739709667,0.11098454893245768,0.1717405088604122,0.12296510782935383,0.0053335946536646195,-0.18543542351103115,-0.05648361152905401,0.2675064110300259,-0.15267369481775692,-0.09815120624485446,-0.35034163410176866,15.0,1000.0,1764624848.7876205
0.0,-0.002644845511064765,0.00044943304965272546,0.0001462101936340332,1.080831527709961,0.0,0.0,0.0,0.99985397,0.0,0.0,-3.2621712e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,-0.002648084472479059,0.0008625065675005317,0.00014632940292358398,1.0807952880859375,0.0,0.0,0.0,0.9998538,0.0,0.0,-3.232625e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000375,0.0002,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,-0.0026500912315228576,0.0012833231594413519,0.00014644861221313477,1.0807408094406128,0.0,0.0,0.0,0.9998537,0.0,0.0,-3.1843727e-05,-0.00012803078,0.00023984909,0.0,-0.030714178,0.057589088,0.0,0.00075,0.00039999993,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,-0.002652753929903112,0.0017062440747395158,0.00014656782150268555,1.0806682109832764,0.0,4.0867505e-08,2.1796e-08,0.99985355,9.808201e-06,5.23104e-06,-3.159059e-05,0.00020241737,2.1457672e-05,0.0,0.07927969,-0.052410748,-1.2316217e-05,0.001125,0.0005999998,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,-0.0026554244590361125,0.0021299016661942005,0.00014674663543701172,1.0805774927139282,0.0,8.5401254e-08,9.123395e-09,0.99985343,1.06881e-05,-3.041425e-06,-3.1281426e-05,7.43866e-05,0.00026154518,1.1920929e-06,-0.03072544,0.05758821,0.00028527447,0.0015,0.00079999946,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,-0.002658101387684156,0.0025540399365127087,0.0001468658447265625,1.080469012260437,0.0,1.7446743e-07,-1.6206577e-08,0.99985325,2.1375883e-05,-6.0791936e-06,-3.0986743e-05,0.00040459633,4.3153763e-05,-2.4080276e-05,0.07926684,-0.05241106,-0.0060845534,0.001875,0.000999999,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,-0.0026607838012792854,0.002978371921926737,0.00014698505401611328,1.0803426504135132,0.0,2.7086276e-07,-1.1044321e-07,0.99985313,2.3134877e-05,-2.2616792e-05,-3.0505907e-05,0.00027656555,0.00028300285,7.224083e-05,-0.030735558,0.05757703,0.023127267,0.00225,0.0011999982,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,-0.002663471726216995,0.0034028985537588596,0.00014710426330566406,1.0801986455917358,0.0,4.154502e-07,-2.517579e-07,0.999853,3.4700985e-05,-3.391553e-05,-3.0250683e-05,0.0006067753,6.4611435e-05,4.673004e-05,0.07925311,-0.052409466,-0.0061006187,0.002625,0.0013999972,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,-0.00266616419811744,0.0038275327533483505,0.00014722347259521484,1.080036997795105,0.0,5.7102596e-07,-4.9638294e-07,0.9998529,3.7338184e-05,-5.871e-05,-2.9947083e-05,0.0004787445,0.00030446053,0.00014328957,-0.030756464,0.057564907,0.023135802,0.003,0.0015999958,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
