time/total_timesteps,custom/collision,custom/mean_form_error,custom/mean_z_error,time/fps,custom/min_dyn_distance,time/time_elapsed,time/iterations,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/value_loss,train/n_updates,train/loss,train/std,train/approx_kl,train/clip_range,train/clip_fraction
8192,0.0,25.099726401127498,0.5688054338097572,3475,6.619829297065735,2,1,,,,,,,,,,,
16384,0.0,21.29216062931794,0.285853274166584,2528,6.855423092842102,6,2,0.9905304312705994,0.0003,-0.011029730779046076,-68.33398560285568,48.15196223668754,41530,1.9465768337249756,7.680985450744629,0.012046455,0.2,0.10164794921875
24576,0.0,15.459867265262579,0.428904983389657,2459,6.746439337730408,9,3,0.9898546934127808,0.0003,-0.01137525885278592,-68.3689510345459,36.861926017142835,41540,0.6877499222755432,7.690852165222168,0.010890463,0.2,0.09407958984375
32768,0.0,20.058891276842697,0.42879901826381683,2337,5.1649114191532135,14,4,0.9719260334968567,0.0003,-0.006911383293481776,-68.3773306131363,78.22650467995554,41550,5.92564582824707,7.681422233581543,0.011397458,0.2,0.09583740234375
40960,0.0,0.863915338420141,0.00139269235660322,2309,1.4292636811733246,17,5,0.9909998774528503,0.0003,-0.009463477450117353,-68.3675326704979,33.626843348518015,41560,1.1302341222763062,7.684094429016113,0.01079498,0.2,0.10196533203125
49152,0.0,0.842388385741422,0.0014080584078328684,2235,1.1860361695289612,21,6,0.9886680245399475,0.0003,-0.011991696578479604,-68.36370289325714,20.767118132673204,41570,0.6838074922561646,7.682995796203613,0.013843115,0.2,0.12138671875
57344,0.0,0.8235955999563693,0.0014058619708521292,2246,1.2344562709331512,25,7,0.9932151436805725,0.0003,-0.012343231663180632,-68.36393055915832,15.982732249051333,41580,0.38825932145118713,7.685976982116699,0.014856977,0.2,0.12764892578125
65536,0.0,1.0653132343564544,0.0012830406776629388,2181,1.5233558416366577,30,8,0.9921858310699463,0.0003,-0.0115941922282218,-68.36287294626236,18.884779758751392,41590,2.2552595138549805,7.692336082458496,0.011923213,0.2,0.11114501953125
73728,0.0,1.1833701854908865,0.0014179498248267919,2112,1.2758152186870575,34,9,0.9917706847190857,0.0003,-0.013036140252370387,-68.39000964164734,11.622709214687347,41600,0.37326979637145996,7.707476615905762,0.015263134,0.2,0.1387451171875
81920,0.0,1.461353743914711,0.0018472075753379613,2090,1.3041171729564667,39,10,0.9909937381744385,0.0003,-0.002946671909739962,-68.43896588087082,21.035431270115076,41610,2.716660499572754,7.7356743812561035,0.015842596,0.2,0.11868896484375
90112,0.0,1.4373844881232736,0.05090708436910063,2085,1.0874075144529343,43,11,0.991115927696228,0.0003,-0.012603662896799506,-68.49560869932175,11.481142723187805,41620,3.149994373321533,7.746328830718994,0.015506416,0.2,0.14873046875
98304,0.0,6.367044709118456,0.1440945446374826,2105,2.4951009154319763,46,12,0.9844219088554382,0.0003,-0.0076358411719411375,-68.54063429832459,30.736468420550228,41630,1.023449182510376,7.770459175109863,0.0154823195,0.2,0.15313720703125
106496,0.0,1.3680417889833325,0.0015132099215406924,2123,1.1985728740692139,50,13,0.9903441071510315,0.0003,-0.010852703089221904,-68.61080687046051,9.36350079085678,41640,1.6651074886322021,7.796496391296387,0.015531559,0.2,0.14332275390625
114688,0.0,1.615340903499299,0.0016897470050025731,2139,1.6007778942584991,53,14,0.9892005324363708,0.0003,-0.005119360653407057,-68.64261277914048,16.560282266885043,41650,1.12282395362854,7.804491996765137,0.015731392,0.2,0.14327392578125
122880,0.0,1.5101679567745134,0.0015495597835979424,2131,1.4296018779277802,57,15,0.9885345101356506,0.0003,-0.011593986258958466,-68.67839068174362,14.367845026403666,41660,3.7271525859832764,7.8144330978393555,0.015434692,0.2,0.13094482421875
131072,0.0,1.3771065671069944,0.00199399892881047,2151,1.182246446609497,60,16,0.9891970753669739,0.0003,-0.009090162731081364,-68.70122337341309,14.449015387706458,41670,1.6293975114822388,7.822914123535156,0.010487162,0.2,0.09552001953125
139264,0.0,2.2015742578349524,0.0016028731770347804,2149,1.473930448293686,64,17,0.9893782138824463,0.0003,-0.00958045775332721,-68.74105174541474,8.451625466533006,41680,0.47107189893722534,7.840343475341797,0.0154058505,0.2,0.147265625
147456,0.0,3.64551084014177,0.08676399810792645,2163,1.7326121032238007,68,18,0.9886782765388489,0.0003,-0.01078442388534313,-68.7752061843872,13.044507014937698,41690,0.8219329118728638,7.850649833679199,0.015475564,0.2,0.15615234375
155648,0.0,3.5475157304643243,0.048228127518086694,2173,1.512199878692627,71,19,0.979242205619812,0.0003,-0.01117348459592904,-68.81348856687546,29.54412919599563,41700,0.9786332249641418,7.8735671043396,0.010342762,0.2,0.09736328125
