custom/mean_z_error,custom/collision,time/fps,time/total_timesteps,custom/mean_form_error,time/iterations,time/time_elapsed,custom/min_dyn_distance,train/n_updates,train/explained_variance,train/learning_rate,train/loss,train/std,train/approx_kl,train/clip_fraction,train/clip_range,train/value_loss,train/policy_gradient_loss,train/entropy_loss
0.5933139845728874,0.0,3293,8192,19.616586469923078,1,2,6.147817075252533,,,,,,,,,,,
0.5789272487163544,0.0,2541,16384,25.18068839772301,2,6,5.673552066087723,41530,0.9971427917480469,0.0001,0.2956015467643738,7.66872501373291,0.0070241396,0.05054931640625,0.2,4.616852120123804,-0.009080220109899529,-68.30706437826157
0.448467917740345,0.0,2449,24576,18.03810837917753,3,10,4.718379616737366,41540,0.9965601563453674,0.0001,0.26071587204933167,7.674139499664307,0.008527314,0.05804443359375,0.2,5.568188429996371,-0.008933830467503867,-68.33947514295578
0.6153241395950317,0.0,2372,32768,20.975430901484344,4,13,8.96703827381134,41550,0.9584464430809021,0.0001,1.5798192024230957,7.686608791351318,0.006828664,0.04163818359375,0.2,351.2051618695259,-0.005762638845408219,-68.35530477762222
0.10425324589959928,0.0,2316,40960,3.6027934507758324,5,17,2.9345158636569977,41560,0.9949766993522644,0.0001,0.9376097917556763,7.704991817474365,0.0072193765,0.045849609375,0.2,8.978586100041866,-0.008861838263692334,-68.39250006675721
0.14391746520414017,0.0,2295,49152,1.7970257659169513,6,21,1.921169638633728,41570,0.979698657989502,0.0001,7.264699935913086,7.704445838928223,0.00718835,0.03726806640625,0.2,85.14166019447148,-0.006721282449143473,-68.41824855804444
0.1433894365982269,0.0,2279,57344,3.055711183557061,7,25,1.3078839480876923,41580,0.9943615198135376,0.0001,0.3157835602760315,7.739556789398193,0.009218704,0.07686767578125,0.2,6.638622239697725,-0.013098204063135199,-68.46943579912185
0.14372740090766456,0.0,2264,65536,5.195903306022503,8,28,1.9268250465393066,41590,0.9960737228393555,0.0001,0.17200756072998047,7.751650810241699,0.008900456,0.06605224609375,0.2,7.012458573654294,-0.010541682058828883,-68.5282145500183
0.17437852767761797,0.0,2257,73728,11.37296097795505,9,32,3.164031833410263,41600,0.9773512482643127,0.0001,1.062770128250122,7.763552665710449,0.0082856575,0.0654296875,0.2,149.91525887809695,-0.007925259258263396,-68.55985450744629
0.09863163009868003,0.0,2240,81920,6.911922329654107,10,36,2.396893620491028,41610,0.9975448250770569,0.0001,0.16600394248962402,7.779191493988037,0.009850599,0.07479248046875,0.2,4.136662618257105,-0.010217027471298934,-68.59339566230774
0.2395192563708406,0.0,2234,90112,9.550167439019383,11,40,2.055003583431244,41620,0.9972413182258606,0.0001,0.3290666341781616,7.7950921058654785,0.010335583,0.0853759765625,0.2,4.331307792570442,-0.014289169652329292,-68.62059108018875
0.09527280033216812,0.0,2222,98304,5.090740550764521,12,44,2.7563380897045135,41630,0.9960547685623169,0.0001,0.6159484386444092,7.801731109619141,0.008895238,0.0605712890625,0.2,6.040910018235445,-0.009210564934255672,-68.6415798664093
0.002017691731452942,0.0,2214,106496,2.016916001287583,13,48,1.4164377748966217,41640,0.9774123430252075,0.0001,1.0302784442901611,7.809615135192871,0.0057902243,0.0333251953125,0.2,82.2808457005769,-0.006311237068803166,-68.66063042879105
0.0011388808488845825,0.0,2211,114688,1.9397653234290868,14,51,1.3752803802490234,41650,0.9723836779594421,0.0001,752.3750610351562,7.809411525726318,0.008510316,0.05594482421875,0.2,233.49807833936066,-0.008760217485178145,-68.66609815359115
0.001592004278791137,0.0,2209,122880,2.1616671160474197,15,55,1.404588758945465,41660,0.9952423572540283,0.0001,0.5484342575073242,7.819467067718506,0.00777666,0.0508056640625,0.2,8.874420273303986,-0.008534185395183158,-68.67537007331848
0.0012667655828408897,0.0,2201,131072,2.1883483503818253,16,59,1.1999613344669342,41670,0.9977966547012329,0.0001,0.09154000878334045,7.845788478851318,0.01020043,0.0978271484375,0.2,3.4680768648162483,-0.011598456410865765,-68.71944034099579
0.021224328767857514,0.0,2203,139264,3.333141374215219,17,63,2.025123029947281,41680,0.9979394674301147,0.0001,0.01916709542274475,7.840455532073975,0.009873696,0.081640625,0.2,3.530885460134596,-0.013668809235241497,-68.73744539022445
0.009403600881341845,0.0,2197,147456,3.3542555973359303,18,67,2.088892251253128,41690,0.9977821707725525,0.0001,-0.07493704557418823,7.848307132720947,0.010865971,0.0980712890625,0.2,2.7241635392885657,-0.014798040538516943,-68.7422003865242
0.04816619530902244,0.0,2170,155648,3.8938059865889127,19,71,2.6411240696907043,41700,0.9962667226791382,0.0001,0.11656516790390015,7.857003688812256,0.008578234,0.057080078125,0.2,4.966668948996812,-0.01083765854673402,-68.75589327812195
