checkpoint,mfe_mean_avg,mdd_min_avg,collisions_any_total
ppo_multi_1146880_steps.zip,1.7301937341690063,inf,0
ppo_multi_1310720_steps.zip,1.7173662185668945,inf,0
ppo_multi_1474560_steps.zip,1.9247955083847046,inf,0
ppo_multi_1638400_steps.zip,2.2292158603668213,inf,0
ppo_multi_163840_steps.zip,0.6878510117530823,inf,0
ppo_multi_1802240_steps.zip,2.1507887840270996,inf,0
ppo_multi_327680_steps.zip,1.783311128616333,inf,0
ppo_multi_491520_steps.zip,1.7176841497421265,inf,0
ppo_multi_655360_steps.zip,1.4712694883346558,inf,0
ppo_multi_819200_steps.zip,1.957893967628479,inf,0
ppo_multi_983040_steps.zip,1.7232623100280762,inf,0
best_model.zip,1.7173662185668945,inf,0
