time/fps,custom/min_dyn_distance,custom/collision,time/total_timesteps,time/time_elapsed,time/iterations,custom/mean_z_error,custom/mean_form_error,train/learning_rate,train/loss,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/std,train/n_updates,train/clip_fraction,train/clip_range,train/approx_kl,train/entropy_loss
2319,1.6118015348911285,0.0,2048,0,1,0.0011478841479402035,0.7187459734144814,,,,,,,,,,,
2449,2.692421615123749,0.0,4096,1,2,0.17101328959688544,4.457874558945758,0.0001,0.7894724011421204,6.274394677579403,-0.019623759028036147,0.9919207096099854,4.005188941955566,19550,0.10673828125,0.2,0.011266896,-55.41403667926788
2451,2.3869228065013885,0.0,6144,2,3,0.5295640900731087,10.001404996233841,0.0001,1.172382116317749,44.806134381890296,-0.014421730121830479,0.9686180353164673,4.005186080932617,19560,0.051318359375,0.2,0.010592101,-55.426734519004825
2120,6.516203701496124,0.0,8192,3,4,0.6177651584148407,30.240179571962223,0.0001,4.777271747589111,111.2547112941742,-0.007682676009426359,0.9302935600280762,4.005807399749756,19570,0.013916015625,0.2,0.0036058042,-55.42989053726196
2175,1.3206322193145752,0.0,10240,4,5,0.0013424098724499345,0.7785597364633865,0.0001,18.47583770751953,108.24122727513313,-0.004096025656326674,0.9837288856506348,4.006075859069824,19580,0.0107421875,0.2,0.002317765,-55.432356929779054
2171,2.0772960633039474,0.0,12288,5,6,0.11354440450668335,3.8647366474566356,0.0001,0.5290559530258179,5.206518629938364,-0.01694793170900084,0.9968528747558594,4.010313510894775,19590,0.071533203125,0.2,0.009142999,-55.44195535182953
2175,4.525946617126465,0.0,14336,6,7,0.28779925109120086,7.108670413146611,0.0001,0.31635797023773193,11.403143789246679,-0.02345886147231795,0.9482789039611816,4.012753486633301,19600,0.1015625,0.2,0.013391323,-55.4664270401001
2162,8.286382734775543,0.0,16384,7,8,0.6188893644139171,15.919475682748107,0.0001,109.22871398925781,494.83269368857145,-0.0070574461249634625,0.9580833315849304,4.0157575607299805,19610,0.051220703125,0.2,0.007817923,-55.47400619983673
2194,1.4622496366500854,0.0,18432,8,9,0.0949679985496914,5.055608484146057,0.0001,5.475986003875732,30.140605410933496,-0.009343711665133014,0.993523359298706,4.0169172286987305,19620,0.034375,0.2,0.0059593497,-55.482799482345584
2206,1.8662590086460114,0.0,20480,9,10,0.22052809444721788,10.585261480959822,0.0001,2.580538272857666,16.986964671313764,-0.009357046469813213,0.9864675998687744,4.017874717712402,19630,0.05009765625,0.2,0.007920425,-55.487215065956114
