time/fps,custom/min_dyn_distance,custom/collision,time/total_timesteps,custom/mean_form_error,time/time_elapsed,custom/mean_z_error,time/iterations,train/explained_variance,train/policy_gradient_loss,train/loss,train/clip_fraction,train/entropy_loss,train/clip_range,train/value_loss,train/learning_rate,train/n_updates,train/std,train/approx_kl
3451,2.1284300684928894,0.0,4096,4.88563572135438,1,0.278900358825922,1,,,,,,,,,,,
2739,4.573901146650314,0.0,8192,16.496369990300177,2,0.8537521064281464,2,0.9902029633522034,-0.016458923868776766,0.4290865957736969,0.0905517578125,-68.29627039432526,0.2,63.37503930293023,0.0003,41530,7.664708137512207,0.010870668
2510,1.3826769441366196,0.0,12288,5.006310153943827,4,0.23999301495496184,3,0.9849119782447815,-0.009011052845744416,4.17252254486084,0.0443603515625,-68.30638859272003,0.2,74.6652881808579,0.0003,41540,7.673254489898682,0.0068905344
2420,3.813791796565056,0.0,16384,19.455946567030388,6,0.6731574833393097,4,0.9856837391853333,-0.013624091401288752,2.8037240505218506,0.08974609375,-68.33115446567535,0.2,55.327888407558206,0.0003,41550,7.6844072341918945,0.013178219
2120,2.9804975986480713,0.0,20480,6.070105370395761,9,0.19020351098151878,5,0.9872806668281555,-0.008063368060538778,2.5503411293029785,0.1003173828125,-68.34522259235382,0.2,40.04883089661598,0.0003,41560,7.685099124908447,0.010699525
2058,10.480998754501343,0.0,24576,29.416624599585077,11,0.672253280878067,6,0.9934219121932983,-0.01389881845097989,0.3829960823059082,0.090966796875,-68.3512099981308,0.2,29.09885228648782,0.0003,41570,7.6911420822143555,0.010565231
2089,2.861185133457184,0.0,28672,5.7817077070954355,13,0.2563871592283249,7,0.9930793046951294,-0.009569037639448653,3.6973586082458496,0.0866455078125,-68.36018245220184,0.2,30.7305501781404,0.0003,41580,7.696627616882324,0.009298942
2074,5.9055028557777405,0.0,32768,27.480204126978997,15,0.6807744204998016,8,0.989872395992279,-0.018141968830605038,0.13131144642829895,0.1260009765625,-68.39012584686279,0.2,19.975099953077734,0.0003,41590,7.723564147949219,0.015512832
2084,3.5532232522964478,0.0,36864,7.888669945697192,17,0.24696407839655876,9,0.990129292011261,-0.010585521938628517,3.4115514755249023,0.1179443359375,-68.434832239151,0.2,34.74895789772272,0.0003,41600,7.730130672454834,0.012624209
2109,1.3705275356769562,0.0,40960,0.36703309392711125,19,0.0009381830459460616,10,0.9906023144721985,-0.01613128073659027,0.15397223830223083,0.1358642578125,-68.45777068138122,0.2,16.579783565551043,0.0003,41610,7.727950096130371,0.01465368
2123,3.6138790249824524,0.0,45056,7.858306816504994,21,0.17132995277643204,11,0.9937628507614136,-0.004388447312521748,4.672942638397217,0.078955078125,-68.45712649822235,0.2,43.64403533190489,0.0003,41620,7.725789546966553,0.009797476
2087,1.509764313697815,0.0,49152,0.3998266282504337,23,0.0008779198105912656,12,0.986262321472168,-0.016099024772120173,0.42736536264419556,0.144140625,-68.47587735652924,0.2,12.053266899473964,0.0003,41630,7.743157386779785,0.01750917
2061,2.42171847820282,0.0,53248,5.662843721546497,25,0.2407261967600789,13,0.9948028922080994,-0.01041711427969858,0.5653735995292664,0.1278564453125,-68.48593108654022,0.2,13.9601888243109,0.0003,41640,7.744225978851318,0.013981978
2035,1.4436456859111786,0.0,57344,0.3416028040669999,28,0.0009522706241114065,14,0.9773507118225098,-0.01668136427324498,0.5681333541870117,0.1292236328125,-68.52800555229187,0.2,12.833837096020579,0.0003,41650,7.772406578063965,0.013730488
2060,4.66105180978775,0.0,61440,8.667964980414794,29,0.22590390779078007,15,0.9905456900596619,-0.010272566875210032,1.726163387298584,0.1310546875,-68.59825179576873,0.2,21.524298144504428,0.0003,41660,7.802227020263672,0.014271584
2063,1.2311266958713531,0.0,65536,0.36259625797666234,31,0.000680768491292838,16,0.9811623096466064,-0.015219334517314564,0.2248055338859558,0.1441650390625,-68.63681809902191,0.2,9.656582891382277,0.0003,41670,7.804196357727051,0.018008666
