custom/mean_form_error,custom/min_dyn_distance,time/time_elapsed,time/iterations,time/total_timesteps,custom/collision,custom/mean_z_error,time/fps,train/loss,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/std,train/value_loss,train/explained_variance,train/clip_range,train/n_updates,train/clip_fraction,train/entropy_loss
22.78335579750451,7.7650110721588135,2,1,8192,0.0,0.5008688449743204,2763,,,,,,,,,,,
14.686389696621221,5.331270098686218,6,2,16384,0.0,0.37842840849771164,2342,2.4205760955810547,-0.006441454765081289,0.0001,0.0051905327,7.657440185546875,224.00487443953753,0.9731370806694031,0.2,41530,0.02840576171875,-68.2894295334816
19.728308944659446,6.237274467945099,11,3,24576,0.0,0.4741351157426834,2088,2.6393067836761475,-0.006048147817273275,0.0001,0.003873861,7.666372776031494,48.65764097757638,0.9890862703323364,0.2,41540,0.02115478515625,-68.30349725484848
26.034469282922647,8.005413293838501,15,4,32768,0.0,0.47063671646174043,2124,2.1391210556030273,-0.0065543706114112865,0.0001,0.0058639636,7.6724138259887695,40.01041392944753,0.9911940097808838,0.2,41550,0.0322021484375,-68.32722506523132
1.0538347716515268,1.349950760602951,19,5,40960,0.0,0.06954367757134605,2154,0.9694465398788452,-0.009952047352999215,0.0001,0.008099713,7.691125392913818,45.6330326134339,0.9913480877876282,0.2,41560,0.0587646484375,-68.36570110321045
1.0732981509579895,1.2735372483730316,22,6,49152,0.0,0.0012581169721670449,2170,1.4719715118408203,-0.008241026710311416,0.0001,0.006427481,7.684963226318359,43.641584342345595,0.9866036176681519,0.2,41570,0.038037109375,-68.38399149179459
4.27389548286676,1.4489099085330963,27,7,57344,0.0,0.14433925747289322,2093,1.9616667032241821,-0.008197518903398305,0.0001,0.006726199,7.690049171447754,24.090919694676995,0.9910869002342224,0.2,41580,0.04114990234375,-68.38281284570694
3.513774593329154,2.255855053663254,34,8,65536,0.0,0.19012385606765747,1922,4.114139080047607,-0.007953397327582934,0.0001,0.00690606,7.698300838470459,91.9831039307639,0.9808286428451538,0.2,41590,0.04090576171875,-68.40018709897996
0.8235862305422641,1.2986793518066406,39,9,73728,0.0,0.0010742128179117572,1851,0.5703696012496948,-0.010103309957958117,0.0001,0.009004664,7.711523532867432,18.778865214437246,0.9900875091552734,0.2,41600,0.06588134765625,-68.42681576013565
0.710604640997143,1.2690891325473785,43,10,81920,0.0,0.0011888831868418492,1898,1.1316567659378052,-0.005324338702484966,0.0001,0.0052708243,7.7189764976501465,39.533962841331956,0.9888546466827393,0.2,41610,0.02332763671875,-68.45038141012192
4.066551135879389,2.469197601079941,48,11,90112,0.0,0.060413404542487115,1855,0.9558908939361572,-0.011547696632987936,0.0001,0.009815943,7.730281829833984,20.588547802716494,0.9876559972763062,0.2,41620,0.0749267578125,-68.48487890958786
7.082153814461196,3.8175648152828217,53,12,98304,0.0,0.2569432511809282,1827,2.073843002319336,-0.007447310658790229,0.0001,0.0060240813,7.748268127441406,66.39897337779402,0.9815908074378967,0.2,41630,0.03031005859375,-68.5190437078476
12.583245141916407,3.110083132982254,58,13,106496,0.0,0.3776673987740651,1828,4.5103068351745605,-0.006434395409814897,0.0001,0.0060949475,7.760626316070557,116.7085835326463,0.9692667722702026,0.2,41640,0.02763671875,-68.55730329751968
14.690281125736828,5.635349661111832,61,14,114688,0.0,0.33329993262304924,1851,4.915468692779541,-0.00745234833266295,0.0001,0.005483628,7.761251926422119,31.94150973074138,0.983087420463562,0.2,41650,0.0294189453125,-68.57595353126526
10.86221500096164,5.703948974609375,65,15,122880,0.0,0.2974204614874907,1869,1.6603412628173828,-0.007520964232753613,0.0001,0.0076561593,7.7721123695373535,16.153138574957847,0.9896379709243774,0.2,41660,0.0533447265625,-68.59033620357513
13.9210020761511,3.891495019197464,69,16,131072,0.0,0.2879437133669853,1887,0.8386001586914062,-0.008201884912341483,0.0001,0.006378756,7.77154541015625,12.798427233844995,0.9896524548530579,0.2,41670,0.0362060546875,-68.60516375303268
18.90205084807988,6.289615154266357,73,17,139264,0.0,0.47328732907772064,1902,1.9294079542160034,-0.006187896598203224,0.0001,0.004147359,7.777823448181152,24.945330457389353,0.9873875379562378,0.2,41680,0.0177734375,-68.60584123134613
10.081599000870847,2.7954117357730865,77,18,147456,0.0,0.6221572533249855,1910,11.040345191955566,-0.008276801563442859,0.0001,0.006560893,7.775887966156006,102.95924191325904,0.9744014143943787,0.2,41690,0.0425048828125,-68.6145882487297
15.657548529276546,3.67505419254303,80,19,155648,0.0,0.4766708128154278,1924,1.794799566268921,-0.011701603284745943,0.0001,0.008175183,7.790223598480225,15.41685873605311,0.9907631874084473,0.2,41700,0.06258544921875,-68.64984143972397
